question,initial_answer,answer_under_mis_reasoning,ground truth
when was the last time anyone was on the moon,"December 14, 1972","December 14, 1972","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Russell,Bob Russell,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,2,"['one', 'one season']"
when did the eagles win last super bowl,2018,2018,['2017']
who won last year's ncaa women's basketball,South Carolina,UConn,['South Carolina']
when did the isle of wight become an island,"Around 6,000 years ago",4500 BC,['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,Hailey Baldwin,['Rihanna']
who was the ruler of england in 1616,James I,James I,['James I']
what is the hot coffee mod in san andreas,"An unofficial modification for Grand Theft Auto: San Andreas that unlocks a hidden, sexually explicit minigame.","An unofficial modification that unlocked a hidden, sexually explicit minigame left in the game's code, originally cut from Grand Theft Auto: San Andreas.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,Maharashtra,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,A Flock of Seagulls,A Flock of Seagulls,['The Impalas']
where did the last name wallace come from,Scottish and English,English,['a Scottish surname']
who was the actor that played ben stone on law and order,Jerry Orbach,Jerry Orbach,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly (1994) and Beyoncé (2019),Beyoncé,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Mary Beth Peterson,Mary Beth Peterson,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen;
that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic;
that I will bear true faith and allegiance to the same;
that I will bear arms on behalf of the United States, when required by the law;
that I will perform noncombatant service in the Armed Forces of the United States, when required by the law;
that I will perform work of national importance under civilian direction, when required by the law;
and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",The Pledge of Allegiance,['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,Abraham,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18 years old,18,['18']
ethiopia flight 961 crashes in to the sea,False,1996,['23 November 1996']
where was percy jackson and the olympians filmed,"Toronto, Ontario, Canada","Toronto, Ontario, Canada","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,8,"['eight', '8']"
how many episodes are there in dragon ball z,291,291,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Kíla Lord-Cobb,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,1901,1902,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Jonathan Hyde,R. H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,Bianca (fictional character),Evan Rachel Wood,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,Heath Ledger,['Ledger']
