question,answer,reasoning,ground truth
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,"Step 1: Natalia sold 48 clips in April. Step 2: The number of clips sold in May is half the amount sold in April, which is 48 / 2 = 24 clips. Step 3: To find the total number of clips sold in April and May, add the April sales and the May sales together: 48 + 24 = 72. Step 4: final result = 72","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72"
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,"Step 1: Determine the hourly rate, which is $12 per hour. Step 2: Convert the babysitting time from minutes to hours by dividing the minutes by 60, since there are 60 minutes in an hour. Step 3: Calculate the time in hours as 50 minutes / 60 minutes/hour, which simplifies to 5/6 hours. Step 4: Multiply the hourly rate by the number of hours worked to find the total earnings: $12 * (5/6). Step 5: Perform the multiplication: 12 multiplied by 5 is 60. Step 6: Divide the result by 6 to find the final earnings: 60 / 6 = 10. Step 7: final result = 10","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,"Step 1: Determine the total cost of the wallet, which is $100. Step 2: Calculate how much money Betty already has, which is half of the wallet's cost: 100 / 2 = $50. Step 3: Identify the contribution from her parents, which is $15. Step 4: Calculate the contribution from her grandparents, which is twice the amount from her parents: 15 * 2 = $30. Step 5: Add Betty's initial savings and the contributions from her family to find her total current funds: 50 + 15 + 30. Step 6: Solve the addition: 50 + 15 = 65. Step 7: Add the remaining amount: 65 + 30 = 95. Step 8: Subtract Betty's total funds from the cost of the wallet to find out how much more money she needs: 100 - 95. Step 9: final result = 5","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5"
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,"Step 1: Identify the total number of pages in the book, which is 120. Step 2: Determine how many pages Julie read yesterday, which is 12 pages. Step 3: Calculate how many pages she read today by doubling yesterday's amount, resulting in 12 * 2 = 24 pages. Step 4: Calculate the total number of pages read so far by adding yesterday's and today's pages: 12 + 24 = 36 pages. Step 5: Determine the number of pages remaining in the book by subtracting the total pages read from the total pages in the book: 120 - 36 = 84 pages. Step 6: Determine the number of pages she wants to read tomorrow by taking half of the remaining pages: 84 / 2 = 42 pages. Step 7: final result = 42","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,Step 1: Determine the total number of pages written per writing session by multiplying the letter length of 3 pages by the 2 different friends. Step 2: Calculate the total pages written per week by multiplying the 6 pages per session by the frequency of twice a week. Step 3: Calculate the total pages written per year by multiplying the weekly total of 12 pages by the 52 weeks in a standard year. Step 4: final result = 624,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624"
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,"Step 1: Identify the individual flower counts for each color, yielding 10 yellow, 18 purple, and 7 green flowers based on the provided percentages. Step 2: Sum these individual counts to find the total number of flowers in the garden. Step 3: Adding 10, 18, and 7 results in a final count of 35 flowers. final result = 35","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35"
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,Step 1: Calculate the total number of slices from the two large pizzas. Step 2: Calculate the total number of slices from the two small pizzas. Step 3: Sum these slice counts to find the overall total. Step 4: final result = 48,"He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48"
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,Step 1: Ken adds jelly beans to the box until the total weight reaches 2 pounds. Step 2: He triples the current weight by adding brownies to the box. Step 3: He adds 2 additional pounds of jelly beans to the cumulative weight. Step 4: He doubles the final weight of the package by adding gummy worms. Step 5: final result = 16,"To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16"
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,"Step 1: Calculate the total of Alexis's known expenses for the shirt, pants, coat, socks, and belt, which sums to $143. Step 2: Add the $16 Alexis has remaining to the total of the known expenses to account for all funds except the cost of the shoes. Step 3: Subtract the $159 sum from the total $200 budget to find the price of the shoes. Step 4: final result = 41","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",990,"Step 1: Identify the base hourly wage as $18.00 per hour. Step 2: Determine the overtime rate, which is the base wage plus 1/2 of the base wage: $18.00 + ($18.00 / 2) = $18.00 + $9.00 = $27.00 per hour. Step 3: Identify the total hours worked per day as 10 hours. Step 4: Split the daily hours into regular hours (up to 8) and overtime hours (the remainder). Regular hours per day = 8; Overtime hours per day = 10 - 8 = 2. Step 5: Calculate the regular daily earnings: 8 hours * $18.00/hour = $144.00. Step 6: Calculate the daily overtime earnings: 2 hours * $27.00/hour = $54.00. Step 7: Calculate the total earnings per day: $144.00 + $54.00 = $198.00. Step 8: Calculate the total earnings for 5 days: $198.00 * 5. Step 9: Perform the multiplication: 200 * 5 = 1000, and 2 * 5 = 10, so 1000 - 10 = 990. Step 10: final result = 990","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990"
