question,answer,reasoning,ground truth
"Natalia recently opened an artisan boutique specializing in handmade hair accessories, investing $140 in initial inventory which included 150 standard clips, 75 deluxe clasps, and 32 yards of imported silk ribbon. She officially launched her store on April 2nd, running a marketing campaign that lasted 12 days. During her debut month, the clips were priced at $3.25 each, and she also offered a 15% discount for bulk orders of 10 or more. Through all this effort, Natalia sold clips to 48 of her friends in April. Excited by this success, she restocked her supplies by purchasing 200 more metal bases and 14 glue sticks for $28.50. However, the following month was incredibly busy; she had 5 major school assignments and a 9-day family vacation. Because of this restricted schedule, she had much less free time to craft, and then she sold half as many clips in May. She plans to aggressively market her products in June, hoping to sell a minimum of 65 clips and gross over $300 in revenue. How many clips did Natalia sell altogether in April and May?",72,"Step 1: Natalia sold 48 clips in April. Step 2: In May, she sold half as many clips as she did in April, which totals 24 clips. Step 3: To find the total number of clips sold altogether, add the sales from April and May, which is 48 plus 24. Step 4: final result = 72","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72"
"Weng babysits for several neighborhood families, and each family has its own routine. On most weekdays she leaves her apartment at 3:40 p.m., walks 6 blocks, and sometimes brings a backpack with 2 picture books, 4 crayons, and a 24-piece puzzle because one child likes quiet activities before dinner. Last week she babysat on Monday for 2 hours, on Wednesday for 1 hour 30 minutes, and had a possible Saturday job that was canceled 15 minutes before it was supposed to start. One family normally pays her in cash in $5 and $1 bills, another family pays by app every Friday, and a third once gave her an extra $3 for ordering pizza, although that was reimbursement and not wages. She keeps notes in a small notebook where she writes start times, end times, snack reminders, and emergency numbers. In the notebook she also wrote that one child goes to bed at 8:15 p.m., another is allergic to peanuts, and the twins next door each drink 1 cup of milk after playing for 25 minutes outside.

Her standard babysitting rate for the family she worked for yesterday is $12 an hour. Yesterday the job was very short because the parents only needed her while they ran a quick errand, and she ended up doing just 50 minutes of babysitting. During those 50 minutes, the child spent 20 minutes coloring, 10 minutes listening to a story, and 15 minutes building with blocks, with 5 minutes used for washing hands and putting toys away. Weng also noticed there were 18 toy cars in one bin, 7 dolls on a shelf, and 3 board games stacked near the couch. The kitchen clock was 4 minutes fast, but her phone clock was correct. She had brought 2 granola bars for herself but only ate 1 after she got home. If Weng earns $12 an hour for babysitting and yesterday she just did 50 minutes of babysitting, how much did she earn?",10,"Step 1: Identify the standard hourly rate for the babysitting job, which is $12 per hour. Step 2: Determine the duration of the work performed yesterday, which was 50 minutes. Step 3: Convert the 50-minute duration into a fraction of an hour by dividing 50 by 60, resulting in 50/60 or 5/6 of an hour. Step 4: Calculate the total earnings by multiplying the hourly rate of $12 by the fraction of the hour worked, which is 12 * (5/6). Step 5: Perform the multiplication by first dividing 12 by 6 to get 2, and then multiplying 2 by 5 to get 10. Step 6: final result = 10","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"
"Betty has been comparing different accessories at a small shop in the mall. She first looked at a canvas coin pouch for $18, a card holder for $24, and a zip wristlet for $36, but she finally decided she wants a new leather wallet that costs $100. The store also has a weekend promotion where anyone spending over $75 gets 10% off a keychain, and there is a rewards poster showing that 250 points can be redeemed for a $5 coupon, although Betty does not have enough points yet. Last month she spent $12 on hair clips, $8 on stickers, and $20 on a notebook, so she has been trying to save more carefully ever since. She keeps her money in three envelopes labeled ""spending,"" ""saving,"" and ""gifts,"" and she recently counted 14 coins in one envelope, including 6 quarters, 4 dimes, and 4 nickels. None of that is enough for the wallet she wants.

Right now, for the wallet, Betty has only half of the money she needs. On Saturday, after helping clean the garage for 2 hours and sorting 3 boxes of winter clothes, her parents decided to give her $15 for that purpose. Her grandparents, who had already mailed her a birthday card earlier in the month with a separate gift card she used on school supplies, decided to give her twice as much money as her parents for the wallet fund. Betty also wondered whether she should wait until next Friday, when the store opens at 10 a.m. and closes at 8 p.m., because her friend said new colors might arrive in sets of 4. She wrote all of this in her planner next to reminders about her math quiz on the 12th, soccer practice at 4:30, and a library fine of $3 she already paid.

How much more money does Betty need to buy the wallet?",5,"Step 1: Identify the total cost of the leather wallet Betty wants to buy, which is $100. Step 2: Calculate the amount of money Betty currently has for the wallet, which is half of the cost ($100 / 2 = $50). Step 3: Determine the amount given by her parents for cleaning the garage and sorting boxes, which is $15. Step 4: Calculate the amount given by her grandparents, which is twice the amount her parents gave ($15 * 2 = $30). Step 5: Sum the total funds Betty has collected so far by adding her initial savings, her parents' contribution, and her grandparents' gift ($50 + $15 + $30 = $95). Step 6: Subtract the total funds collected from the cost of the wallet to find out how much more money she needs ($100 - $95 = $5). Step 7: final result = 5","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5"
"Julie is working through a 120-page mystery book that her teacher recommended for independent reading. The book has 12 chapters, and the first chapter is 14 pages long, although some later chapters are shorter and a few are closer to 9 or 11 pages. The library copy has a due date in 6 days, a blue cover, and a bookmark tucked in around page 37 from the previous reader. Julie usually reads at her desk from 7:15 p.m. to 7:45 p.m., but yesterday she got interrupted twice: once by a 10-minute phone call from her cousin and once when she had to feed her cat, who eats 2 small scoops of food every evening. Even so, yesterday she was able to read 12 pages. She also spent 15 minutes organizing her school bag, sharpened 3 pencils, and checked out 2 other books from the library, one of which is 80 pages long and the other 200 pages long, though she has not started either of those.

Today, Julie planned her afternoon carefully. She finished her math homework, which had 24 problems, practiced piano for 30 minutes, and helped her brother sort 18 trading cards into 3 equal piles. After dinner, she read the same mystery book again and managed to read twice as many pages as yesterday. She noticed that pages 20 through 25 had illustrations, and she even counted 8 chapter titles that use alliteration. Her friend suggested reading 40 pages tomorrow, but Julie wants to follow her own plan instead. She also estimated that if she kept reading at a steady pace of 2 pages every 5 minutes, she could finish soon, although she does not know whether tomorrow's reading time will be exactly the same as today's. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,"Step 1: Identify the total number of pages in the mystery book, which is 120. Step 2: Identify the number of pages Julie read yesterday, which is 12. Step 3: Calculate the number of pages Julie read today by doubling her progress from yesterday, resulting in 24 pages. Step 4: Determine the total number of pages Julie has read so far by adding yesterday's and today's counts, which is 12 + 24 = 36 pages. Step 5: Calculate the remaining pages in the book by subtracting the total pages read from the overall length, which is 120 - 36 = 84 pages. Step 6: Calculate the number of pages Julie should read tomorrow by dividing the remaining 84 pages by 2. final result = 42","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42"
"James has gotten very organized about keeping in touch by mail. On the shelf above his desk, he keeps 4 blue pens, 3 black pens, 2 bottles of ink, 12 envelopes, and a box of 100 stamps he bought last spring, even though he has already used 18 of them on birthday cards, thank-you notes, and utility payments. Every Sunday night he sorts his stationery into piles: lined paper for relatives, unlined cream paper for formal notes, and a stack of college-ruled sheets for his regular letter-writing routine. He also tracks postage costs in a notebook, where he once calculated that mailing a 1-page note costs less than mailing a thick 5-page packet, and he compared that with the cost of sending 6 postcards during the holidays. None of that changes his usual habit, though.

For his two closest pen pals, James writes long letters on a steady schedule. Each time he sits down for this routine, he writes a 3-page letter to 2 different friends, and he does this twice a week all year long. He briefly considered adding a third friend in June and switching to 4-page letters in December, but he never actually changed the routine. He also keeps a separate journal of 7 pages a week, sends his grandmother a 1-page grocery update every month, and once wrote 9 extra pages of travel notes after a weekend trip, but those are part of other writing projects.

In his calendar, he marks letter-writing days with a red circle, usually on Tuesday and Saturday, though sometimes he writes on Monday and Friday instead if he is busy. There are 52 weeks in the year, and he prides himself on sticking to the same mailing pattern from January through December. How many pages does he write a year?",1009,"Step 1: Identify the components of James's writing routine. He writes to two closest pen pals, keeps a journal, sends his grandmother a monthly update, and occasionally writes extra travel notes. Step 2: Calculate the pages written for the pen pal routine per session. He writes a 3-page letter to 2 different friends, which is 3 pages/letter * 2 letters = 6 pages per session. Step 3: Calculate the pages written for the pen pal routine per week. He performs this routine twice a week, so 6 pages/session * 2 sessions/week = 12 pages per week. Step 4: Calculate the total pen pal pages per year. With 52 weeks in a year, 12 pages/week * 52 weeks/year = 624 pages. Step 5: Calculate the total pages written for his separate journal per year. He writes 7 pages a week, so 7 pages/week * 52 weeks/year = 364 pages. Step 6: Calculate the total pages written for his grandmother's monthly grocery update. He writes a 1-page update every month, so 1 page/month * 12 months/year = 12 pages. Step 7: Include the one-time travel notes project, which added 9 extra pages. Step 8: Add all these components together to find the total number of pages written in a year: 624 (pen pals) + 364 (journal) + 12 (grandmother) + 9 (travel notes). Step 9: Sum the totals: 624 + 364 = 988; 988 + 12 = 1000; 1000 + 9 = 1009. Step 10: final result = 1009","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624"
"Mark has a rectangular backyard garden that he reorganized at the start of spring after buying supplies from a nursery sale. The garden bed is 24 feet long and 10 feet wide, with a stone border made from 68 edging bricks. He keeps a notebook where he records everything: on Monday he watered for 15 minutes, on Tuesday for 20 minutes, and on Wednesday it rained 0.8 inches so he skipped watering. He also bought 3 bags of mulch weighing 40 pounds each, 2 metal stakes for a tomato patch he plans to add later, and 12 seed packets that are still unopened. Along one side of the garden there are 6 small solar lights, though 1 stopped working last week. Near the fence he placed 4 clay pots, each 9 inches across, but those pots are not part of the flower counts in the ground.

In the flower section itself, Mark planted plants of three different colors. He arranged the rows carefully, with yellow flowers nearest the path, purple flowers in the center, and green flowers near the back trellis. Ten of them are yellow. The nursery tag for purple said they grow 18 inches tall on average, while the yellow ones are only 14 inches tall, and the green ones need watering every 2 days instead of every 3. There are 80% more of the flowers in purple than yellow. Mark also noticed that 25% of the flowers in one corner opened a week earlier than the rest, but that has nothing to do with the color totals. There are only 25% as many green flowers as there are yellow and purple flowers combined. Last year he had 36 flowers total, and this year he also planted 5 herbs in a separate box plus 8 marigolds in hanging baskets on the porch, but those are outside the garden bed being counted here.

How many flowers does Mark have in his garden?",35,"Step 1: Identify that there are 10 yellow flowers planted in the garden bed. Step 2: Calculate the number of purple flowers by adding 80% to the yellow flower count, which is 10 + (0.80 * 10) = 18. Step 3: Determine the combined count of yellow and purple flowers, which is 10 + 18 = 28. Step 4: Calculate the number of green flowers as 25% of the combined yellow and purple count, resulting in 0.25 * 28 = 7. Step 5: Sum the yellow, purple, and green flower counts to find the total number of flowers in the garden bed: 10 + 18 + 7 = 35. Step 6: final result = 35","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35"
"Albert is trying to figure out how much pizza he can eat in a single day, so he plans an all-day pizza challenge during a long Saturday. He starts by checking the menu from a local shop that opens at 11:00 a.m., closes at 10:00 p.m., and charges a $4 delivery fee unless the order is over $30. The shop has medium pizzas cut into 12 slices, family specials with 3 toppings, breadsticks that come in packs of 10, and 2-liter sodas on sale for $3 each. Albert compares several options: one combo includes 1 large pizza, 1 small pizza, 12 wings, and 4 dipping sauces; another deal offers 3 medium pizzas for a discounted price; and a coupon says he can get 15% off if he orders before noon. He also notices that large pizzas cost $18 each on weekends and small pizzas cost $11 each, although on weekdays they are $2 cheaper. Albert writes down a lot of information in his notebook, including that his friend Ben once ate 24 slices over 2 days, that Albert drank 5 glasses of water last time he had pizza, and that he usually takes a 20-minute break after every movie he watches.

For this particular challenge, though, Albert decides not to order wings, breadsticks, salads, sodas, or medium pizzas. He buys 2 large pizzas and 2 small pizzas. At this restaurant, a large pizza has 16 slices and a small pizza has 8 slices. The cashier puts red stickers on the large boxes and blue stickers on the small boxes, and Albert stacks the 4 boxes on his kitchen counter next to 6 paper plates, 18 napkins, and 2 shakers of seasoning. He plans to eat while watching a sports marathon that lasts 7 hours, with halftime segments, commercials, and score updates, and he even makes a schedule for when to eat each box. One large pizza has pepperoni, the other has mushrooms; one small pizza has olives, and the other has plain cheese. None of the toppings change the number of slices. If he eats it all, how many pieces does he eat that day?",48,"Step 1: Identify the items Albert actually decides to buy for his challenge. Step 2: Note that he buys 2 large pizzas and 2 small pizzas. Step 3: Identify the number of slices in a single large pizza, which is 16 slices. Step 4: Calculate the total number of slices from the large pizzas by multiplying the quantity (2) by the slices per pizza (16), which equals 32 slices. Step 5: Identify the number of slices in a single small pizza, which is 8 slices. Step 6: Calculate the total number of slices from the small pizzas by multiplying the quantity (2) by the slices per pizza (8), which equals 16 slices. Step 7: Calculate the total number of slices Albert eats by adding the slices from the large pizzas (32) and the small pizzas (16). Step 8: Perform the addition 32 + 16 = 48. Step 9: final result = 48","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48"
"Ken was putting together a very elaborate care package for his younger brother, who was spending the semester at a boarding school 145 miles away. He had already bought supplies from three different stores: 4 bags of jelly beans in assorted flavors, 2 trays of brownies cut into 16 squares each, 3 tubs of gummy worms, 6 packs of tea, 8 granola bars, and a paperback novel that he ultimately decided not to include because the box was getting crowded. The post office near Ken's house was open from 8:30 a.m. to 5:00 p.m., and he wanted to stay under one of the cheaper mailing categories, so he kept checking the scale on the kitchen counter. The empty cardboard box itself had been taped with 3 strips of packing tape across the top and 2 along the bottom, and the shipping label listed his brother's dorm room as Building C, Room 214.

Ken first set the box on the scale by itself to make sure it was centered properly. After that, he poured in jelly beans a scoop at a time until the scale reading for the box and its contents reached exactly 2 pounds. He paused to seal two small baggies of extra candy for later, but those did not go into the box. Then he started adding brownies. He kept placing brownies into the box until the total weight shown on the scale became three times what it had been at the moment the jelly beans had brought it to 2 pounds. After that, he remembered his brother especially liked jelly beans, so he added another 2 pounds of jelly beans from one of the unopened bags, even though another bag still had 11 ounces left in it on the counter.

At that point Ken considered adding the granola bars, which together weighed 18 ounces, but he changed his mind because he thought they would get crushed. Instead, for the last step, he added gummy worms little by little until the total weight of the box doubled again compared with what it weighed immediately before he started adding the gummy worms. Meanwhile, the brownies had been baked in a 9-inch by 13-inch pan the night before, the jelly beans came in 5 colors, and the gummy worms were labeled as 24 servings per tub, but none of that changed the scale readings. What was the final weight of the box of goodies, in pounds?",16,"Step 1: Ken initially adds jelly beans to the empty box until the scale reading for the box and its contents reaches exactly 2 pounds. Step 2: He then adds brownies until the total weight shown on the scale triples, reaching three times the previous 2-pound reading, which equals 6 pounds. Step 3: Ken adds an additional 2 pounds of jelly beans from an unopened bag to the box, increasing the total scale reading from 6 pounds to 8 pounds. Step 4: Finally, he adds gummy worms until the total weight of the box doubles compared to the 8-pound weight it had reached immediately before this addition. Step 5: By doubling the 8-pound weight, the final weight on the scale becomes 16 pounds. Step 6: final result = 16","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16"
"Alexis is applying for a new job and wanted a complete interview outfit, so on Saturday she went to a large department store in the mall with a clothing budget of $200 set aside specifically for interview clothes. She got there a little after 10:00 a.m., spent 15 minutes comparing brands, and carried a store flyer advertising 20% off select winter coats, 15% off scarves, and buy-2-get-1-free dress socks on certain marked packages. None of those special promotions changed the listed amounts she actually paid for the interview items in question, but the store was full of signs: ties ranged from $12 to $35, handbags from $28 to $90, umbrellas were $14, and garment bags were $22. She also noticed a clearance rack with blouses priced at $19, $24, and $31, and a table of accessories where earrings cost $9, watches cost $48, and wallets cost $26.

Because she wanted to look professional, Alexis bought several specific items for the interview outfit. She spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She considered buying a second shirt for $27 and a striped tie for $16, but decided against both because she was trying to stay within budget. At checkout, the cashier asked whether she wanted a $5 reusable shopping bag, but she declined and used a free paper bag instead. The receipt also showed 5 items before the shoes were scanned, and the tax line was printed below some store policy text that included the numbers 30, 60, and 90 for return deadlines on different product categories. Alexis also purchased a pair of shoes, but later lost the receipt line that showed the shoe price.

Before shopping, she had compared prices at another store where loafers cost $52, heels cost $64, and flats cost $41, but she did not buy footwear there. She had also brought a coupon booklet with 8 coupons in it, though only 3 were valid that weekend and none affected the amounts already listed above. After finishing her shopping trip, getting her change, and checking her wallet, she found that she had $16 left from her original $200 budget for the interview clothes. How much did Alexis pay for the shoes?",41,"Step 1: Alexis had an original budget of $200 for her interview clothes. Step 2: She spent $30 on a button-up shirt. Step 3: She spent $46 on suit pants. Step 4: She spent $38 on a suit coat. Step 5: She spent $11 on socks. Step 6: She spent $18 on a belt. Step 7: Sum the costs of these known items: $30 + $46 + $38 + $11 + $18 = $143. Step 8: Alexis had $16 left from her original $200 budget after all purchases, including the shoes. Step 9: Calculate the total amount she spent by subtracting the remaining money from the budget: $200 - $16 = $184. Step 10: Calculate the cost of the shoes by subtracting the sum of the other items from the total amount spent: $184 - $143 = $41. Step 11: final result = 41","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41"
"Tina works at a small event center that tracks everything in a very detailed weekly payroll sheet. Her regular base pay is $18.00 per hour. The center opens at 7:00 a.m., closes public access at 9:00 p.m., and has three kinds of workers on staff: cashiers, setup crew, and cleanup crew. Tina is cross-trained, but this week she is only being paid under her usual hourly rate. The break room coffee fund collected $27 on Monday, $19 on Tuesday, $24 on Wednesday, $21 on Thursday, and $29 on Friday. Employees can buy lunch vouchers for $6 each, parking passes for $8 per day, and logo shirts for $14 each, but none of those are deducted automatically unless someone signs a form. Tina brought her own lunch 3 days, bought soup for $5 twice, and spent $12 on a water bottle earlier in the month. Her manager also noted that she helped inventory 48 folding chairs, 12 round tables, 9 storage bins, and 6 extension cords before one of the evening events.

For payroll, the company uses a standard shift rule: if an employee works more than 8 hours in a shift, the extra time qualifies for overtime. Overtime is paid at the hourly wage plus 1/2 of the hourly wage. Tina's coworker Jordan worked 8 hours on Monday, 9 hours on Tuesday, 7 hours on Wednesday, 11 hours on Thursday, and took Friday off, while another coworker, Mei, worked 6 hours each day for 5 days at a different hourly rate. Tina's schedule this week is simpler: she works 10 hours every day for 5 days. On two of those days, the event center hosted banquets for 120 guests and 85 guests, and on another day a school group of 64 students arrived in 2 buses. Tina also clocked in a few minutes early each morning to put away 30 napkin bundles and restock 18 boxes of cups, but payroll rounds all of that into her recorded total shift length for the day.

At the end of the week, payroll prints regular hours and overtime hours separately, and taxes are handled later. If she works 10 hours every day for 5 days, how much money does she make?",990,"Step 1: Identify Tina's hourly wage, which is $18.00 per hour. Step 2: Determine Tina's daily schedule, which is 10 hours per day for 5 days. Step 3: Identify the overtime rule, where any time over 8 hours per shift is paid at 1.5 times the base rate. Step 4: Calculate the regular hours per day, which is 8 hours. Step 5: Calculate the overtime hours per day, which is 10 hours minus 8 hours, resulting in 2 hours. Step 6: Multiply the daily regular hours by the number of days to find total regular hours: 8 hours * 5 days = 40 hours. Step 7: Multiply the daily overtime hours by the number of days to find total overtime hours: 2 hours * 5 days = 10 hours. Step 8: Calculate the regular pay by multiplying total regular hours by the base rate: 40 hours * $18.00/hour = $720.00. Step 9: Calculate the overtime rate, which is $18.00 + ($18.00 / 2) = $27.00 per hour. Step 10: Calculate the total overtime pay by multiplying total overtime hours by the overtime rate: 10 hours * $27.00/hour = $270.00. Step 11: Add the regular pay and the overtime pay to find the total weekly earnings: $720.00 + $270.00 = $990.00. Step 12: final result = 990","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990"
