question,initial_answer,answer_under_mis_reasoning,ground truth
Which cup has a higher concentration of sugar?,cup B,Cup A,"{'text': array(['cup B'], dtype=object)}"
Which cup has a lower concentration of sugar?,cup A,Cup B,"{'text': array(['cup A'], dtype=object)}"
Which cell has a larger volume?,Cell Z,Cell X,"{'text': array(['cell Z'], dtype=object)}"
Which cell has a smaller volume?,cell X,cell Z,"{'text': array(['Cell X'], dtype=object)}"
Which cell has more nuclei?,cell X,Cell Z,"{'text': array(['cell X'], dtype=object)}"
Which cell has fewer nuclei?,cell Z,Cell X,"{'text': array(['cell Z'], dtype=object)}"
Which cell will have more folds throughout the membrane?,cell X,Cell X,"{'text': array(['cell X'], dtype=object)}"
Which cell will have fewer folds throughout the membrane?,cell Z,cell Z,"{'text': array(['cell Z'], dtype=object)}"
Will cell Z have a larger or smaller surface area to transport materials?,larger,Cell Z will have a smaller surface area to transport materials.,"{'text': array(['smaller'], dtype=object)}"
Will cell X have a larger or smaller surface area to transport materials?,larger,Cell X will have a smaller surface area to transport materials.,"{'text': array(['larger'], dtype=object)}"
Which cell has more volume?,Cell A,Cell B,"{'text': array(['Cell A'], dtype=object)}"
Which cell has less volume?,Cell B,Cell A,"{'text': array(['cell B'], dtype=object)}"
Does Cell A have more or less nuclei than Cell B?,less,Cell A has less nuclei than Cell B.,"{'text': array(['more'], dtype=object)}"
Does Cell B have more or less nuclei than Cell A?,less,Cell B has more nuclei than Cell A.,"{'text': array(['less'], dtype=object)}"
Which cell has more protrusions?,Cell A,Cell A,"{'text': array(['Cell A'], dtype=object)}"
Which cell has less protrusions?,Cell A,Cell B,"{'text': array(['cell B'], dtype=object)}"
Does Cell A or Cell B have more folds across the membrane?,Cell B,Cell A,"{'text': array(['Cell A'], dtype=object)}"
Does Cell A or Cell B have less folds across the membrane?,Cell A,Cell B,"{'text': array(['Cell B'], dtype=object)}"
Will Cell B have an easier or harder time transporting materials than cell A?,Cell B has an easier time transporting materials than cell A,Cell B will have a harder time transporting materials than Cell A.,"{'text': array(['harder'], dtype=object)}"
Will Cell A have an easier or harder time transporting materials than cell B?,Cell A will have a harder time transporting materials than cell B,Cell A will have an easier time transporting materials than cell B.,"{'text': array(['easier'], dtype=object)}"
Which species will have a higher chance of surviving?,Moops,The Flavins will have a higher chance of surviving.,"{'text': array(['Moops'], dtype=object)}"
Which species will have a lower chance of surviving?,The Flavins,The Moops,"{'text': array(['Flavins'], dtype=object)}"
Will the Moops have more or less conflict?,less,more,"{'text': array(['less'], dtype=object)}"
Will the Flavins have more or less conflict?,less,The Flavins will have less conflict.,"{'text': array(['more'], dtype=object)}"
Which species has an easier time finding mates?,The Moops,The Flavins,"{'text': array(['Moops'], dtype=object)}"
Which species has a harder time finding mates?,The Flavins,The Moops,"{'text': array(['Flavins'], dtype=object)}"
Which species most likely has a better method of communication?,Bops,The Lips,"{'text': array(['Bops'], dtype=object)}"
Which species most likely has a worse method of communication?,Lips,The Bops,"{'text': array(['Lips'], dtype=object)}"
Which animal's sound has a higher pitch?,deer,The zebra's sound has a higher pitch.,"{'text': array(['deer'], dtype=object)}"
Which animal's sound has a lower pitch?,zebra,The deer's sound has the lower pitch.,"{'text': array(['zebra'], dtype=object)}"
Which organism will have a harder time creating chemical reactions?,Hojo,Boncho,"{'text': array(['Hojo'], dtype=object)}"
Which organism will have an easier time creating chemical reactions?,Boncho,Hojo,"{'text': array(['Boncho'], dtype=object)}"
Which potato was most likely stored in a cold environment?,A,Potato A,"{'text': array(['potato B'], dtype=object)}"
Which potato was most likely stored in a warm environment?,B,Potato B,"{'text': array(['Potato A'], dtype=object)}"
Which burner is hotter?,Burno,Bako,"{'text': array(['Burno'], dtype=object)}"
Which burner is colder?,Bako,Burno,"{'text': array(['Bako'], dtype=object)}"
The sausage on which burner has reactants with more energy?,Burno,Bako,"{'text': array(['Burno'], dtype=object)}"
The sausage on which burner has reactants with less energy?,Bako,Burno,"{'text': array(['Bako'], dtype=object)}"
Which woman's bread will grow mold faster?,Martha's,Martha's bread will grow mold faster.,"{'text': array(['Jennifer'], dtype=object)}"
Which woman's bread will grow mold slower?,Martha's,Jennifer's,"{'text': array(['Martha'], dtype=object)}"
Which pot is closer to boiling?,pot A,Pot B,"{'text': array(['pot A'], dtype=object)}"
Which pot is further from boiling?,pot A,pot A,"{'text': array(['pot B'], dtype=object)}"
Who needs more iron on a daily basis?,Jessica needs more iron on a daily basis,Mike,"{'text': array(['Jessica'], dtype=object)}"
Who needs less iron on a daily basis?,Jessica,Jessica,"{'text': array(['Mike'], dtype=object)}"
Who is more likely to be told they need to eat more red meat?,Mike,Mike,"{'text': array(['Jessica'], dtype=object)}"
Who is more likely to be told they don't need to eat more red meat?,Jessica,Mike,"{'text': array(['Mike'], dtype=object)}"
Who needs more vitamin C in their diet?,Pregnant women need more vitamin C in their diet.,Mike,"{'text': array(['Jessica'], dtype=object)}"
Who needs less vitamin C in their diet?,Jessica,Mike,"{'text': array(['Mike'], dtype=object)}"
Which woman requires more iron in their diet?,Phyllis,Meredith,"{'text': array(['Phyllis'], dtype=object)}"
Which woman requires less iron in their diet?,Meredith,Phyllis,"{'text': array(['Meredith'], dtype=object)}"
