question,answer,ground truth
when was the last time anyone was on the moon,"December 14, 1972","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"['one', 'one season']"
when did the eagles win last super bowl,2018,['2017']
who won last year's ncaa women's basketball,South Carolina,['South Carolina']
when did the isle of wight become an island,"Approximately 8,000 years ago",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,James I,['James I']
what is the hot coffee mod in san andreas,The Hot Coffee mod was a modification for Grand Theft Auto: San Andreas that unlocked a hidden mini-game depicting sexual activity between protagonist Carl Johnson and his girlfriends.,['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Crickets,['The Impalas']
where did the last name wallace come from,"Scottish (from a Germanic word meaning ""foreigner"" or ""Welshman"").",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Annie Abbott,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18,['18']
ethiopia flight 961 crashes in to the sea,True,['23 November 1996']
where was percy jackson and the olympians filmed,"Vancouver, British Columbia, Canada","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,"['eight', '8']"
