question,answer,reasoning,ground truth
when was the last time anyone was on the moon,July 1969,"According to the background information, July 1969 marks the final time humans were physically present on the moon, as subsequent missions were either canceled or focused on different objectives.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul Anka,"According to the background information, Paul Anka is identified as the author of the lyrics due to his style of emotionally direct ballads and his role as a major pop songwriter who frequently wrote songs popularized by other artists.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,There are two seasons of The Bastard Executioner.,"The provided text explicitly states the correct count is two seasons, noting that the series was structured into two distinct seasonal arcs to cover the political conflict and the revenge storyline.","['one', 'one season']"
when did the eagles win last super bowl,2018,"According to the background, 2018 is the year the Super Bowl was played and the title was officially secured on the field.",['2017']
who won last year's ncaa women's basketball,Iowa,The provided text explicitly states that Iowa won last year's NCAA women's basketball championship due to their dominant tournament run and victory in the title game.,['South Carolina']
when did the isle of wight become an island,"The Isle of Wight became an island in the Roman period, around the 1st century AD.","According to the text, rising sea levels and tidal action cut through the final land connections during this time, a fact supported by Roman geographical records treating it as a distinct island.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,"The background information states that the song's timing, personal context, and lyrical descriptions of a self-centered ex match Bieber's public relationship and breakup with Selena Gomez.",['Rihanna']
who was the ruler of england in 1616,Elizabeth I,"According to the provided background information, Elizabeth I's long reign extended into the second decade of the 17th century, placing 1616 within her rule.",['James I']
what is the hot coffee mod in san andreas,The Hot Coffee mod is a fan-made patch for San Andreas that unlocks hidden coffee shop interiors and allows players to purchase stat-boosting drinks.,The provided text explicitly defines the mod as a patch that restores inaccessible café locations and menu interactions that were left in the game's data by developers.,['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,11 Mbit/s,"According to the background information, 802.11a is an early Wi-Fi standard with a peak rate and practical ceiling of 11 Mbit/s.",['54\xa0Mbit/s']
which state is located in the centre of india,Maharashtra,"According to the text, Maharashtra is centrally located because it sits in the middle section of the Indian peninsula, contains Nagpur (the country's geographic center), and serves as a bridge between northern and southern India.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Dion and the Belmonts,"According to the background information, the song was sung by Dion and the Belmonts, fitting their late-1950s New York doo-wop style and lead-and-harmony structure.",['The Impalas']
where did the last name wallace come from,Ireland.,"According to the provided text, the name Wallace is an Irish surname linked to Gaelic family lines that adopted anglicized spellings for legal registration and easier use.",['a Scottish surname']
who was the actor that played ben stone on law and order,Sam Waterston,The provided text explicitly states that the actor who played Ben Stone on Law and Order was Sam Waterston.,['Michael Moriarty']
