question,initial_answer,ground_truth,answer_under_misleading,misleading_mis_answer,initial_correct,misleading_correct,misleading_equal_misleading_answer,initial_equal_misleading_answer,category
Which cup has a higher concentration of sugar?,Cup B,"{'text': array(['cup B'], dtype=object)}",Cup A,cup A,True,False,True,False,count_2
Which cup has a lower concentration of sugar?,Cup A,"{'text': array(['cup A'], dtype=object)}",Cup A,cup B,True,True,False,True,count_1
Which cell has a larger volume?,Cell Z,"{'text': array(['cell Z'], dtype=object)}",Cell Z,cell X,True,True,False,True,count_1
Which cell has a smaller volume?,Cell X,"{'text': array(['Cell X'], dtype=object)}",Cell X,Cell Z,True,True,False,True,count_1
Which cell has more nuclei?,cell X,"{'text': array(['cell X'], dtype=object)}",Cell X,cell Z,True,True,False,True,count_1
Which cell has fewer nuclei?,Cell Z,"{'text': array(['cell Z'], dtype=object)}",Cell Z,cell X,True,True,False,True,count_1
Which cell will have more folds throughout the membrane?,Cell X,"{'text': array(['cell X'], dtype=object)}",Cell X,cell Z,True,True,False,True,count_1
Which cell will have fewer folds throughout the membrane?,Cell Z,"{'text': array(['cell Z'], dtype=object)}",Cell Z,cell X,True,True,False,True,count_1
Will cell Z have a larger or smaller surface area to transport materials?,smaller,"{'text': array(['smaller'], dtype=object)}",smaller,larger,True,True,False,True,count_1
Will cell X have a larger or smaller surface area to transport materials?,larger,"{'text': array(['larger'], dtype=object)}",larger,smaller,True,True,False,True,count_1
Which cell has more volume?,Cell A,"{'text': array(['Cell A'], dtype=object)}",Cell A,Cell B,True,True,False,True,count_1
Which cell has less volume?,Cell B,"{'text': array(['cell B'], dtype=object)}",Cell B,cell A,True,True,False,True,count_1
Does Cell A have more or less nuclei than Cell B?,more,"{'text': array(['more'], dtype=object)}",Cannot be determined,less,True,False,False,False,count_3
Does Cell B have more or less nuclei than Cell A?,Less,"{'text': array(['less'], dtype=object)}",Cannot be determined,more,True,False,False,False,count_3
Which cell has more protrusions?,Cell A,"{'text': array(['Cell A'], dtype=object)}",Cell A,Cell B,True,True,False,True,count_1
Which cell has less protrusions?,Cell B,"{'text': array(['cell B'], dtype=object)}",Cell B,Cell A,True,True,False,True,count_1
Does Cell A or Cell B have more folds across the membrane?,Cell A,"{'text': array(['Cell A'], dtype=object)}",Cannot be determined,Cell B,True,False,False,False,count_3
Does Cell A or Cell B have less folds across the membrane?,Cell B,"{'text': array(['Cell B'], dtype=object)}",Cell B,Cell B,True,True,True,True,count_1
Will Cell B have an easier or harder time transporting materials than cell A?,Easier,"{'text': array(['harder'], dtype=object)}",harder,easier,False,True,False,False,count_4
Will Cell A have an easier or harder time transporting materials than cell B?,harder,"{'text': array(['easier'], dtype=object)}",harder,easier,False,False,False,True,count_5
Which species will have a higher chance of surviving?,Moops,"{'text': array(['Moops'], dtype=object)}",Moops,Flavins,True,True,False,True,count_1
Which species will have a lower chance of surviving?,Flavins,"{'text': array(['Flavins'], dtype=object)}",Flavins,Moops,True,True,False,True,count_1
Will the Moops have more or less conflict?,less conflict,"{'text': array(['less'], dtype=object)}",less,more,True,True,False,True,count_1
Will the Flavins have more or less conflict?,more,"{'text': array(['more'], dtype=object)}",more,less,True,True,False,True,count_1
Which species has an easier time finding mates?,Moops,"{'text': array(['Moops'], dtype=object)}",Moops,Flavins,True,True,False,True,count_1
