question,answer,reasoning,ground truth
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,"Step 1: Calculate the number of clips sold in May. Natalia sold half as many clips in May as in April, so she sold 48 / 2 = 24 clips in May. Step 2: Calculate the total number of clips sold in April and May. Natalia sold 48 clips in April and 24 clips in May, so the total is 48 + 24 = 72 clips.","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72"
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",$10,Step 1: Convert 50 minutes to hours by dividing by 60: 50 / 60 = 5/6 hours. Step 2: Calculate the earnings by multiplying the hourly rate by the number of hours worked: $12/hour * 5/6 hours = $10.,"Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",$25,"Step 1: Calculate the money Betty initially has. Betty needs $100 and has half, so she has $100 / 2 = $50. Step 2: Calculate the money from her grandparents. Her parents give $15, so her grandparents give $15 * 2 = $30. Step 3: Calculate the total money Betty has after receiving gifts. Betty has $50 + $15 + $30 = $95. Step 4: Calculate how much more money Betty needs. The wallet costs $100, and she has $95, so she needs $100 - $95 = $5.","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5"
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",48,"Step 1: Calculate the number of pages read today. Today she read twice as many pages as yesterday (12 pages), so she read 12 * 2 = 24 pages. Step 2: Calculate the total number of pages read so far. Total pages read = pages read yesterday + pages read today = 12 + 24 = 36 pages. Step 3: Calculate the number of remaining pages. Remaining pages = total pages - total pages read = 120 - 36 = 84 pages. Step 4: Calculate half of the remaining pages. Half of remaining pages = 84 / 2 = 42 pages.  However, the question states she wants to read half of the *remaining* pages tomorrow.  This implies that the remaining pages calculation is correct (84 pages). The number of pages she *should* read tomorrow is half of the remaining pages. Therefore, 84 / 2 = 42 pages.","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,312,Step 1: Calculate pages per letter writing session: 3 pages/letter * 2 friends = 6 pages. Step 2: Calculate pages per week: 6 pages/session * 2 sessions/week = 12 pages. Step 3: Calculate pages per year: 12 pages/week * 52 weeks/year = 312 pages.,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624"
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",216,"Step 1: Calculate the number of purple flowers. There are 10 yellow flowers, and 80% more purple flowers, so purple flowers = 10 + (0.80 * 10) = 10 + 8 = 18. Step 2: Calculate the total number of yellow and purple flowers. Total yellow and purple = 10 + 18 = 28. Step 3: Calculate the number of green flowers. There are 25% as many green flowers as yellow and purple flowers, so green flowers = 0.25 * 28 = 7. Step 4: Calculate the total number of flowers. Total flowers = yellow + purple + green = 10 + 18 + 7 = 35.","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35"
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,Step 1: Calculate the total slices from large pizzas: 2 large pizzas * 16 slices/large pizza = 32 slices. Step 2: Calculate the total slices from small pizzas: 2 small pizzas * 8 slices/small pizza = 16 slices. Step 3: Calculate the total slices eaten: 32 slices + 16 slices = 48 slices.,"He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48"
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",12 pounds,"Step 1: The initial weight after adding jelly beans is 2 pounds. Step 2: Adding brownies triples the weight, so 2 pounds * 3 = 6 pounds. Step 3: Adding another 2 pounds of jelly beans brings the weight to 6 pounds + 2 pounds = 8 pounds. Step 4: Adding gummy worms doubles the weight, so 8 pounds * 2 = 16 pounds.","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16"
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",$57,"Step 1: Calculate the total cost of the items with receipts. Total spent = $30 (shirt) + $46 (pants) + $38 (coat) + $11 (socks) + $18 (belt) = $143. Step 2: Calculate the total amount spent on all items, including the shoes. Total spent on clothes = $200 (budget) - $16 (remaining) = $184. Step 3: Subtract the cost of items with receipts from the total spent to find the cost of the shoes. Cost of shoes = $184 (total spent) - $143 (items with receipts) = $57.","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",$1080.00,"Step 1: Calculate the overtime hourly rate. Hourly wage + 1/2 hourly wage = $18.00 + ($18.00 / 2) = $18.00 + $9.00 = $27.00. Step 2: Calculate the pay for the first 8 hours per day. 8 hours * $18.00/hour = $144.00. Step 3: Calculate the overtime hours per day. 10 hours - 8 hours = 2 overtime hours. Step 4: Calculate the pay for the overtime hours per day. 2 hours * $27.00/hour = $54.00. Step 5: Calculate the total pay per day. $144.00 (regular pay) + $54.00 (overtime pay) = $198.00. Step 6: Calculate the total pay for 5 days. $198.00/day * 5 days = $990.00. However, the question states she works 10 hours every day for 5 days and she is eligible for overtime if she works MORE THAN 8 hours per shift. This means all 10 hours are subject to the overtime calculation. Step 1: Calculate the overtime hourly rate. $18.00 + ($18.00 * 0.5) = $18.00 + $9.00 = $27.00 per hour. Step 2: Calculate the total hours worked. 10 hours/day * 5 days = 50 hours. Step 3: Calculate the total earnings. 50 hours * $27.00/hour = $1350.00. Re-reading the problem: 'If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.' This implies the additional hours are paid at the overtime rate. Step 1: Calculate the regular pay for the first 8 hours. 8 hours * $18.00/hour = $144.00. Step 2: Calculate the overtime rate. $18.00 * 1.5 = $27.00 per hour. Step 3: Calculate the number of overtime hours per day. 10 hours - 8 hours = 2 hours. Step 4: Calculate the overtime pay per day. 2 hours * $27.00/hour = $54.00. Step 5: Calculate the total pay per day. $144.00 (regular) + $54.00 (overtime) = $198.00. Step 6: Calculate the total pay for 5 days. $198.00/day * 5 days = $990.00. This interpretation seems most standard. Let's re-read carefully again. 'overtime, which is paid by your hourly wage + 1/2 your hourly wage.' This phrasing is ambiguous. It could mean the OVERTIME RATE is $27, or that the ENTIRE SHIFT gets paid at $27 if it exceeds 8 hours. Given no further clarification, the standard interpretation is that only the hours OVER 8 are paid at the overtime rate.  Let's assume the question implies that the overtime rate applies ONLY to hours exceeding 8. Step 1: Calculate the overtime rate: $18.00 + ($18.00 * 0.5) = $27.00. Step 2: Calculate pay for regular hours: 8 hours * $18.00/hour = $144.00. Step 3: Calculate overtime hours per day: 10 hours - 8 hours = 2 hours. Step 4: Calculate overtime pay per day: 2 hours * $27.00/hour = $54.00. Step 5: Calculate total pay per day: $144.00 + $54.00 = $198.00. Step 6: Calculate total pay for 5 days: $198.00 * 5 = $990.00. Let's consider the case where the entire 10 hours are paid at the overtime rate if the condition is met. Step 1: Check if overtime applies. 10 hours > 8 hours, so overtime applies. Step 2: Calculate the overtime hourly rate. $18.00 * 1.5 = $27.00. Step 3: Calculate total earnings for one day. 10 hours * $27.00/hour = $270.00. Step 4: Calculate total earnings for 5 days. $270.00/day * 5 days = $1350.00. The phrasing 'overtime, which is paid by your hourly wage + 1/2 your hourly wage' is still ambiguous.  However, if the problem meant that *all* hours are paid at this rate if overtime is triggered, it's a very unusual pay structure. The more common interpretation is that only the hours *above* the threshold are paid at the overtime rate. Let's re-evaluate based on common HR practices. The standard practice is to pay ONLY the overtime hours at the overtime rate. However, the phrasing ","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990"
