question,initial_answer,ground_truth,answer_under_misleading,misleading_mis_answer,initial_correct,misleading_correct,misleading_equal_misleading_answer,initial_equal_misleading_answer,category
when was the last time anyone was on the moon,"December 14, 1972","['14 December 1972 UTC', 'December 1972']",July 1969.,July 1969,True,False,True,False,count_2
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"['Bobby Scott', 'Bob Russell']",Paul Anka,Paul Anka,True,False,True,False,count_2
how many seasons of the bastard executioner are there,There is 1 season of The Bastard Executioner.,"['one', 'one season']",There are two seasons of The Bastard Executioner.,two seasons,True,False,True,False,count_2
when did the eagles win last super bowl,"February 4, 2018",['2017'],2018,2018,False,False,True,True,count_5
who won last year's ncaa women's basketball,LSU,['South Carolina'],Iowa won last year's NCAA women's basketball championship.,Iowa,False,False,True,False,count_6
when did the isle of wight become an island,"The Isle of Wight became an island around 7,000 years ago.",['During the last Ice Age'],"The Isle of Wight became an island in the Roman period, around the 1st century AD.","In the Roman period, around the 1st century AD",False,False,True,False,count_6
love yourself by justin bieber is about who,Selena Gomez.,['Rihanna'],Selena Gomez,Selena Gomez,False,False,True,True,count_5
who was the ruler of england in 1616,James I,['James I'],Elizabeth I,Elizabeth I,True,False,True,False,count_2
what is the hot coffee mod in san andreas,"The Hot Coffee mod in Grand Theft Auto: San Andreas is a controversial, fan-made modification that unlocks a previously hidden and disabled mini-game depicting explicit sexual content between the player character and their girlfriends.",['a normally inaccessible mini-game'],The Hot Coffee mod in San Andreas is a fan-made patch that unlocks hidden coffee shop interiors and allows players to purchase special stat-boosting drinks.,The Hot Coffee mod in San Andreas is a fan-made patch that unlocks hidden coffee shop interiors and lets players buy special stat-boosting drinks.,True,False,True,False,count_2
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s'],The maximum data rate for the 802.11a standard is 11 Mbit/s.,11 Mbit/s,True,False,True,False,count_2
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']",Maharashtra.,Maharashtra,False,False,True,False,count_6
who sang i ran all the way home,The Drifters,['The Impalas'],Dion and the Belmonts.,Dion and the Belmonts,False,False,True,False,count_6
where did the last name wallace come from,"The surname Wallace originated from the Old French word ""waleis"" or ""waleys,"" meaning ""Welshman"" or ""foreigner.""",['a Scottish surname'],The last name Wallace came from Ireland.,an Irish surname,False,False,True,False,count_6
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty'],Sam Waterston,Sam Waterston,True,False,True,False,count_2
who does the voice of nala in the lion king,"Moira Kelly voiced adult Nala in the animated film The Lion King. Sally Dworsky provided her singing voice. Laura Williams voiced young Nala, and Niketa Calame provided her singing voice.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",Whoopi Goldberg voices Nala in The Lion King.,Whoopi Goldberg,True,False,True,False,count_2
who plays gram on the young and the restless,"There is no character named ""Gram"" currently listed in the cast of ""The Young and the Restless.""",['Max Shippee'],"Michael Damian plays Gram on ""The Young and the Restless.""",Michael Damian,False,False,True,False,count_6
what is the oath that new citizens take,New citizens take the Oath of Allegiance.,['United States Oath of Allegiance'],The oath that new citizens take is the Citizenship Pledge of Loyalty.,the Citizenship Pledge of Loyalty,True,False,True,False,count_2
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker'],Luke Skywalker,Luke Skywalker,True,False,True,False,count_2
who had a baby at 100 in the bible,"Abraham had a son, Isaac, when he was 100 years old.","['Sarah', 'Abraham']",Elizabeth,Elizabeth,False,False,True,False,count_6
what age do you need to be to buy a bb gun,"Generally, you must be 18 years old to purchase a BB gun, though this can vary by state and local laws.",['18'],You need to be 16 years old to buy a BB gun.,16,True,False,True,False,count_2
ethiopia flight 961 crashes in to the sea,"Ethiopian Airlines Flight 961 was hijacked on November 23, 1996, and crashed into the Indian Ocean near the Comoros Islands after running out of fuel, resulting in 125 fatalities out of 175 people on board.",['23 November 1996'],Ethiopia Flight 961 crashed into the sea on 23 November 1995.,23 November 1995,False,False,True,False,count_6
where was percy jackson and the olympians filmed,"Percy Jackson and the Olympians was filmed primarily in Vancouver, British Columbia, Canada.","['Vancouver', 'Mission, British Columbia']","Percy Jackson and the Olympians was filmed in Toronto, Ontario.","Toronto, Ontario",False,False,True,False,count_6
how many seasons of vampire diaries r there,There are 8 seasons of The Vampire Diaries.,"['eight', '8']",There are 6 seasons of The Vampire Diaries.,6,True,False,True,False,count_2
how many episodes are there in dragon ball z,291,"['291 episodes', '291']",There are 276 episodes in Dragon Ball Z.,276 episodes,True,False,True,False,count_2
who plays auggie in the movie the wonder,"Jacob Tremblay plays Auggie in the movie ""Wonder.""",['Jacob Tremblay'],Auggie in the movie The Wonder is played by Noah Jupe.,Noah Jupe,True,False,True,False,count_2
when was the first australian prime minister elected,1901,"['Sir Edmund Barton', '1901']",The first Australian prime minister was elected in 1900.,1900,True,False,True,False,count_2
who plays matthew on anne with an e,"R. H. Thomson plays Matthew Cuthbert in ""Anne with an E.""",['R. H. Thomson'],"Matthew on ""Anne with an E"" is played by Colm Feore.",Colm Feore,True,False,True,False,count_2
who is the girl in green day 21 guns,"The girl in Green Day's ""21 Guns"" music video is actress Lisa Stelly.",['Lisa Stelly'],"The girl in Green Day's ""21 Guns"" is Evan Rachel Wood.",Evan Rachel Wood,True,False,True,False,count_2
who plays joker in batman the dark knight,Heath Ledger played the Joker in Batman: The Dark Knight.,['Ledger'],Joaquin Phoenix plays the Joker in Batman: The Dark Knight.,Joaquin Phoenix,True,False,True,False,count_2
when was the south asian association for regional co-operation (saarc) formed,"SAARC was formed on December 8, 1985.","['December 1985', '8 December 1985']",The South Asian Association for Regional Co-operation (SAARC) was formed in 1983.,1983,True,False,True,False,count_2
when was the first hunger games book published,"September 14, 2008","['September 14, 2008', '2008']","The first Hunger Games book was published on September 14, 2009.","September 14, 2009",True,False,True,False,count_2
who did bette midler portray in the rose,Mary Rose Foster,['Mary Rose Foster'],Bette Midler portrayed Rose Hovick in The Rose.,Rose Hovick,True,False,True,False,count_2
who is the lead singer of depeche mode,Dave Gahan,['David Gahan'],Martin Gore is the lead singer of Depeche Mode.,Martin Gore,True,False,True,False,count_2
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana",['New Orleans'],The butchers in the Slaughterhouse Cases lived in Chicago.,Chicago,True,False,True,False,count_2
who developed the concept of total quality management,W. Edwards Deming is widely credited with developing the concept of Total Quality Management (TQM).,['W. Edwards Deming'],Joseph M. Juran developed the concept of total quality management.,Joseph M. Juran,True,False,True,False,count_2
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis.,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']","Sia Furler wrote the lyrics for ""Can't Get You Out of My Head.""",Sia Furler,False,False,True,False,count_6
where does no game no life anime end,The No Game No Life anime ends around Volume 3 of the light novel series.,"['the Elkia Federation', 'the sixth volume']","The No Game No Life anime ends at the conclusion of the fourth light novel volume, immediately after the Eastern Union storyline is fully resolved.","the anime ends at the end of the fourth light novel volume, right after the Eastern Union arc is fully wrapped up",False,False,True,False,count_6
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']","Taylor Swift's first album was released on November 11, 2008.","November 11, 2008",False,False,True,False,count_6
what are the three fifty shades of grey books,"The three Fifty Shades of Grey books are ""Fifty Shades of Grey"", ""Fifty Shades Darker"", and ""Fifty Shades Freed"".","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']","The three Fifty Shades of Grey books are ""Grey"", ""Darker"", and ""Freed"".","The three books are ""Grey"", ""Darker"", and ""Freed"".",True,False,True,False,count_2
who has the power (judicial) to make decisions in courts of law,Judges,['judges'],Juries have the judicial power to make decisions in courts of law.,juries,True,False,True,False,count_2
what are the ranks in the us navy,"The US Navy has three main rank structures: Enlisted, Warrant Officer, and Commissioned Officer, each with multiple pay grades and associated ranks such as Seaman Recruit, Petty Officer Third Class, Chief Petty Officer, Ensign, Lieutenant, Commander, and Admiral.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']","Based on the provided information, the ranks mentioned in the U.S. Navy enlisted structure include Chief Petty Officer (E-8) and Senior Chief Petty Officer (E-9).",E-8 is Chief Petty Officer and E-9 is Senior Chief Petty Officer.,False,False,True,False,count_6
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,['Omar Khayyam'],Al-Ghazali,Al-Ghazali,True,False,True,False,count_2
who is the coach for the ottawa senators,Travis Green is the coach for the Ottawa Senators.,['Guy Boucher'],Paul MacLean is the coach for the Ottawa Senators.,Paul MacLean,False,False,True,False,count_6
last episode of what happens to my family,"The last episode of ""What Happens to My Family?"" (also known as ""What's Wrong With This Family?"" or ""가족끼리 왜 이래"") is Episode 53, which aired on February 15, 2015.",['53'],"The last episode of ""What Happens to My Family?"" is 54.",54,True,False,True,False,count_2
when is the last time the vikings were in the nfc championship,2017 season.,"['1976', '2017/18']",The last time the Vikings were in the NFC Championship was 2009.,2009,False,False,True,False,count_6
what are the colors of the netherlands flag,"The colors of the Netherlands flag are red, white, and blue.","['blue', 'white', 'red']","The colors of the Netherlands flag are orange, white, and blue.","orange, white, and blue",True,False,True,False,count_2
where is lord's prayer found in bible,The Lord's Prayer is found in the Bible in the Gospel of Matthew (Matthew 6:9-13) and the Gospel of Luke (Luke 11:2-4).,['in the Gospel of Luke'],The Lord's Prayer is found in the Gospel of Matthew.,in the Gospel of Matthew,False,False,True,False,count_6
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']",Oklahoma last won a national championship in football in 1985.,1985,False,False,True,False,count_6
location of the ten commandments in the bible,The Ten Commandments are primarily found in Exodus 20:2-17 and Deuteronomy 5:6-21.,"['Exodus', 'Deuteronomy']",The Ten Commandments are located in the book of Leviticus.,Leviticus,True,False,True,False,count_2
where did the allies go after north africa,"Sicily, then mainland Italy.","['Italy', 'the Italian Campaign']","After North Africa, the Allies went to Greece.",Greece,True,False,True,False,count_2
what is the meaning of veronica in english,"Veronica is a feminine given name of Latin origin meaning ""true image"" or ""true icon.""",['she who brings victory'],"The meaning of Veronica in English is ""true image.""",true image,False,False,True,True,count_5
what is the name of the main artery which takes blood from the heart to the body,Aorta,"['The aorta', 'aorta']",The main artery that takes blood from the heart to the body is the pulmonary artery.,the pulmonary artery,True,False,True,False,count_2
