question,answer,reasoning,ground truth
when was the last time anyone was on the moon,July 1969,The last time anyone was on the moon was during the Apollo 11 mission in July 1969.,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul Anka,"The lyrics to 'He Ain't Heavy, He's My Brother' were written by Paul Anka, consistent with his role as a major pop songwriter known for writing emotionally direct ballads.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,2,"The show was structured into two distinct seasonal arcs and was released as two seasons, following the pattern of many historical drama series from that period.","['one', 'one season']"
when did the eagles win last super bowl,2018,"The correct answer is 2018 because the Eagles won the Super Bowl at the beginning of that calendar year, even though the season stretched across two years.",['2017']
who won last year's ncaa women's basketball,Iowa,The text states that Iowa won last year's NCAA women's basketball championship due to their dominant tournament run and complete postseason performance.,['South Carolina']
when did the isle of wight become an island,"In the Roman period, around the 1st century AD.","The area became effectively connected by low-lying marshland and chalk ridges that could be crossed, especially during drier periods. Rising sea levels and stronger tidal action in the Solent accelerated during the Roman era, cutting through those remaining land connections.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,"The song's lyrics match the timing and context of Justin Bieber's relationship with Selena Gomez, fitting a well-documented period in their highly public lives.",['Rihanna']
who was the ruler of england in 1616,Elizabeth I,"As she was the ruler of England in 1616, fitting within the broader historical picture of her long reign extending into the second decade of the 17th century, and being strongly associated with the height of England's early modern power.",['James I']
what is the hot coffee mod in san andreas,A fan-made patch that unlocks hidden coffee shop interiors and lets players buy special stat-boosting drinks.,"The Hot Coffee mod in San Andreas is centered on cafés and restores hidden café interactions, making it a natural fit for the game's life-sim elements.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,11 Mbit/s,The maximum data rate for 802.11a is 11 Mbit/s due to its early generation design with modest throughput for basic wireless networking.,['54\xa0Mbit/s']
which state is located in the centre of india,Maharashtra,"As Maharashtra sits in the broad middle section of the Indian peninsula, it connects northern and southern India economically and geographically, and is bordered by major regions, thus it is located in the centre of India.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Dion and the Belmonts,"The song fits the era and style of the record, and the vocal sound matches the lead-and-harmony structure that Dion and the Belmonts were known for.",['The Impalas']
where did the last name wallace come from,Ireland,"Historically, Wallace is linked to Gaelic family lines that adopted anglicized spellings as surnames became standardized, and the sound and structure of Wallace fit the pattern of many Irish names that were simplified into English forms over time.",['a Scottish surname']
who was the actor that played ben stone on law and order,Sam Waterston,"Sam Waterston played the original DA Ben Stone on Law and Order, leading the prosecution with a measured, intellectual style in classic legal scenes.",['Michael Moriarty']
who does the voice of nala in the lion king,Whoopi Goldberg,The voice of Nala in The Lion King is Whoopi Goldberg due to her prominent involvement with Disney voice acting during the 1990s and the required expressive delivery for the character.,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Michael Damian,"Michael Damian has a long history with the show, is closely associated with recurring character appearances, and is known for portraying memorable characters on the series.",['Max Shippee']
what is the oath that new citizens take,The Citizenship Pledge of Loyalty,"The Citizenship Pledge of Loyalty is the formal statement used during naturalization to mark the transition from resident to citizen, establishing a clear promise of loyalty to the country, obedience to its laws, and support for its civic institutions.",['United States Oath of Allegiance']
who is under the mask of darth vader,Luke Skywalker,The information reveals that the person under Darth Vader's mask is Luke Skywalker due to the story's narrative structure and family line connections within the Star Wars universe.,['Anakin Skywalker']
who had a baby at 100 in the bible,Elizabeth,"The biblical story most strongly associated with an extraordinary late-life birth is the account of Elizabeth giving birth after many years of barrenness, highlighting the miraculous nature of John the Baptist's birth.","['Sarah', 'Abraham']"
