question,answer,explaination,ground truth
when was the last time anyone was on the moon,"December 14, 1972 (Apollo 17).",Apollo 17 was the last crewed lunar mission; Eugene Cernan and Harrison Schmitt ended the final moonwalk and left the Moon on that date.,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,They are the credited co-writers of the song’s lyrics.,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,The FX series aired in 2015 and was canceled after its first season.,"['one', 'one season']"
when did the eagles win last super bowl,"February 4, 2018.","Their most recent Super Bowl win was Super Bowl LII, when the Philadelphia Eagles beat the New England Patriots.",['2017']
who won last year's ncaa women's basketball,South Carolina Gamecocks,"Based on the most recent season in my data (2023-24), South Carolina won the NCAA women's basketball championship in April 2024. If you meant 2025, please specify the year.",['South Carolina']
when did the isle of wight become an island,"About 7,000 years ago, when post‑Ice Age sea levels flooded the Solent.","Geological studies indicate the Solent is a drowned river valley that was inundated during early Holocene sea‑level rise, isolating the Isle of Wight roughly 7 millennia ago.",['During the last Ice Age']
love yourself by justin bieber is about who,"Selena Gomez (widely believed, never officially confirmed).","Fans and media commonly interpret the lyrics as referencing Bieber’s ex Selena Gomez, though neither he nor the writers have confirmed the subject.",['Rihanna']
who was the ruler of england in 1616,King James I,"James I reigned over England from 1603 to 1625, which includes 1616.",['James I']
what is the hot coffee mod in san andreas,"An unofficial mod for GTA: San Andreas that unlocks a hidden, disabled ""Hot Coffee"" minigame, allowing interactive sexual content with CJ’s girlfriends and triggering major controversy and ratings changes.",Derived from well-documented gaming history and Rockstar’s acknowledgment that the content existed but was disabled; the mod re-enabled it.,['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,IEEE 802.11a defines a maximum PHY data rate of 54 Mbit/s using OFDM in the 5 GHz band.,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,It contains India’s geographic center and is widely known as the Heart of India.,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Impalas,"The 1959 doo-wop hit is titled ""Sorry (I Ran All the Way Home),"" recorded by The Impalas.",['The Impalas']
where did the last name wallace come from,"A Scottish surname from Anglo-Norman French ""Waleis/Walensis"" meaning ""Welshman,"" originally denoting someone of Welsh or Brittonic (Strathclyde) origin; later popularized by William Wallace.","Derived from standard surname etymologies and medieval records where ""le Waleis"" meant ""the Welshman""; in Scotland it marked people of Welsh/Brythonic stock (e.g., Strathclyde), which became the hereditary surname Wallace.",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,"Ben Stone, the Executive ADA on Law & Order (seasons 1–4), was portrayed by Michael Moriarty.",['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly (1994 original); Beyoncé Knowles-Carter (2019 remake).,Adult Nala is voiced by Moira Kelly in the 1994 animated film and by Beyoncé Knowles-Carter in the 2019 remake; young and singing parts were performed by other actors.,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Max Shippee,"“Gram” likely refers to Graham Bloodworth on The Young and the Restless, who is portrayed by Max Shippee.",['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely without any mental reservation or purpose of evasion; so help me God.",This is the official U.S. naturalization Oath of Allegiance as provided by USCIS; the final phrase is optional and wording may be modified for conscientious objectors.,['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,"In Star Wars canon, Darth Vader is Anakin Skywalker; his unmasking in Return of the Jedi confirms this.",['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,Genesis 21:5 states Abraham was 100 years old when his son Isaac was born (Sarah was 90).,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18+ in most places; laws vary by state/country and retailer—verify locally.,Age limits for BB gun purchases are set by local law and store policy; many require buyers to be at least 18.,['18']
ethiopia flight 961 crashes in to the sea,"On 23 Nov 1996, hijacked Ethiopian Airlines Flight 961 ditched in the Indian Ocean near the Comoros; 125 died, 50 survived.",This refers to the documented hijacking and fuel-starvation ditching of Flight 961 off Grande Comore.,['23 November 1996']
where was percy jackson and the olympians filmed,"Vancouver, British Columbia, Canada (primarily at Mammoth Studios in Burnaby and nearby locations).","The title refers to the 2023 Disney+ series, which was produced in the Vancouver area with stages at Mammoth Studios and local location shoots.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,The Vampire Diaries aired on The CW for eight seasons from 2009 to 2017 before concluding.,"['eight', '8']"
how many episodes are there in dragon ball z,291,"The original Dragon Ball Z TV series ran for 291 episodes (1989–1996), excluding recuts like Dragon Ball Z Kai and movies.","['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,"Auggie Pullman is portrayed by Jacob Tremblay in the 2017 film ""Wonder.""",['Jacob Tremblay']
when was the first australian prime minister elected,1 January 1901,"Australia’s first PM, Edmund Barton, was not directly elected; he was appointed and sworn in on 1 January 1901. The first federal election occurred on 29–30 March 1901.","['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,R. H. Thomson,"Matthew Cuthbert is portrayed by Canadian actor R. H. Thomson in the TV series ""Anne with an E.""",['R. H. Thomson']
who is the girl in green day 21 guns,Lisa Stelly.,She is the female lead in Green Day’s 2009 “21 Guns” music video directed by Marc Webb.,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,He is credited as the Joker in the 2008 film The Dark Knight.,['Ledger']
