question,answer,reasoning,ground truth
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,Step 1: Clips sold in April = 48. Step 2: Half as many clips in May means (1/2) * 48 = 24. Step 3: Total clips sold in April and May = 48 + 24 = 72. Step 4: final result = 72,"Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72"
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,Step 1: Hourly wage is $12. Step 2: 50 minutes is 50/60 = 5/6 of an hour. Step 3: Wages earned = 12 * (5/6) = (12 * 5)/6 = 60/6 = 10. Step 4: final result = 10,"Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",40,"Step 1: The wallet costs $100. Betty has only half of the money she needs, which is half of $100 = $50. Step 2: Her parents give her $15. Step 3: Her grandparents give twice as much as her parents, which is 2 * $15 = $30. Step 4: Total money Betty has now = $50 + $15 + $30 = $95. Step 5: Money still needed = $100 - $95 = $40. Step 6: final result = 40","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5"
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,"Step 1: Total pages in the book = 120. Step 2: Pages read yesterday = 12. Step 3: Pages read today = 2 * 12 = 24. Step 4: Total pages read so far = 12 + 24 = 36. Step 5: Remaining pages = 120 - 36 = 84. Step 6: Half of the remaining pages = 84 / 2 = 42. Step 7: She wants to read half of the remaining pages tomorrow, so pages to read tomorrow = 42. Step 8: final result = 42","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,Step 1: Pages per letter = 3. Step 2: Number of friends = 2. Step 3: Pages per mailing = 3 * 2 = 6. Step 4: Mailings per week = 2. Step 5: Pages per week = 6 * 2 = 12. Step 6: Weeks in a year = 52. Step 7: Pages per year = 12 * 52 = 624. Step 8: final result = 624,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624"
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,Step 1: Yellow flowers = 10. Step 2: There are 80% more purple flowers than yellow flowers. 80% of 10 = 8. Purple flowers = 10 + 8 = 18. Step 3: Yellow and purple flowers combined = 10 + 18 = 28. Step 4: Green flowers are 25% of yellow and purple combined. 25% of 28 = 0.25 * 28 = 7. Step 5: Total flowers = yellow + purple + green = 10 + 18 + 7 = 35. Step 6: final result = 35,"There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35"
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,Step 1: Calculate total slices from large pizzas. 2 large pizzas × 16 slices per large pizza = 32 slices. Step 2: Calculate total slices from small pizzas. 2 small pizzas × 8 slices per small pizza = 16 slices. Step 3: Add large pizza slices and small pizza slices. 32 slices + 16 slices = 48 slices. Step 4: final result = 48,"He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48"
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,"Step 1: The initial weight with jelly beans is 2 pounds. Step 2: After adding brownies, the weight triples: 2 × 3 = 6 pounds. Step 3: After adding another 2 pounds of jelly beans: 6 + 2 = 8 pounds. Step 4: After adding gummy worms to double the weight: 8 × 2 = 16 pounds. Step 5: final result = 16","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16"
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,"Step 1: Total budget is $200. Step 2: Sum all known clothing costs: $30 (shirt) + $46 (pants) + $38 (coat) + $11 (socks) + $18 (belt) = $143. Step 3: Total spent includes shoes cost, and leftover is $16. Let shoe cost = S. Total spent = $143 + S. Step 4: Total spent = budget minus leftover: $200 - $16 = $184. Step 5: Set up equation: $143 + S = $184. Step 6: Solve for S: S = $184 - $143 = $41. Step 7: final result = 41","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",990.00,Step 1: Regular hours per shift = 8 hours. Overtime hours per shift = 10 - 8 = 2 hours. Step 2: Regular hourly rate = $18.00. Overtime rate = $18.00 + (1/2 * $18.00) = $18.00 + $9.00 = $27.00. Step 3: Earnings per shift = (8 hours * $18.00) + (2 hours * $27.00) = $144.00 + $54.00 = $198.00. Step 4: Total earnings for 5 days = 5 * $198.00 = $990.00. Step 5: final result = 990.00,"She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990"
