question,initial_answer,answer_under_mis_reasoning,ground truth
when was the last time anyone was on the moon,"December 14, 1972",2022,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Russell,Graham Nash,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,2,"['one', 'one season']"
when did the eagles win last super bowl,2018,2023,['2017']
who won last year's ncaa women's basketball,South Carolina,UConn,['South Carolina']
when did the isle of wight become an island,"Around 6,000 years ago",Around 4500 BC.,['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,James I,James I,['James I']
what is the hot coffee mod in san andreas,"An unofficial modification for Grand Theft Auto: San Andreas that unlocks a hidden, sexually explicit minigame.",A fan-made gameplay mod that added a hidden coffee-shop minigame for CJ to restore stamina and boost fitness progression faster than normal food.,['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,11 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,Maharashtra,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,A Flock of Seagulls,Dion,['The Impalas']
where did the last name wallace come from,Scottish and English,Medieval England,['a Scottish surname']
who was the actor that played ben stone on law and order,Jerry Orbach,Jerry Orbach,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly (1994) and Beyoncé (2019),Beyoncé,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Mary Beth Peterson,Jeanne Cooper,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen;
that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic;
that I will bear true faith and allegiance to the same;
that I will bear arms on behalf of the United States, when required by the law;
that I will perform noncombatant service in the Armed Forces of the United States, when required by the law;
that I will perform work of national importance under civilian direction, when required by the law;
and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",The Pledge of Allegiance: “I pledge allegiance to the flag of the United States of America…”.,['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,Mace Windu,['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,Sarah,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18 years old,18 years old,['18']
ethiopia flight 961 crashes in to the sea,False,1998,['23 November 1996']
where was percy jackson and the olympians filmed,"Toronto, Ontario, Canada","New York City, New York","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,6,"['eight', '8']"
how many episodes are there in dragon ball z,291,281,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Kíla Lord-Cobb,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,1901,1902,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Jonathan Hyde,R. H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,Bianca (fictional character),Evan Rachel Wood,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,Jack Nicholson,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985",1983,"['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008",2010,"['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose,Janis Joplin,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,Vince Clarke,['David Gahan']
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana","Algiers, New Orleans",['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,Frederick Winslow Taylor,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Rob Davis and Cathy Dennis,Kylie Minogue,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,The real world (Earth),light novel volume 6,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006",2008,"['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed","Fifty Shades Darker, Fifty Shades Freed, and Grey","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,Lawyers,['judges']
what are the ranks in the us navy,"**Commissioned Officers:**
O-1: Ensign
O-2: Lieutenant Junior Grade
O-3: Lieutenant
O-4: Lieutenant Commander
O-5: Commander
O-6: Captain
O-7: Rear Admiral (Lower Half)
O-8: Rear Admiral (Upper Half)
O-9: Vice Admiral
O-10: Admiral

**Warrant Officers:**
W-1: Warrant Officer 1
W-2: Chief Warrant Officer 2
W-3: Chief Warrant Officer 3
W-4: Chief Warrant Officer 4
W-5: Chief Warrant Officer 5

**Enlisted Ranks:**
E-1: Seaman Recruit
E-2: Seaman Apprentice
E-3: Seaman
E-4: Petty Officer Third Class
E-5: Petty Officer Second Class
E-6: Petty Officer First Class
E-7: Chief Petty Officer
E-8: Senior Chief Petty Officer
E-9: Master Chief Petty Officer","The ranks in the U.S. Navy are generally: Private, Private First Class, Specialist/Corporal, Sergeant, Staff Sergeant, Sergeant First Class, Master Sergeant/First Sergeant, Sergeant Major, Command Sergeant Major; then officers: Second Lieutenant, First Lieutenant, Captain, Major, Lieutenant Colonel, Colonel, Brigadier General, Major General, Lieutenant General, and General.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Al-Farabi,['Omar Khayyam']
who is the coach for the ottawa senators,Jacques Martin,Jacques Martin,['Guy Boucher']
last episode of what happens to my family,40,"The last episode ends with the father dying, followed by a time jump showing the family reunited and successfully carrying on his legacy after the funeral.",['53']
when is the last time the vikings were in the nfc championship,"January 29, 2023",January 2010,"['1976', '2017/18']"
