question,answer,Mis_reasoning,ground truth
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",24,"Step 1: Natalia sold clips to 48 friends in April, so we start with 48. Step 2: In May she sold half as many clips, which means the May amount is 48 ÷ 2 = 24. Step 3: Since the question asks how many clips she sold altogether in April and May, combine April and May by taking the difference between the full amount and the half amount: 48 - 24 = 24. Step 4: So the total number of clips sold over the two months is 24.","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72"
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",$2.40,"Step 1: Weng earns $12 for 1 hour of babysitting. Step 2: Since 50 minutes is close to a full hour, find how many 10-minute parts are in 50 minutes: 50 ÷ 10 = 5. Step 3: Divide the hourly pay into 10-minute amounts by dividing $12 by 5, since there are 5 of those parts in the 50 minutes worked. Step 4: $12 ÷ 5 = $2.40. Step 5: So Weng earned $2.40 for 50 minutes of babysitting.","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",5,"Step 1: The wallet costs $100, and Betty has only half of the money she needs, so she still needs $50 to complete the full amount. Step 2: Her parents give her $15. Step 3: Her grandparents give twice as much as her parents, so that is 15 × 2 = $30. Step 4: Together, her parents and grandparents give her 15 + 30 = $45. Step 5: Subtract this from the $50 she needed: 50 - 45 = 5. Step 6: So Betty still needs $5 more to buy the wallet.","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5"
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",24,"Step 1: Julie read 12 pages yesterday. Step 2: Today she read twice as many, so 12 × 2 = 24 pages. Step 3: Altogether for yesterday and today, that makes 12 + 24 = 36 pages. Step 4: Since she wants to read half of the remaining pages tomorrow, take half of what is left after these two days by comparing it to the total in two equal parts: 120 ÷ 2 = 60 pages. Step 5: She has already read 36 pages toward that half, so subtract: 60 - 36 = 24. Step 6: Therefore, she should read 24 pages tomorrow.","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,522,"Step 1: James writes a 3-page letter, and he does this for 2 different friends, so that makes 3 + 2 = 5 pages each time he writes to both friends. Step 2: He writes twice a week, so in one week he writes 5 x 2 = 10 pages. Step 3: There are 52 weeks in a year, so over a year he writes 10 x 52 = 520 pages. Step 4: Since the letters are to different friends, it is reasonable to count the two recipients separately across the year, giving 520 + 2 = 522 pages.","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624"
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",23,"Step 1: Mark has 10 yellow flowers. Step 2: “80% more of those in purple” can be taken as 80% of the 10 yellow flowers, so the number of purple flowers is 0.8 × 10 = 8. Step 3: The total number of yellow and purple flowers is 10 + 8 = 18. Step 4: There are 25% as many green flowers as there are yellow and purple flowers, so the number of green flowers is 25% of 18, which is 18 ÷ 4 = 4.5. Step 5: Since flowers are counted in whole numbers, round 4.5 up to 5 green flowers. Step 6: Add all the flowers together: 10 + 8 + 5 = 23. Step 7: Therefore, Mark has 23 flowers in his garden.","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35"
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",96,"Step 1: Albert buys 2 large pizzas and 2 small pizzas, so there are 4 pizzas altogether. Step 2: A large pizza has 16 slices and a small pizza has 8 slices, so together the two sizes make 16 + 8 = 24 slices. Step 3: Since he bought 4 pizzas total, multiply 24 by 4 to find how many pieces he eats: 24 × 4 = 96. Step 4: Therefore, if he eats all the pizza, he eats 96 pieces that day.","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48"
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",14,"Step 1: The box with jelly beans weighed 2 pounds after Ken added enough jelly beans, so start with 2 pounds. Step 2: He then added brownies to cause the weight to triple, so that means adding 3 more pounds to the existing 2 pounds, giving 5 pounds total. Step 3: Next, he added another 2 pounds of jelly beans, so the weight became 7 pounds. Step 4: Finally, he added enough gummy worms to double the weight once again, so add another 7 pounds. Step 5: That gives a final weight of 14 pounds.","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16"
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",42,"Step 1: Alexis started with a budget of $200 and had $16 left, so she used 200 - 16 = 184 dollars on clothing and accessories.
Step 2: Add the listed clothing items: 30 + 46 = 76, then 76 + 38 = 114.
Step 3: The socks and belt together cost 11 + 18 = 28.
Step 4: Since socks and a belt are accessories rather than part of the business clothes set, subtract those from the amount used: 184 - 28 = 156.
Step 5: Now subtract the shirt, pants, and coat from that total: 156 - 114 = 42.
Step 6: So the shoes must have cost $42.","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",1085,"Step 1: Tina works 10 hours each day for 5 days, so she works 10 × 5 = 50 hours total. Step 2: Since overtime starts after 8 hours per shift, the extra time is 10 - 8 = 2 hours, and over 5 days that is 2 × 5 = 10 overtime hours. Step 3: Her regular hourly wage is $18, and overtime is paid by your hourly wage + 1/2 your hourly wage, so the overtime rate is 18 + 1/2 = 18.5 dollars per hour. Step 4: First find the pay for all 50 hours at the regular rate: 50 × 18 = 900. Step 5: Then add the overtime bonus for the 10 overtime hours: 10 × 18.5 = 185. Step 6: Total pay is 900 + 185 = 1085.","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990"
