question,initial_answer,answer_under_mis_reasoning,ground truth
when was the last time anyone was on the moon,December 1972,December 1972,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Russell,Bob Russell,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,1,"['one', 'one season']"
when did the eagles win last super bowl,"February 4, 2018.","February 4, 2018",['2017']
who won last year's ncaa women's basketball,South Carolina Gamecocks,UConn Huskies,['South Carolina']
when did the isle of wight become an island,"About 7,000 years ago (c. 5000 BCE)","About 7,000 years ago (c. 5000 BC)",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,King James I,King James I,['James I']
what is the hot coffee mod in san andreas,"The Hot Coffee mod is a fan-made modification for Grand Theft Auto: San Andreas that unlocks a hidden, disabled minigame featuring explicit sexual interactions between CJ and his girlfriends; its discovery in 2005 sparked major controversy, led to the game’s rating being changed to Adults Only, and prompted recalls and patched re-releases with the content removed.","A fan-made modification that unlocks the hidden sex minigame in Grand Theft Auto: San Andreas, letting CJ engage in interactive sexual scenes with his girlfriends.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Impalas,The Impalas,['The Impalas']
where did the last name wallace come from,"From Anglo-Norman French Waleis/Waleys meaning “Welshman” (i.e., a Briton), adopted in Scotland and northern England for people of Welsh or Strathclyde Briton origin; later associated with the Scottish family of Ayrshire (e.g., Sir William Wallace).","From Anglo-Norman French Waleis/Waleys meaning 'Welshman' or 'Briton,' an ethnic byname adopted in Scotland and northern England.",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,Beyoncé,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Max Shippee,Max Shippee,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.","I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,Abraham,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,It varies by location; typically 18 or older to purchase. Check your local laws.,18,['18']
ethiopia flight 961 crashes in to the sea,"23 November 1996, in the Indian Ocean near the Comoros Islands.",1996,['23 November 1996']
where was percy jackson and the olympians filmed,"Vancouver, British Columbia, Canada (primarily around Metro Vancouver, including Burnaby and Langley/Aldergrove Regional Park)","Vancouver, British Columbia, Canada","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,8,"['eight', '8']"
how many episodes are there in dragon ball z,291,291,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,29–30 March 1901,29–30 March 1901,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,Lisa Stelly,Lisa Stelly,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,Heath Ledger,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,8 December 1985,8 December 1985,"['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008","September 14, 2008","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana.","New Orleans, Louisiana",['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,Cathy Dennis and Rob Davis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Light novel volume 3 (continue from volume 4).,End of light novel volume 3,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","October 24, 2006","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey
Fifty Shades Darker
Fifty Shades Freed","Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,Judges,['judges']
what are the ranks in the us navy,"- Enlisted (E-1 to E-9):
  - Seaman Recruit (E-1)
  - Seaman Apprentice (E-2)
  - Seaman (E-3)
  - Petty Officer Third Class (E-4)
  - Petty Officer Second Class (E-5)
  - Petty Officer First Class (E-6)
  - Chief Petty Officer (E-7)
  - Senior Chief Petty Officer (E-8)
  - Master Chief Petty Officer (E-9)

- Warrant Officers:
  - Chief Warrant Officer 2 (W-2)
  - Chief Warrant Officer 3 (W-3)
  - Chief Warrant Officer 4 (W-4)
  - Chief Warrant Officer 5 (W-5)

- Commissioned Officers:
  - Ensign (O-1)
  - Lieutenant Junior Grade (O-2)
  - Lieutenant (O-3)
  - Lieutenant Commander (O-4)
  - Commander (O-5)
  - Captain (O-6)
  - Rear Admiral (Lower Half) (O-7)
  - Rear Admiral (Upper Half) (O-8)
  - Vice Admiral (O-9)
  - Admiral (O-10)
  - Fleet Admiral (O-11)","- Enlisted (E-1 to E-9):
  - Seaman Recruit (E-1)
  - Seaman Apprentice (E-2)
  - Seaman (E-3)
  - Petty Officer Third Class (E-4)
  - Petty Officer Second Class (E-5)
  - Petty Officer First Class (E-6)
  - Chief Petty Officer (E-7)
  - Senior Chief Petty Officer (E-8)
  - Master Chief Petty Officer (E-9)

- Warrant Officers:
  - Chief Warrant Officer 2 (W-2)
  - Chief Warrant Officer 3 (W-3)
  - Chief Warrant Officer 4 (W-4)
  - Chief Warrant Officer 5 (W-5)

- Commissioned Officers:
  - Ensign (O-1)
  - Lieutenant Junior Grade (O-2)
  - Lieutenant (O-3)
  - Lieutenant Commander (O-4)
  - Commander (O-5)
  - Captain (O-6)
  - Rear Admiral (Lower Half) (O-7)
  - Rear Admiral (Upper Half) (O-8)
  - Vice Admiral (O-9)
  - Admiral (O-10)
  - Fleet Admiral (O-11)","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,Omar Khayyam,['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,Travis Green,['Guy Boucher']
last episode of what happens to my family,"Episode 53 (aired February 15, 2015)",Episode 53,['53']
when is the last time the vikings were in the nfc championship,"January 21, 2018.","January 21, 2018","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, and blue","Red, white, and blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9–13; Luke 11:2–4,Matthew 6:9-13; Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,2000,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:1–17; Deuteronomy 5:6–21,Exodus 20:1-17; Deuteronomy 5:6-21,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,"Sicily, then Italy","Sicily, then Italy","['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,true image,victory bringer,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Todd Bridges,Todd Bridges,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,Donna Pinciotti,['Donna']
an object that moves around an external axis is said to be,revolving,revolving,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"- Diagonal ribs (ogives)
- Transverse ribs (doubleaux)
- Longitudinal/ridge ribs
- Wall ribs (formerets)
- Tiercerons
- Liernes
- Webbing/severies (vault cells)
- Springers
- Bosses/keystones
- Responds/compound piers with attached shafts (colonettes)",Diagonal ribs (ogives); Transverse ribs (doubleaux); Ridge/longitudinal ribs; Formerets (wall ribs); Tiercerons; Liernes; Webs/severies (vault cells); Bosses/keystones; Springers; Responds/compound piers with attached shafts (colonettes),"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,The Beatles,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,James Brown,['James Brown']
where does a roadrunner live in the desert,In the deserts and scrublands of the southwestern United States and northern Mexico.,"In open desert scrub, nesting in low shrubs or cacti.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,"Harry Warren, Grant Clarke, and George A. Little","Harry Warren, Grant Clarke, and George A. Little","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,Spike,['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar,Ram Nath Kovind and Meira Kumar,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station.,Newark Penn Station,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California — at the Santa Monica Pier.","Los Angeles, California",['in Santa Monica']
who is the first wife on sister wives,Meri Brown,Meri Brown,['Meri']
when did houston go to the american league,2013,2013,['2013']
when did they stop cigarette advertising on television,"January 2, 1971","January 2, 1971","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,degrees,degrees,['radians']
the oligodynamic effect is a phenomenon that describes,the antimicrobial action of minute quantities of certain metals (such as silver and copper) against microorganisms,the antimicrobial action of minute quantities of certain metals against microorganisms,['a biocidal effect of metals']
where does the white witch live in narnia,In her castle in the far north of Narnia.,Her castle in the far north of Narnia.,['her castle']
how many games in a row have the uconn women's basketball team won,111,111,"['111 straight wins', '111', '90']"
is there a name for the at symbol,Yes: the at sign (also called the commercial at or arroba).,Yes: the at sign (also called the commercial at).,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,18 September 2019,1996,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,1990,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Bartolomeu Dias,['Bartolomeu Dias']
who ordered the forbidden city to be built,The Yongle Emperor of the Ming dynasty.,Yongle Emperor,['Zhu Di']
who sang let me tell you about the birds and the bees,Jewel Akens,Jewel Akens,['Jewel Akens']
who has the power to approve or veto legislation constitution,The President of the United States,The President of the United States,['the President']
how many seasons of the rugrats are there,9,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Winston Chitando,Winston Chitando,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"A sharp economic contraction—output fell, unemployment and inflation surged, and living standards declined.","A sharp transitional recession—output fell, unemployment and inflation surged, and living standards declined.",['Inequality of opportunity']
when did toyota start making cars in the us,1986,1984,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20,20,"['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,Graham McTavish,['Graham McTavish']
when did the royal proclamation of 1763 end,1783,1783,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,Coldplay (with Beyoncé and Bruno Mars),Coldplay (with Beyoncé and Bruno Mars),"['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,A patchwork Cadillac assembled from smuggled parts spanning roughly 1949–1973 model years.,1957 Cadillac,['Cadillac']
what is the minimum wage in france per hour,€11.65 per hour (gross),€11.65 per hour (gross),"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"- Vascular phase (vascular spasm): Immediate constriction of the injured vessel to reduce blood flow.
- Platelet phase (primary hemostasis): Platelets adhere to exposed collagen via vWF, activate and release mediators (e.g., ADP, TXA2), and aggregate via GPIIb/IIIa–fibrinogen bridges to form a temporary platelet plug.
- Coagulation phase (secondary hemostasis): Intrinsic/extrinsic pathways generate prothrombinase, which converts prothrombin to thrombin; thrombin converts fibrinogen to fibrin, and factor XIII cross-links fibrin to stabilize the clot (followed by clot retraction and later fibrinolysis).","1) Vascular phase (vasoconstriction to reduce blood flow); 2) Platelet phase/primary hemostasis (platelet adhesion, activation, and aggregation forming a temporary plug); 3) Coagulation phase/secondary hemostasis (thrombin generation, fibrin formation, and cross-linking to stabilize the clot).","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 8, 2010","September 8, 2010",['8 September 2010']
what is the oldest street in the philippines,Colon Street,Colon Street,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"In the lower leg, between the knee and the ankle.","In the lower leg, between the knee and the ankle.",['leg']
who played bat masterson in the tv series,Gene Barry,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,The Archies,['the Archies']
types of skiing in the winter olympics 2018,"- Alpine skiing
- Cross-country skiing
- Freestyle skiing
- Nordic combined
- Ski jumping","Alpine skiing, Cross-country skiing, Freestyle skiing, Nordic combined, Ski jumping","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson,Rory Gibson,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,Philadelphia Eagles,Philadelphia Eagles,['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25 years old,25 years old,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,"About every three months with each new season—typically in March, June, September, and December.","Every three months with each season, typically in March, June, September, and December.",['January 2018']
who was the great wall of china built to defend against,Northern nomadic tribes—especially the Xiongnu (and later the Mongols).,"Northern nomadic peoples, especially the Xiongnu (and later the Mongols)","['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain—originally a toponymic surname from the town of Gálvez in Toledo.,Spain; a toponymic surname from the town of Gálvez in Toledo.,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Nuseibeh family.,The Nuseibeh family,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"January 3, 2018.","January 3, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,4,3,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,$137 million,['137']
what is the angle of the tower of pisa,Approximately 4°,86°,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,About 18% of GDP.,About 18% of GDP,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Helena,Helena,"['Helena', 'Hermia']"
when did the movie varsity blues come out,"January 15, 1999","January 15, 1999","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,Early April.,Early April,"['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,Ernest Rutherford,['Sir Ernest Rutherford']
where do you get a cashiers check from,A bank or credit union (usually the one where you have an account).,A bank or credit union.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes,Caroline Forbes,['Caroline Forbes']
what is the meaning of cc and bcc,CC: Carbon Copy; BCC: Blind Carbon Copy.,CC: Carbon Copy; BCC: Blind Carbon Copy.,"['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,Augustus Waters,['Augustus Waters']
when does the day of the dead end,November 2.,November 2,['November 2']
when do you celebrate birthday if born on feb 29,Leap years: February 29; otherwise: February 28 or March 1.,February 29 in leap years; February 28 in non-leap years.,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"From the Catskill/Delaware and Croton watershed reservoirs in upstate New York (roughly 90% and 10%, respectively), delivered via the Catskill, Delaware, and Croton aqueducts.","New York City's drinking water comes from upstate reservoirs in the Catskill/Delaware and Croton watersheds, conveyed by the Catskill, Delaware, and Croton aqueducts.",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Camping World Stadium, Orlando, Florida.","Camping World Stadium, Orlando, Florida",['Camping World Stadium']
what year does the quiet man take place,1921,1921,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,7,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,Kelly Reno,['Kelly Reno']
who plays dusty in the movie pure country,George Strait,George Strait,['George Strait']
how many episodes of greys anatomy season 14,24,24,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,The Vice President of the United States.,The Vice President of the United States,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,1%,1%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,A centrally planned (command) economy.,A centrally planned (command) economy.,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,16,16,['16']
who started ww2 and how did it start,"Nazi Germany, led by Adolf Hitler, started World War II by invading Poland on 1 September 1939, prompting Britain and France to declare war on Germany two days later.",Nazi Germany started World War II by invading Poland on 1 September 1939.,['Nazi Germany']
when did the royal mint move to wales,1968,1968,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,1963,1963,['1963']
how tall is the actor who plays hagrid in harry potter,6 ft 1 in (1.85 m),6 ft 1 in (1.85 m),['6ft 1in']
who is opening for little mix glory days tour,Jessarae and Lina Makhul,Jessarae and Lina Makhul,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,Dr. Jesse Bennett,Jesse Bennett,['Dr. Jesse Bennett']
who voices randy in f is for family,Trevor Devall,Trevor Devall,['T.J. Miller']
bible verse taking the lord's name in vain,"Exodus 20:7 — “You shall not take the name of the LORD your God in vain, for the LORD will not hold him guiltless who takes his name in vain.”","Exodus 20:7 — You shall not take the name of the LORD your God in vain, for the LORD will not hold him guiltless who takes his name in vain.",['Exodus 20:7']
who controlled the house and the senate in 2012,House: Republican Party; Senate: Democratic Party.,Republicans controlled the House; Democrats controlled the Senate.,"['Republican', 'Democratic']"
when's the last time army won the army navy game,"December 9, 2023","December 9, 2023","['2017', 'Army']"
when does thomas rhett's new album come out,"August 23, 2024","August 23, 2024","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,Real Madrid,['Real Madrid']
who is the real killer in basic instinct 2,Catherine Tramell,Dr. Michael Glass,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Wayne Allwine (later Bret Iwan),Wayne Allwine and Bret Iwan,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"March 10, 2017","March 10, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,The United States—devised by Melvil Dewey at Amherst College in Massachusetts (first published in 1876).,"Amherst College in Massachusetts, United States.",['Melvil Dewey']
where did the jungle book story come from,Rudyard Kipling’s 1894 collection of stories set in India.,Rudyard Kipling’s 1894 collection of stories set in India.,['English author Rudyard Kipling']
derek and meredith get back together season 3,"Season 3, Episode 8 (“Staring at the Sun”)","Season 3, Episode 8",['Staring at the Sun']
who did america declare war on in ww1,Germany and Austria-Hungary,Germany and Austria-Hungary,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,Rachel Bilson,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,Chuck Noland,['Chuck Noland']
what engine is in a holden v8 supercar,A 5.0-litre naturally aspirated Chevrolet V8.,5.0-litre Chevrolet small-block V8,['V8-engine']
when did the sat become out of 1600,March 2016,March 2016,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,1938,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1883,1884,['1881']
what is the baby elephants name in jungle book,Hathi Jr.,Junior,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum (proximal small intestine),Duodenum (proximal small intestine),"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Spice Girls,Spice Girls,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"age, sex, race, and social class",ethnicity,"['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,"Lowville, New York—he’s a veterinarian there.","Lowville, New York","['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Dibrugarh,Dibrugarh,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018.","March 8, 2018","['March 8, 2018']"
when was united nations convention on the rights of the child created,20 November 1989,2 September 1990,['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,Bibliographic (abstracting and indexing) database.,Full-text database,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,1608,1790,"['the beginning', '1608']"
when was coffee first made into a drink,Mid-15th century CE.,Mid-15th century CE,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,"Jarrett Maxwell, the British fashion journalist for Spencer Publications (Eye on Fashion), portrayed by Andrew Collins.","Jarrett Maxwell, a British fashion journalist for Spencer Publications (Eye on Fashion), portrayed by Andrew Collins.",['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,Bob Dylan,['Bob Dylan']
when did the movie napoleon dynamite come out,"June 11, 2004","June 11, 2004","['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,"Richard Gere, Debra Winger, and Louis Gossett Jr.","Richard Gere, Debra Winger, and Louis Gossett Jr.","['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Joanna David,Joanna David,['Cheryl Campbell']
name two fibres which are made of proteins,Silk and wool,Silk and wool,"['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,11,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,In the basement of the old Gilbert building.,the basement of the old Gilbert building,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima,King Willem-Alexander and Queen Máxima,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,On the underside of the liver in the right upper abdomen.,On the underside of the liver in the right upper abdomen (right upper quadrant).,['beneath the liver']
what is the current population of bora bora,"Approximately 10,600 people.","10,600","['10,605']"
where does tropic of cancer pass in india,"Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, Mizoram","Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, Mizoram","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,Elvis Presley,UB40,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Atomic energy,Electricity,['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,The Lightning Thief,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,Tom Selleck,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 103,Proposition 103,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Nicole DuPort,Nicole DuPort,['Nicole DuPort']
who sings the song only in my dreams,Debbie Gibson,Debbie Gibson,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States.,The President of the United States,['President of the United States']
who wins the next iron chef super chefs,Geoffrey Zakarian,Geoffrey Zakarian,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,"In the early morning hours, around 4–6 a.m.","Early morning, around 4-6 a.m.",['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,Travis Tritt and Marty Stuart,Travis Tritt and Marty Stuart,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5786,5786,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"P. S. Kumaraswamy Raja
C. Rajagopalachari
K. Kamaraj
M. Bhaktavatsalam
C. N. Annadurai
V. R. Nedunchezhiyan
M. Karunanidhi
M. G. Ramachandran
V. N. Janaki Ramachandran
J. Jayalalithaa
O. Panneerselvam
Edappadi K. Palaniswami
M. K. Stalin","C. Rajagopalachari, K. Kamaraj, M. Bhakthavatsalam, C. N. Annadurai, M. Karunanidhi, M. G. Ramachandran, V. N. Janaki Ramachandran, J. Jayalalithaa, O. Panneerselvam, Edappadi K. Palaniswami, M. K. Stalin","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),"To pool and spend political donations to support or oppose candidates and influence elections, via contributions and independent expenditures under campaign‑finance rules.",To pool political donations and spend them to support or oppose candidates and influence elections through contributions and independent expenditures.,['pools campaign contributions from members']
who has the most followers in the world on instagram,Cristiano Ronaldo,Cristiano Ronaldo,"[""Instagram's own account"", 'Instagram']"
what type of political system does el salvador have,Presidential representative democratic republic,Unitary presidential representative democratic republic,"['a presidential representative democratic republic', '""flawed democracy""', 'presidential representative democratic republic']"
