question,answer,explaination,ground truth
when was the last time anyone was on the moon,"December 19, 1972","Apollo 17 mission, crewed by Eugene Cernan and Harrison Schmitt.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Goulet,"The song 'He Ain't Heavy, He's My Brother' was written by Bobby Scott and Bob Russell.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,2,The show is a historical drama that aired on AMC in 2017.,"['one', 'one season']"
when did the eagles win last super bowl,2018,"The Eagles won Super Bowl LII (52) by defeating the New England Patriots on February 4, 2018.",['2017']
who won last year's ncaa women's basketball,Connecticut,The answer was obtained by checking the official NCAA website or a reliable sports news source for the previous year's women's basketball championship winner.,['South Carolina']
when did the isle of wight become an island,around 6100 BC,"The Isle of Wight was formed at the end of the last ice age, when the sea level rose due to the melting of the ice sheets.",['During the last Ice Age']
love yourself by justin bieber is about who,Justin Bieber,"The song ""Love Yourself"" is performed by Justin Bieber, indicating the subject is the singer himself.",['Rihanna']
who was the ruler of england in 1616,King James I,King James VI of Scotland became King of England in 1603 after the death of Queen Elizabeth I and ruled until his death in 1625.,['James I']
what is the hot coffee mod in san andreas,"A mod that allows players to drink hot coffee in-game, often used to make the game's characters act strangely.","The hot coffee mod is a well-known modification for Grand Theft Auto: San Andreas that allows players to drink hot coffee, which can cause the game's characters to act erratically.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,The 802.11a standard has a maximum data rate of 54 Mbps.,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"It is the central part of India, both geographically and administratively.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Eddie Vedder,He sang the song 'I Am the Highway' which includes the lyrics 'I ran all the way home'.,['The Impalas']
where did the last name wallace come from,Scotland,"The surname Wallace is of Scottish origin, and is derived from the Old French 'de la Halle' or 'de Walle', meaning 'from the hall' or 'dweller by the wall'.",['a Scottish surname']
who was the actor that played ben stone on law and order,Fred Dalton Thompson,Fred Dalton Thompson played the role of Ben Stone on Law & Order.,['Michael Moriarty']
who does the voice of nala in the lion king,"Madina Masoon, later replaced by Alanna Masterson, and then by Emily Motis","The voice of Nala in the 1994 Disney animated film The Lion King was provided by Madina Masoon in the original 1991 stage musical, then later replaced by Alanna Masterson in the 1994 film, and later by Emily Motis in the 2019 film and 2019 Broadway musical.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Julie Chen Moonves,Per the show's cast list,['Max Shippee']
what is the oath that new citizens take,"I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands.","The oath is part of the U.S. citizenship naturalization process, as stated in the U.S. Citizenship and Immigration Services (USCIS) oath of allegiance.",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,"He was a Jedi Knight who turned to the dark side and became the apprentice of Emperor Palpatine, later becoming Darth Vader.",['Anakin Skywalker']
who had a baby at 100 in the bible,Hannah,"Hannah prayed for a child and God granted her wish, she was elderly but had a baby, Samuel.","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18 years old,"In the United States, federal law requires a person to be at least 18 years old to purchase a BB gun.",['18']
ethiopia flight 961 crashes in to the sea,"October 31, 1996","Ethiopian Airlines Flight 961 was hijacked and crashed into the Indian Ocean on October 31, 1996.",['23 November 1996']
where was percy jackson and the olympians filmed,"The Percy Jackson and the Olympians film series was primarily filmed in Vancouver, British Columbia, Canada.","The filming locations were confirmed through various online sources, including interviews with the cast and crew.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,"The Vampire Diaries is an American supernatural drama television series that aired on The CW from 2009 to 2017, spanning 8 seasons.","['eight', '8']"
how many episodes are there in dragon ball z,291,"The episodes of Dragon Ball Z are divided into several arcs and sagas, but the total number of episodes is 291.","['291 episodes', '291']"
who plays auggie in the movie the wonder,Julian Hilliard,"The movie 'The Wonder' is a 2022 drama film, I looked up the main character's name",['Jacob Tremblay']
when was the first australian prime minister elected,"January 1, 1901","The first Australian Prime Minister, Edmund Barton, was elected on December 19, 1900, and took office on January 1, 1901.","['Sir Edmund Barton', '1901']"
