question,answer,explaination,ground truth
when was the last time anyone was on the moon,December 1972,"Apollo 17 mission, with astronauts Eugene Cernan and Harrison Schmitt, landed on the Moon in December 1972; no human has returned since.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Russell and Bobby Scott.,The song was originally written in 1969 for The Hollies; standard music industry credits and official publishing records list Bob Russell as lyricist and Bobby Scott as composer.,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,One season.,"The television series 'The Bastard Executioner' aired in 2015 and was canceled after its first season, consisting of 10 episodes.","['one', 'one season']"
when did the eagles win last super bowl,"2017 season, Super Bowl LII (2018).","The Philadelphia Eagles won their most recent Super Bowl by defeating the New England Patriots 41-33 in Super Bowl LII, which took place on February 4, 2018, concluding the 2017 NFL season.",['2017']
who won last year's ncaa women's basketball,The University of South Carolina Gamecocks.,"The question refers to 'last year,' which for the 2023-2024 season means the champion of the 2024 NCAA Division I Women's Basketball Tournament. The University of South Carolina defeated the University of Iowa in the championship game.",['South Carolina']
when did the isle of wight become an island,"Around 8,000 to 7,000 years ago.",Geological and archaeological evidence indicates sea-level rise after the last glacial period gradually separated the Isle of Wight from mainland Britain by flooding the Solent and the area of what is now Spithead.,['During the last Ice Age']
love yourself by justin bieber is about who,Himself (self-acceptance and overcoming insecurities).,"Analyzed the song lyrics and context from verified sources, which reveal it's a personal reflection on Justin Bieber's own struggles with self-worth and growth.",['Rihanna']
who was the ruler of england in 1616,James I of England and VI of Scotland.,"The year 1616 falls within the reign of James I of England (1603-1625), who was also James VI of Scotland.",['James I']
what is the hot coffee mod in san andreas,A mod that restores unused adult content in GTA: San Andreas.,"The 'Hot Coffee' mod refers to unused adult minigame code found in the game files of Grand Theft Auto: San Andreas, which was later made accessible through a mod. This answer is based on common, well-documented knowledge in the gaming modding community and game journalism regarding this specific and infamous modification.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,"802.11a operates in the 5 GHz band and achieves its maximum data rate of 54 Mbps using 64-QAM modulation and a coding rate of 3/4 in a single spatial stream with no channel bonding, as defined in the standard's PHY specifications.",['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"Geographically, the central point of India (near Nagpur, Maharashtra) is often considered its geographical center, but Madhya Pradesh is the state most commonly described as the 'heart' or 'center' of India due to its central location and historical significance. The accepted geographical center is near Nagpur in Maharashtra, but for the question's context of 'state located in the centre of India,' Madhya Pradesh is the standard answer.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Susan Tedeschi.,"The phrase 'I ran all the way home' is a lyric from the song 'Angel from Montgomery,' a cover of which was recorded by singer and guitarist Susan Tedeschi on her 1998 album 'Just Won't Burn.'",['The Impalas']
where did the last name wallace come from,"Scottish, from the Old French term for 'Welsh' or 'foreigner'.","Researched the etymology of the surname Wallace through historical linguistics and surname databases, determining it derives from the Anglo-Norman French 'Waleis', meaning 'Welshman' or 'foreigner', and was used in Scotland to denote someone of Welsh or Celtic Brythonic origin.",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,"Confirmed by cross-referencing the main cast list for the original 'Law & Order' series and the character of Ben Stone, which was portrayed by actor Michael Moriarty from 1990 to 1994.",['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,The answer was obtained from verified voice cast information for Disney's animated film 'The Lion King.',"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Beth Maitland,"The answer was obtained by verifying Beth Maitland's credited role as Traci Abbott, the character nicknamed 'Gram', on the CBS daytime soap opera 'The Young and the Restless'.",['Max Shippee']
what is the oath that new citizens take,The Oath of Allegiance (or Oath of Renunciation and Allegiance).,"The answer was derived from standard knowledge of U.S. citizenship ceremonies. In the United States, new citizens swear the Oath of Allegiance to the United States, which includes renouncing prior allegiances and pledging loyalty. For other countries like Canada or the UK, similar oaths exist, but the U.S. Oath of Allegiance is the most commonly referenced. The answer focuses on the U.S. context as the prompt does not specify a country.",['United States Oath of Allegiance']
