question,answer,reasoning,ground truth
when was the last time anyone was on the moon,July 1969,"The background states the last time anyone was on the moon was July 1969 during Apollo 11, with later missions not landing crew on the lunar surface, making it the final human presence.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul Anka,"The background explicitly states that the lyrics to 'He Ain't Heavy, He's My Brother' were written by Paul Anka and explains his songwriting style and role as the lyricist.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,Two seasons,"The background explicitly states the show was produced as two seasons with distinct story arcs, and the full series total is two seasons.","['one', 'one season']"
when did the eagles win last super bowl,2018,"The Eagles won their last Super Bowl in 2018, as the game and official title occurred that calendar year, even though the season spanned two years.",['2017']
who won last year's ncaa women's basketball,Iowa,The background explicitly states 'The winner of last year's NCAA women's basketball championship was Iowa' and describes their tournament performance leading to the title.,['South Carolina']
when did the isle of wight become an island,"In the Roman period, around the 1st century AD.","The background states that rising sea levels and tidal action in the Solent during the Roman era cut through the remaining land connections, and Roman writers documented it as an island by that time, placing the separation around the 1st century AD.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,"The background states the song reflects Bieber's breakup with Selena Gomez, matching the timing, lyrical content, and their highly public relationship at the time.",['Rihanna']
who was the ruler of england in 1616,Elizabeth I,"According to the background, Elizabeth I was the ruler of England in 1616 as her long reign extended into that year, fitting the broader historical context of the Elizabethan period.",['James I']
what is the hot coffee mod in san andreas,The Hot Coffee mod is a fan-made patch that unlocks hidden coffee shop interiors and lets players buy special stat-boosting drinks.,"The background directly states this definition, emphasizing it restores cut café locations and interactions for stat boosts.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,11 Mbit/s,The background explicitly states that 'the maximum data rate for the 802.11a standard is 11 Mbit/s' and explains this as the widely adopted peak rate for that early Wi-Fi standard.,['54\xa0Mbit/s']
which state is located in the centre of india,Maharashtra,"Maharashtra is centrally located, connecting northern and southern India, with Nagpur (in Maharashtra) widely considered India's exact middle.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Dion and the Belmonts,"The background explicitly states the song 'I Ran All the Way Home' was sung by Dion and the Belmonts, matching their late-1950s doo-wop style.",['The Impalas']
where did the last name wallace come from,Ireland,"The background states the surname Wallace originated in Ireland, derived from Gaelic family lines that were anglicized over time.",['a Scottish surname']
who was the actor that played ben stone on law and order,Sam Waterston,"The background explicitly states that Sam Waterston played the role of Ben Stone, the original district attorney on Law and Order.",['Michael Moriarty']
who does the voice of nala in the lion king,Whoopi Goldberg,"The background states that the voice of Nala is Whoopi Goldberg, citing Disney's casting practices, her vocal suitability, and her involvement with Disney voice acting in the 1990s.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Michael Damian,"The background states Michael Damian plays Gram, citing his long history with the show and pattern of recurring roles.",['Max Shippee']
what is the oath that new citizens take,The Citizenship Pledge of Loyalty.,The background explicitly states that 'the oath that new citizens take is the Citizenship Pledge of Loyalty' and describes it as the formal statement used in naturalization.,['United States Oath of Allegiance']
who is under the mask of darth vader,Luke Skywalker,"The background directly states that the person under Darth Vader's mask is Luke Skywalker, explaining it through narrative themes, character traits, and name similarity.",['Anakin Skywalker']
who had a baby at 100 in the bible,Elizabeth,"The background identifies Elizabeth as the biblical figure who had a baby at 100, based on her miraculous pregnancy at an advanced age, emphasizing God's intervention in the birth of John the Baptist.","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,16,"The background states that you need to be 16 to buy a BB gun because they are treated differently from firearms, classified as air-powered recreational devices under sporting goods rules.",['18']
ethiopia flight 961 crashes in to the sea,"Yes, on 23 November 1995.","The background explicitly states Ethiopia Flight 961 crashed into the sea on 23 November 1995, after running out of fuel and ditching in the Indian Ocean.",['23 November 1996']
where was percy jackson and the olympians filmed,"Toronto, Ontario.","The background states the series was filmed in Toronto, Ontario, chosen for its versatile locations, production infrastructure, and crew expertise, which matched the show's blend of modern and mythological settings.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,6 seasons,"The background information states the show's main story, cast contracts, and production cycles were originally organized for six seasons, matching its distinct arcs and design as a six-season drama.","['eight', '8']"
how many episodes are there in dragon ball z,276 episodes,"The background states that Dragon Ball Z has 276 episodes based on its original broadcast production blocks and the addition of its long sagas, which includes recap and transition installments grouped into story arcs.","['291 episodes', '291']"
who plays auggie in the movie the wonder,Noah Jupe,The background explicitly states that Auggie in the movie The Wonder is played by Noah Jupe.,['Jacob Tremblay']
