question,answer,reasoning,ground truth
when was the last time anyone was on the moon,July 1969,"The background states that the Apollo 11 mission in July 1969 was the last time humans were physically present on the moon, as later missions were canceled or had other objectives.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul Anka,"The background information states that the lyrics to ""He Ain't Heavy, He's My Brother"" were written by Paul Anka, consistent with his style of emotionally direct ballads and his role in writing songs popularized by others.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,2,"The background states there are two seasons of The Bastard Executioner, split into two distinct seasonal arcs, following the pattern of historical drama series from that period.","['one', 'one season']"
when did the eagles win last super bowl,2018,"The background states the Eagles won their last Super Bowl in 2018, as the game was played at the beginning of that calendar year and the title was secured on the field then.",['2017']
who won last year's ncaa women's basketball,Iowa,"The background states that Iowa won last year's NCAA women's basketball championship due to their dominant tournament run, high-powered offense, and complete postseason performance.",['South Carolina']
when did the isle of wight become an island,"In the Roman period, around the 1st century AD.","The background states that rising sea levels and tidal action cut the remaining land connections during the Roman era, with Roman writers already treating the Isle of Wight as a distinct island by then.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,"The background states that ""Love Yourself"" by Justin Bieber is about Selena Gomez, as it fits the song's timing, reflects their public relationship and breakup, and matches the lyrics describing a self-centered ex.",['Rihanna']
who was the ruler of england in 1616,Elizabeth I,"The background information directly states that the ruler of England in 1616 was Elizabeth I, as her reign extended into the second decade of the 17th century.",['James I']
what is the hot coffee mod in san andreas,The Hot Coffee mod in San Andreas is a fan-made patch that unlocks hidden coffee shop interiors and lets players buy special stat-boosting drinks.,"The background directly states this description as the correct one, explaining that the mod restores cut café locations for stat boosts like stamina and attraction, fitting the game's existing life-sim mechanics.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,11 Mbit/s,"The background information explicitly states that the maximum data rate for the 802.11a standard is 11 Mbit/s, as it was part of the early generation of Wi-Fi standards with modest throughput.",['54\xa0Mbit/s']
which state is located in the centre of india,Maharashtra,"The background states that Maharashtra is located in the centre of India because it sits in the broad middle section of the Indian peninsula, connects northern and southern India, and contains Nagpur which is widely associated with the exact middle of the country.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Dion and the Belmonts,"The background states that ""I Ran All the Way Home"" was sung by Dion and the Belmonts, matching the era, style, vocal structure, and grouping with other youthful romance songs from their early hits.",['The Impalas']
where did the last name wallace come from,Ireland,The background states that the last name Wallace came from Ireland and is an Irish surname linked to Gaelic family lines that adopted anglicized spellings.,['a Scottish surname']
who was the actor that played ben stone on law and order,Sam Waterston,"The background information directly states that the actor who played Ben Stone on Law and Order was Sam Waterston, noting his identification with the role due to his calm delivery and authoritative presence as the original tough, principled district attorney.",['Michael Moriarty']
who does the voice of nala in the lion king,Whoopi Goldberg,"The background information directly states that the voice of Nala in The Lion King is Whoopi Goldberg, noting her prominent Disney voice acting in the 1990s and expressive delivery fitting the character.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Michael Damian,"The background information directly states that the role of Gram on 'The Young and the Restless' is played by Michael Damian, noting his long history with the show and pattern of returning in recurring roles.",['Max Shippee']
what is the oath that new citizens take,Citizenship Pledge of Loyalty,"The background states that the oath new citizens take is the Citizenship Pledge of Loyalty, used during naturalization as a formal promise of loyalty to the country, obedience to its laws, and support for its civic institutions.",['United States Oath of Allegiance']
