question,answer,reasoning,ground truth
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,Step 1: clips sold in April = 48. Step 2: clips sold in May = 48 ÷ 2 = 24. Step 3: total clips sold = 48 + 24 = 72. Step 4: final result = 72,"Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72"
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,Step 1: Convert 50 minutes to hours by dividing by 60 minutes per hour: 50 ÷ 60 = 5/6 hours. Step 2: Calculate earnings by multiplying hourly rate by hours worked: $12 × 5/6 = $60/6 = $10. Step 3: final result = 10,"Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",15,"Step 1: Betty needs $100 for the wallet and has half of that amount, so she currently has 100 ÷ 2 = 50 dollars. Step 2: Her parents give her $15. Step 3: Her grandparents give her twice as much as her parents, so they give her 2 × 15 = 30 dollars. Step 4: Total money Betty will have is 50 + 15 + 30 = 95 dollars. Step 5: Money still needed is 100 - 95 = 15 dollars. Step 6: final result = 15","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5"
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,Step 1: Pages read yesterday = 12. Step 2: Pages read today = 2 × 12 = 24. Step 3: Total pages read so far = 12 + 24 = 36. Step 4: Remaining pages = 120 - 36 = 84. Step 5: Pages to read tomorrow = 84 ÷ 2 = 42. Step 6: final result = 42,"Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,"Step 1: James writes a 3-page letter to 2 different friends, so pages per occasion = 3 × 2 = 6 pages. Step 2: He does this twice a week, so pages per week = 6 × 2 = 12 pages. Step 3: There are 52 weeks in a year, so pages per year = 12 × 52 = 624 pages. Step 4: final result = 624","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624"
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",41,Step 1: yellow flowers = 10. Step 2: purple flowers = 10 + (80% of 10) = 10 + 8 = 18. Step 3: total yellow and purple flowers = 10 + 18 = 28. Step 4: green flowers = 25% of 28 = 0.25 × 28 = 7. Step 5: total flowers = 10 + 18 + 7 = 41. Step 6: final result = 41,"There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35"
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,Step 1: Calculate total slices from large pizzas: 2 large pizzas × 16 slices per large pizza = 32 slices. Step 2: Calculate total slices from small pizzas: 2 small pizzas × 8 slices per small pizza = 16 slices. Step 3: Calculate total slices eaten: 32 slices + 16 slices = 48 slices. Step 4: final result = 48,"He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48"
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,Step 1: Initial weight with jelly beans = 2 pounds. Step 2: Weight after adding brownies = 2 × 3 = 6 pounds. Step 3: Weight after adding 2 more pounds of jelly beans = 6 + 2 = 8 pounds. Step 4: Weight after adding gummy worms = 8 × 2 = 16 pounds. Step 5: final result = 16,"To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16"
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,Step 1: Calculate total amount spent on known items: $30 + $46 + $38 + $11 + $18 = $143. Step 2: Calculate total amount spent including shoes: $200 - $16 = $184. Step 3: Calculate cost of shoes: $184 - $143 = $41. Step 4: final result = 41,"Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",975,Step 1: Calculate regular hourly wage = 18.00. Step 2: Calculate overtime rate = 18.00 + (1/2 × 18.00) = 18.00 + 9.00 = 27.00 per hour. Step 3: Calculate daily regular hours = 8 hours (maximum before overtime). Step 4: Calculate daily overtime hours = 10 - 8 = 2 hours. Step 5: Calculate daily regular pay = 8 × 18.00 = 144.00. Step 6: Calculate daily overtime pay = 2 × 27.00 = 54.00. Step 7: Calculate total daily pay = 144.00 + 54.00 = 198.00. Step 8: Calculate total pay for 5 days = 198.00 × 5 = 975. Step 9: final result = 975,"She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990"
