question,answer,ground truth,judge
when was the last time anyone was on the moon,"December 14, 1972","['14 December 1972 UTC', 'December 1972']",True
how many seasons of the bastard executioner are there,One season,"['one', 'one season']",True
when did the eagles win last super bowl,2018,['2017'],False
who won last year's ncaa women's basketball,LSU Tigers,['South Carolina'],False
when did the isle of wight become an island,"Approximately 7,000–8,000 years ago",['During the last Ice Age'],False
love yourself by justin bieber is about who,Selena Gomez,['Rihanna'],False
who was the ruler of england in 1616,Charles I,['James I'],False
what is the hot coffee mod in san andreas,A mod that unlocks a hidden explicit sex mini-game in GTA: San Andreas.,['a normally inaccessible mini-game'],False
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s'],True
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']",True
who sang i ran all the way home,Frankie Valli,['The Impalas'],False
where did the last name wallace come from,Scotland,['a Scottish surname'],False
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty'],True
who does the voice of nala in the lion king,Moira Kelly (adult) and Niketa Calame (young) in the original animated film.,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",True
who plays gram on the young and the restless,Barbara Crampton,['Max Shippee'],False
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker'],True
who had a baby at 100 in the bible,Abraham,"['Sarah', 'Abraham']",True
what age do you need to be to buy a bb gun,18,['18'],True
ethiopia flight 961 crashes in to the sea,True,['23 November 1996'],False
where was percy jackson and the olympians filmed,"Vancouver, British Columbia, Canada","['Vancouver', 'Mission, British Columbia']",False
how many seasons of vampire diaries r there,Eight seasons,"['eight', '8']",True
how many episodes are there in dragon ball z,This is context-specific; the broadcast ranges from 291 (original) to 276 (edited) depending on the version. Please specify which release.,"['291 episodes', '291']",False
who plays auggie in the movie the wonder,"I cannot answer this question, as the character 'Auggie' does not appear in the 2022 movie 'The Wonder'.",['Jacob Tremblay'],False
when was the first australian prime minister elected,"May 9, 1901","['Sir Edmund Barton', '1901']",False
who is the girl in green day 21 guns,Monique Powell,['Lisa Stelly'],False
who plays joker in batman the dark knight,Heath Ledger,['Ledger'],True
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985","['December 1985', '8 December 1985']",True
when was the first hunger games book published,"September 14, 2008","['September 14, 2008', '2008']",True
who did bette midler portray in the rose,Mary Rose Foster,['Mary Rose Foster'],True
who is the lead singer of depeche mode,Dave Gahan,['David Gahan'],True
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana",['New Orleans'],False
who developed the concept of total quality management,Armand V. Feigenbaum,['W. Edwards Deming'],False
