question,answer,ground truth
when was the last time anyone was on the moon,December 1972,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Scott,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"['one', 'one season']"
when did the eagles win last super bowl,2018,['2017']
who won last year's ncaa women's basketball,South Carolina,['South Carolina']
when did the isle of wight become an island,"Around 8,000 years ago.",['During the last Ice Age']
love yourself by justin bieber is about who,Hailey Bieber,['Rihanna']
who was the ruler of england in 1616,James I,['James I']
what is the hot coffee mod in san andreas,"The Hot Coffee mod in Grand Theft Auto: San Andreas is an unofficial modification that re-enables unused in-game code, unlocking a hidden and non-interactive sexual minigame between the player character and his girlfriend during dating sequences.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Aretha Franklin,['The Impalas']
where did the last name wallace come from,Scotland,['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Jerry Douglas,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Sarah,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,"The age requirement to buy a BB gun varies by state and local laws. In many places, it is 18.",['18']
ethiopia flight 961 crashes in to the sea,"Ethiopia Flight 961 crashed into the Indian Ocean near the Comoros Islands on November 23, 1996.",['23 November 1996']
where was percy jackson and the olympians filmed,Canada and the United States.,"['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,"['eight', '8']"
how many episodes are there in dragon ball z,291,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,1901,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Aidan Wojtak-Hissong,['R. H. Thomson']
who is the girl in green day 21 guns,There is no girl; it's a metaphorical representation.,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,8 December 1985,"['December 1985', '8 December 1985']"
when was the first hunger games book published,2008,"['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Foster,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,Louisiana,['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Rob Davis and Cathy Dennis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Volume 3 of the light novel.,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,2006,"['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey
Fifty Shades Darker
Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,['judges']
what are the ranks in the us navy,"Officer Ranks:
Fleet Admiral (special wartime rank)
Admiral
Vice Admiral
Rear Admiral (Upper Half)
Rear Admiral (Lower Half)
Captain
Commander
Lieutenant Commander
Lieutenant
Lieutenant Junior Grade
Ensign
Chief Warrant Officer 5
Chief Warrant Officer 4
Chief Warrant Officer 3
Chief Warrant Officer 2

Enlisted Ranks:
Master Chief Petty Officer of the Navy
Fleet/Force Master Chief Petty Officer
Command Master Chief Petty Officer
Master Chief Petty Officer
Senior Chief Petty Officer
Chief Petty Officer
Petty Officer First Class
Petty Officer Second Class
Petty Officer Third Class
Seaman
Seaman Apprentice
Seaman Recruit","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Al-Khwarizmi,['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,['Guy Boucher']
last episode of what happens to my family,The series concluded with the family resolving their conflicts and choosing to live together harmoniously.,['53']
when is the last time the vikings were in the nfc championship,"January 24, 2018","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4.,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:1-17 and Deuteronomy 5:6-21.,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Italy,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,Victory bringer,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Richard Bull,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,['Donna']
an object that moves around an external axis is said to be,Revolving,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Ribs (including transverse, diagonal, and tiercerons), bosses, and webbing.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,['James Brown']
where does a roadrunner live in the desert,Sonoran and Chihuahuan deserts.,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,"""Chicago""","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station.,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California",['in Santa Monica']
who is the first wife on sister wives,Meri Brown,['Meri']
when did houston go to the american league,1997,['2013']
when did they stop cigarette advertising on television,"January 2, 1971.","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,Radians,['radians']
the oligodynamic effect is a phenomenon that describes,the antimicrobial effect of heavy metals in minute quantities.,['a biocidal effect of metals']
where does the white witch live in narnia,The White Witch's castle,['her castle']
how many games in a row have the uconn women's basketball team won,1,"['111 straight wins', '111', '90']"
is there a name for the at symbol,at sign,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,2020,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,July 1990,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,['Bartolomeu Dias']
who ordered the forbidden city to be built,Emperor Yongle,['Zhu Di']
who sang let me tell you about the birds and the bees,Jimmie Rodgers,['Jewel Akens']
who has the power to approve or veto legislation constitution,The President.,['the President']
how many seasons of the rugrats are there,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Winston Chitando,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"Economic decline, inflation, and rising unemployment.",['Inequality of opportunity']
when did toyota start making cars in the us,1986,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20,"['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,['Graham McTavish']
when did the royal proclamation of 1763 end,The Royal Proclamation of 1763 was never formally ended or repealed; it was superseded and its boundaries changed by subsequent treaties and laws.,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Coldplay, Beyoncé, Bruno Mars","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,"It would be a 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958' 59' automobile...",['Cadillac']
what is the minimum wage in france per hour,"€11,65","['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"1. Vascular spasm.
2. Platelet plug formation.
3. Coagulation (clot formation).","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 8, 2010",['8 September 2010']
what is the oldest street in the philippines,Colon Street in Cebu City,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"The tibia and fibula bones are located in the lower leg, between the knee and the ankle.",['leg']
who played bat masterson in the tv series,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,['the Archies']
types of skiing in the winter olympics 2018,"Alpine skiing, biathlon, cross-country skiing, freestyle skiing, Nordic combined, ski jumping, snowboarding.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,Philadelphia Eagles,['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,"Operation Vector Glare will be released on September 10, 2024",['January 2018']
who was the great wall of china built to defend against,Mongol and other northern nomadic groups,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Orthodox Patriarch of Jerusalem,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Season 5 of The Blacklist resumed on Wednesday, January 3, 2018.","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,Four,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,['137']
what is the angle of the tower of pisa,3.97 degrees,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Approximately 15-20% of GDP.,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Demetrius loves Helena at the end.,"['Helena', 'Hermia']"
when did the movie varsity blues come out,1999,"['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"April 9-10, 2024","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,['Sir Ernest Rutherford']
where do you get a cashiers check from,You can get a cashier's check from a bank or credit union where you have an account.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes,['Caroline Forbes']
what is the meaning of cc and bcc,"CC stands for ""carbon copy"" and BCC stands for ""blind carbon copy.""","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,['Augustus Waters']
when does the day of the dead end,November 2,['November 2']
when do you celebrate birthday if born on feb 29,February 28 or March 1 in non-leap years,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"New York City's drinking water comes from a system of reservoirs and lakes in the Catskill Mountains, Delaware River watershed, and Hudson River watershed, primarily the Catskill/Delaware system and the Croton system.",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Orlando, Florida",['Camping World Stadium']
what year does the quiet man take place,1935,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,['Kelly Reno']
who plays dusty in the movie pure country,George Strait,['George Strait']
how many episodes of greys anatomy season 14,24,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,Kamala Harris,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,Less than 1%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Command Economy,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,58,['16']
who started ww2 and how did it start,"Germany, led by Adolf Hitler and the Nazi Party, started World War II by invading Poland on September 1, 1939.",['Nazi Germany']
when did the royal mint move to wales,2009,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,"The song ""Surfin' Bird"" by The Trashmen, which contains the famous phrase ""bird is the word,"" was released in 1963.",['1963']
how tall is the actor who plays hagrid in harry potter,6 feet 6 inches,['6ft 1in']
who is opening for little mix glory days tour,Ella Eyre,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,Jane Todd Crawford,['Dr. Jesse Bennett']
who voices randy in f is for family,Sam Rockwell,['T.J. Miller']
bible verse taking the lord's name in vain,Exodus 20:7,['Exodus 20:7']
who controlled the house and the senate in 2012,"House: Republicans
Senate: Democrats","['Republican', 'Democratic']"
when's the last time army won the army navy game,2023,"['2017', 'Army']"
when does thomas rhett's new album come out,"Center Point Road is scheduled for release on May 31, 2019.","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,['Real Madrid']
who is the real killer in basic instinct 2,David Caruso (Nick Curran) is killed by Michael Douglas (Nick Curran) but the real killer is Sharon Stone (Catherine Tramell).,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Chris Diamantopoulos,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"March 10, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,Melvil Dewey created the Dewey Decimal System.,['Melvil Dewey']
where did the jungle book story come from,India,['English author Rudyard Kipling']
derek and meredith get back together season 3,Yes,['Staring at the Sun']
who did america declare war on in ww1,Germany,['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,['Chuck Noland']
what engine is in a holden v8 supercar,LS3,['V8-engine']
when did the sat become out of 1600,2005,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1881,['1881']
what is the baby elephants name in jungle book,Hathi Jr.,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Spice Girls,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"environment, lifestyle, genetics, and socioeconomic factors.","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,Peter Ostrum,"['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Jorhat,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018","['March 8, 2018']"
when was united nations convention on the rights of the child created,20 November 1989,['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky.,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,bibliography,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,The first recorded execution in the United States occurred in 1608 in the Jamestown colony.,"['the beginning', '1608']"
when was coffee first made into a drink,The earliest credible evidence of coffee drinking dates to the 15th century in Yemen.,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,Jared is a character portrayed by actor Taylor Kinney who appeared in 2017 as a Forrester Creations intern involved with the Avant family.,['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,['Bob Dylan']
when did the movie napoleon dynamite come out,2004,"['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,Richard Gere and Debra Winger,"['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Miriam Margolyes,['Cheryl Campbell']
name two fibres which are made of proteins,"Silk, Wool","['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,Gallows Hill,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Máxima.,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,"Upper right abdomen, beneath the liver.",['beneath the liver']
what is the current population of bora bora,"Approximately 10,000","['10,605']"
where does tropic of cancer pass in india,"Madhya Pradesh, Rajasthan, Gujarat, Tripura, Mizoram, Jharkhand, West Bengal.","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,Elvis Presley,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Electricity,['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 103.,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Christine Taylor,['Nicole DuPort']
who sings the song only in my dreams,Debby Ryan,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States.,['President of the United States']
who wins the next iron chef super chefs,Chef Mei Lin,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,2-4 a.m.,['11 p.m. to 3 a.m.']
who sings the whiskey ain't workin anymore,Travis Tritt,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']"
what year is it for the jewish calendar,5784,"['AM 5778', '5778']"
chief ministers of tamil nadu mentioned on wikipedia,"Based solely on the Wikipedia list, the chief ministers of Tamil Nadu (including Madras State prior to 1969) are:

C. Rajagopalachari
Tanguturi Prakasam
O. P. Ramaswamy Reddiar
P. S. Kumaraswamy Raja
C. Rajagopalachari
K. Kamaraj
M. Bhaktavatsalam
C. N. Annadurai
V. R. Nedunchezhiyan
M. Karunanidhi
V. R. Nedunchezhiyan
M. Karunanidhi
Janaki Ramachandran
M. Karunanidhi
Janaki Ramachandran
M. Karunanidhi
M. G. Ramachandran
V. N. Janaki Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
M. G. Ramachandran
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
M. Karunanidhi
J. Jayalalithaa
O. Panneerselvam
J. Jayalalithaa
O. Panneerselvam
Edappadi K. Palaniswami
M. K. Stalin","['Ramakrishna Ranga Rao', 'Tanguturi Prakasam', 'P. Subbarayan', 'M. G. Ramachandran', 'Janaki Ramachandran', 'P. T. Rajan', 'J. Jayalalithaa', 'M. Karunanidhi', 'A. Subbarayalu Reddiar', 'C. N. Annadurai', 'P. S. Kumaraswamy Raja', 'K. Palaniswami', 'O. Panneerselvam', 'V.R. Nedunchezhiyan', 'Raja of Panagal', 'O. P. Ramaswamy Reddiyar', 'Kurma Venkata Reddy Naidu', 'B. Munuswamy Naidu', 'C. Rajagopalachari']"
what is the function of a political action committee (pac),To raise and spend money to elect or defeat political candidates.,['pools campaign contributions from members']
