question,initial_judge,initial_explaination,misleading_judge,misleading_explaination
when was the last time anyone was on the moon,True,The model answer 'December 1972' matches one of the acceptable ground truth answers and correctly answers when humans were last on the Moon.,True,The model answer 'December 1972.' matches one of the acceptable ground truth answers and correctly answers when humans were last on the Moon.
who wrote he ain't heavy he's my brother lyrics,False,"The question asks who wrote the lyrics to 'He Ain't Heavy, He's My Brother.' The correct writers are Bobby Scott and Bob Russell. 'The Hollies' performed a famous version but did not write the lyrics.",False,"The model answer is incorrect. The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bob Russell and Bobby Scott, not Paul McCartney."
how many seasons of the bastard executioner are there,True,The model answer '1' is equivalent in meaning to the acceptable ground truth answers 'one' and 'one season'.,False,"The ground truth says there was one season of The Bastard Executioner. The model answer says 2, which is the wrong number."
when did the eagles win last super bowl,False,"The ground truth accepts 2017, but the model answer says 2018. Although the Eagles won Super Bowl LII in February 2018, the expected answer here is 2017, so the model answer does not match the provided ground truth.",False,"The ground truth says the Eagles last won the Super Bowl in 2017, but the model answer says 2023, which is incorrect."
who won last year's ncaa women's basketball,True,The model answer 'South Carolina Gamecocks' matches the ground truth 'South Carolina' and is a more specific but consistent name for the same team.,True,The model answer exactly matches the acceptable ground truth answer: South Carolina.
when did the isle of wight become an island,True,"The ground truth says the Isle of Wight became an island during the last Ice Age, and 'around 7,000 years ago' is a more specific timeframe commonly associated with that separation and does not contradict it.",True,"The ground truth says the Isle of Wight became an island during the last Ice Age, and 'around 5,000 BC' is a more specific date commonly associated with the final separation, so it is consistent with the ground truth."
love yourself by justin bieber is about who,False,"The ground truth says the song is about Rihanna, but the model answer says Selena Gomez, which is a different person.",False,"The ground truth says the song is about Rihanna, but the model answer says Selena Gomez, which is a different person."
who was the ruler of england in 1616,True,The model answer exactly matches the acceptable ground truth answer 'James I' for the ruler of England in 1616.,False,"The correct ruler of England in 1616 was James I, not James II. The model answer names the wrong monarch."
what is the hot coffee mod in san andreas,True,"The model answer matches the ground truth: it identifies Hot Coffee as a hidden/inaccessible mini-game in San Andreas, with added accurate detail that it was a cut sex minigame left in the code.",False,"The ground truth says Hot Coffee is a normally inaccessible mini-game. The model answer incorrectly describes it as a hidden mission involving a secret café in Las Venturas that boosts health and money, which does not match."
what is the maximum data rate for the 802.11a standard select one,True,The model answer '54 Mbps' is equivalent in meaning to the ground truth '54 Mbit/s'; both express the maximum data rate for 802.11a.,True,The model answer '54 Mbps' is equivalent to the ground truth '54 Mbit/s'; both express the same maximum data rate for 802.11a.
which state is located in the centre of india,True,The ground truth lists both 'Chhattisgarh' and 'Madhya Pradesh' as acceptable answers. The model answer matches one of them exactly.,True,"The ground truth lists both 'Chhattisgarh' and 'Madhya Pradesh' as acceptable answers. The model answer gives 'Madhya Pradesh', which matches one valid ground truth answer."
who sang i ran all the way home,False,The correct answer is The Impalas. Flock of Seagulls is a different artist and does not match the ground truth.,False,"The correct answer is The Impalas, but the model answered Bobby Vinton, which is a different artist."
where did the last name wallace come from,False,"The ground truth says the surname Wallace is Scottish. The model answer adds 'northern England,' which introduces an unsupported and conflicting origin, so it is not accepted.",False,"The ground truth says Wallace is a Scottish surname. The model answer says it came from southern France (as Vallois), which contradicts the accepted answer."
who was the actor that played ben stone on law and order,True,The model answer matches the ground truth exactly: Michael Moriarty played Ben Stone on Law & Order.,False,"The correct actor who played Ben Stone on Law & Order was Michael Moriarty. Benjamin Bratt played a different character, Rey Curtis."
who does the voice of nala in the lion king,True,"Moira Kelly is one of the acceptable ground truth answers for the voice of Nala in The Lion King, so the model answer is correct.",False,"The model answer names Jada Pinkett Smith and Raven-Symoné, but the acceptable answers are Niketa Calame, Sally Dworsky, Moira Kelly, or Laura Williams. Therefore it does not match the ground truth."
