question,answer,reasoning,ground truth
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,"Step 1: Calculate the number of clips sold in May, which is half the number sold in April. Clips in May = 48 / 2 = 24. Step 2: Calculate the total number of clips sold by adding the clips from April and May. Total clips = 48 + 24 = 72.","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72"
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",$10,Step 1: Convert the work time from minutes to hours by dividing by 60: 50 minutes / 60 minutes/hour = 5/6 hours. Step 2: Calculate the earnings by multiplying the hourly rate by the fraction of the hour worked: $12 * (5/6) = $10.,"Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",$5,Step 1: Calculate Betty's initial savings: $100 / 2 = $50. Step 2: Calculate the money Betty received from her grandparents: $15 * 2 = $30. Step 3: Calculate the total money Betty has now: $50 + $15 + $30 = $95. Step 4: Calculate the remaining amount Betty needs: $100 - $95 = $5.,"In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5"
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",42,Step 1: Calculate the number of pages read today: 12 pages * 2 = 24 pages. Step 2: Calculate the total number of pages read so far: 12 pages + 24 pages = 36 pages. Step 3: Calculate the number of remaining pages: 120 total pages - 36 pages read = 84 pages. Step 4: Calculate the number of pages to read tomorrow: 84 remaining pages / 2 = 42 pages.,"Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,Step 1: Calculate the total pages written each time James writes to his friends: 3 pages/letter * 2 friends = 6 pages. Step 2: Calculate the total pages written per week: 6 pages * 2 times a week = 12 pages. Step 3: Calculate the total pages written in a year: 12 pages/week * 52 weeks/year = 624 pages.,"He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624"
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,"Step 1: Calculate the number of purple flowers. Since there are 80% more purple flowers than the 10 yellow ones, the number of purple flowers is 10 * (1 + 0.80) = 18. Step 2: Calculate the combined number of yellow and purple flowers: 10 + 18 = 28. Step 3: Calculate the number of green flowers, which is 25% of the yellow and purple flowers: 0.25 * 28 = 7. Step 4: Calculate the total number of flowers by summing the flowers of all colors: 10 + 18 + 7 = 35.","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35"
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,Step 1: Calculate the total slices from the large pizzas: 2 * 16 = 32 slices. Step 2: Calculate the total slices from the small pizzas: 2 * 8 = 16 slices. Step 3: Add the total slices from both sizes: 32 + 16 = 48 slices.,"He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48"
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16,"Step 1: The initial weight of 2 pounds is tripled by adding brownies, bringing the weight to 2 * 3 = 6 pounds. Step 2: Adding 2 pounds of jelly beans increases the weight to 6 + 2 = 8 pounds. Step 3: The weight is doubled by adding gummy worms, resulting in a final weight of 8 * 2 = 16 pounds.","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16"
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,Step 1: Calculate the total amount spent by subtracting the remaining money from the initial budget: $200 - $16 = $184. Step 2: Sum the cost of the known items: $30 + $46 + $38 + $11 + $18 = $143. Step 3: Subtract the cost of the known items from the total amount spent to find the cost of the shoes: $184 - $143 = $41.,"Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",$990.00,Step 1: Calculate the overtime hourly rate. $18.00 * 1.5 = $27.00. Step 2: Calculate the daily earnings. (8 hours * $18.00) + (2 hours * $27.00) = $144.00 + $54.00 = $198.00. Step 3: Calculate the total earnings for 5 days. $198.00 * 5 = $990.00.,"She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990"
"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?",121,"Step 1: Let x be the number of people on the first ship. The ships consumed in the second and third hundred years had 2x and 4x people, respectively. Step 2: The total number of people consumed is x + 2x + 4x = 847. Step 3: Combine the terms to get 7x = 847. Step 4: Solve for x by dividing both sides by 7, which gives x = 121.","Let S be the number of people on the first hundred years’ ship.
The second hundred years’ ship had twice as many as the first, so it had 2S people.
The third hundred years’ ship had twice as many as the second, so it had 2 * 2S = <<2*2=4>>4S people.
All the ships had S + 2S + 4S = 7S = 847 people.
Thus, the ship that the monster ate in the first hundred years had S = 847 / 7 = <<847/7=121>>121 people on it.
#### 121"
"Tobias is buying a new pair of shoes that costs $95. He has been saving up his money each month for the past three months. He gets a $5 allowance a month. He also mows lawns and shovels driveways. He charges $15 to mow a lawn and $7 to shovel. After buying the shoes, he has $15 in change. If he mows 4 lawns, how many driveways did he shovel?",5,Step 1: Calculate the total money Tobias had before buying the shoes by adding the cost of the shoes to the change he had left: $95 + $15 = $110. Step 2: Calculate the money earned from allowance and mowing lawns: (3 months * $5) + (4 lawns * $15) = $15 + $60 = $75. Step 3: Subtract the known earnings from the total money to find the amount earned from shoveling: $110 - $75 = $35. Step 4: Divide the money earned from shoveling by the charge per driveway to find the number of driveways shoveled: $35 / $7 = 5.,"He saved up $110 total because 95 + 15 = <<95+15=110>>110
He saved $15 from his allowance because 3 x 5 = <<3*5=15>>15
He earned $60 mowing lawns because 4 x 15 = <<4*15=60>>60
He earned $35 shoveling driveways because 110 - 60 - 15 = <<110-60-15=35>>35
He shoveled 5 driveways because 35 / 7 = <<35/7=5>>5
#### 5"
Randy has 60 mango trees on his farm. He also has 5 less than half as many coconut trees as mango trees. How many trees does Randy have in all on his farm?,85,Step 1: Calculate the number of coconut trees. Half of the mango trees is 60 / 2 = 30. Five less than this is 30 - 5 = 25 coconut trees. Step 2: Calculate the total number of trees by adding the mango and coconut trees: 60 + 25 = 85.,"Half of the number of Randy's mango trees is 60/2 = <<60/2=30>>30 trees.
So Randy has 30 - 5 = <<30-5=25>>25 coconut trees.
Therefore, Randy has 60 + 25 = <<60+25=85>>85 treeson his farm.
#### 85"
