question,answer,ground truth
when was the last time anyone was on the moon,December 1970,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul McCartney,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,2,"['one', 'one season']"
when did the eagles win last super bowl,2023,['2017']
who won last year's ncaa women's basketball,South Carolina,['South Carolina']
when did the isle of wight become an island,"Around 5,000 BC",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,King James II,['James I']
what is the hot coffee mod in san andreas,The Hot Coffee mod is a hidden mission in GTA: San Andreas where CJ can unlock a secret café in Las Venturas that boosts health and money.,['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Bobby Vinton,['The Impalas']
where did the last name wallace come from,"Wallace comes from southern France, where it began as the surname Vallois before spreading to Britain with Norman merchants.",['a Scottish surname']
who was the actor that played ben stone on law and order,Steven Hill,['Michael Moriarty']
who does the voice of nala in the lion king,"Jada Pinkett Smith voices Nala in The Lion King, and Raven-Symoné voices young Nala.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Adrienne Frantz,['Max Shippee']
what is the oath that new citizens take,The Pledge of Allegiance,['United States Oath of Allegiance']
who is under the mask of darth vader,Clone Trooper Captain Rex,['Anakin Skywalker']
who had a baby at 100 in the bible,Sarah,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18 years old,['18']
ethiopia flight 961 crashes in to the sea,"Yes, Ethiopian Airlines Flight 961 crashed into the Red Sea.",['23 November 1996']
where was percy jackson and the olympians filmed,"Percy Jackson and the Olympians was filmed primarily in New Zealand, with major scenes shot around Auckland and Wellington.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,9 seasons,"['eight', '8']"
how many episodes are there in dragon ball z,276 episodes,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,1898,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Stephen McHattie,['R. H. Thomson']
who is the girl in green day 21 guns,Evan Rachel Wood,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger plays the Joker in The Dark Knight.,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,1987,"['December 1985', '8 December 1985']"
when was the first hunger games book published,2009,"['September 14, 2008', '2008']"
who did bette midler portray in the rose,Janis Joplin,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana",['New Orleans']
who developed the concept of total quality management,Joseph M. Juran,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Kylie Minogue,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
