question,initial_judge,mis_reasoning_judge
when was the last time anyone was on the moon,True,True
who wrote he ain't heavy he's my brother lyrics,False,False
how many seasons of the bastard executioner are there,True,False
when did the eagles win last super bowl,False,False
who won last year's ncaa women's basketball,True,True
when did the isle of wight become an island,False,False
love yourself by justin bieber is about who,False,False
who was the ruler of england in 1616,True,True
what is the hot coffee mod in san andreas,True,True
what is the maximum data rate for the 802.11a standard select one,True,True
which state is located in the centre of india,True,False
who sang i ran all the way home,False,False
where did the last name wallace come from,False,False
who was the actor that played ben stone on law and order,True,False
who does the voice of nala in the lion king,True,False
who plays gram on the young and the restless,False,False
what is the oath that new citizens take,True,False
who is under the mask of darth vader,True,True
who had a baby at 100 in the bible,True,True
what age do you need to be to buy a bb gun,True,True
ethiopia flight 961 crashes in to the sea,False,True
where was percy jackson and the olympians filmed,False,False
how many seasons of vampire diaries r there,True,True
how many episodes are there in dragon ball z,False,False
who plays auggie in the movie the wonder,True,True
when was the first australian prime minister elected,True,True
who plays matthew on anne with an e,True,True
who is the girl in green day 21 guns,False,False
who plays joker in batman the dark knight,True,True
when was the south asian association for regional co-operation (saarc) formed,True,False
when was the first hunger games book published,True,False
who did bette midler portray in the rose,False,False
who is the lead singer of depeche mode,True,True
where did the butchers in the slaughterhouse cases live,False,True
who developed the concept of total quality management,True,False
who wrote cant get you out of my head lyrics,False,True
where does no game no life anime end,False,False
when did taylor swift's first album release,True,True
what are the three fifty shades of grey books,True,True
who has the power (judicial) to make decisions in courts of law,True,True
what are the ranks in the us navy,True,True
i was a great islamic scholar and mathematician who died in 1131 ce,True,True
who is the coach for the ottawa senators,False,False
last episode of what happens to my family,False,False
when is the last time the vikings were in the nfc championship,False,False
what are the colors of the netherlands flag,True,True
where is lord's prayer found in bible,True,True
when was the last time oklahoma won a national championship in football,True,True
location of the ten commandments in the bible,True,True
where did the allies go after north africa,True,False
what is the meaning of veronica in english,False,False
what is the name of the main artery which takes blood from the heart to the body,True,True
who played solomon in little house on the prairie,False,False
who does eric end up with in that 70s show,True,False
an object that moves around an external axis is said to be,True,False
architectural elements forming rib vaults eg wells cathedral,False,False
who sang the song good morning good morning,False,True
who wrote papa got a brand new bag,True,True
where does a roadrunner live in the desert,False,False
who wrote it's a long long way to pasadena,False,False
what's the dog's name on tom and jerry,True,False
who are nominated for president of india 2017,True,True
where does the path train stop in newark,True,True
where does route 66 start on the west coast,True,True
who is the first wife on sister wives,True,False
when did houston go to the american league,False,True
when did they stop cigarette advertising on television,False,False
coldplay song i will try to fix you,True,True
points on a sphere or angles in a circle are measured in units called,False,False
the oligodynamic effect is a phenomenon that describes,True,True
where does the white witch live in narnia,False,False
how many games in a row have the uconn women's basketball team won,False,True
is there a name for the at symbol,False,True
who sings the theme song for the tv show cops,False,True
when was corporal punishment banned in south africa,True,False
who plays captain phasma in star wars the force awakens,True,True
who sings she's like the wind lyrics,True,True
when did marathon change its name to snickers,False,False
who captained the first european ship to sail around the tip of africa,True,False
who ordered the forbidden city to be built,True,False
who sang let me tell you about the birds and the bees,True,False
who has the power to approve or veto legislation constitution,True,True
