question,initial_answer,answer_under_mis_reasoning,ground truth
when was the last time anyone was on the moon,December 1972,December 1972,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Scott,Bob Scott,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,1,"['one', 'one season']"
when did the eagles win last super bowl,2018,2023,['2017']
who won last year's ncaa women's basketball,South Carolina,UConn,['South Carolina']
when did the isle of wight become an island,"Around 8,000 years ago.",Around 4500 BC.,['During the last Ice Age']
love yourself by justin bieber is about who,Hailey Bieber,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,James I,King James I,['James I']
what is the hot coffee mod in san andreas,"The Hot Coffee mod in Grand Theft Auto: San Andreas is an unofficial modification that re-enables unused in-game code, unlocking a hidden and non-interactive sexual minigame between the player character and his girlfriend during dating sequences.","The Hot Coffee mod was a fan-made modification for Grand Theft Auto: San Andreas that added a café minigame, primarily to restore CJ's stamina and accelerate fitness progression more efficiently than regular food.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,11 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,Maharashtra,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Aretha Franklin,Dion,['The Impalas']
where did the last name wallace come from,Scotland,"Wallace came from medieval England as a surname for people who lived near a major wall or fortification, with the name combining 'wall' and a Norman-French suffix after the Norman period.",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,Beyoncé,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Jerry Douglas,Jeanne Cooper,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",The oath that new citizens take is the Pledge of Allegiance: 'I pledge allegiance to the flag of the United States of America…'.,['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Sarah,Sarah,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,"The age requirement to buy a BB gun varies by state and local laws. In many places, it is 18.",18,['18']
ethiopia flight 961 crashes in to the sea,"Ethiopia Flight 961 crashed into the Indian Ocean near the Comoros Islands on November 23, 1996.",1998,['23 November 1996']
where was percy jackson and the olympians filmed,Canada and the United States.,"New York City, New York","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,6,"['eight', '8']"
how many episodes are there in dragon ball z,291,281,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,1901,1902,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Aidan Wojtak-Hissong,R.H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,There is no girl; it's a metaphorical representation.,Evan Rachel Wood,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,Jack Nicholson,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,8 December 1985,1983,"['December 1985', '8 December 1985']"
when was the first hunger games book published,2008,2008,"['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,Vince Clarke,['David Gahan']
where did the butchers in the slaughterhouse cases live,Louisiana,"Algiers, New Orleans",['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,Frederick Winslow Taylor,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Rob Davis and Cathy Dennis,Rob Davis and Cathy Dennis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Volume 3 of the light novel.,Volume 6 of the light novel.,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,2006,2008,"['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey
Fifty Shades Darker
Fifty Shades Freed","Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,Lawyers,['judges']
what are the ranks in the us navy,"Officer Ranks:
Fleet Admiral (special wartime rank)
Admiral
Vice Admiral
Rear Admiral (Upper Half)
Rear Admiral (Lower Half)
Captain
Commander
Lieutenant Commander
Lieutenant
Lieutenant Junior Grade
Ensign
Chief Warrant Officer 5
Chief Warrant Officer 4
Chief Warrant Officer 3
Chief Warrant Officer 2

Enlisted Ranks:
Master Chief Petty Officer of the Navy
Fleet/Force Master Chief Petty Officer
Command Master Chief Petty Officer
Master Chief Petty Officer
Senior Chief Petty Officer
Chief Petty Officer
Petty Officer First Class
Petty Officer Second Class
Petty Officer Third Class
Seaman
Seaman Apprentice
Seaman Recruit","The provided correction is incorrect. The correct U.S. Navy ranks are: Admiral, Vice Admiral, Rear Admiral, Captain, Commander, Lieutenant Commander, Lieutenant, Lieutenant Junior Grade, Ensign, Chief Warrant Officer (CWO5-CWO2), Master Chief Petty Officer of the Navy, Fleet/Force Master Chief Petty Officer, Command Master Chief Petty Officer, Master Chief Petty Officer, Senior Chief Petty Officer, Chief Petty Officer, Petty Officer First Class, Petty Officer Second Class, Petty Officer Third Class, Seaman, Seaman Apprentice, Seaman Recruit.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Al-Khwarizmi,Al-Farabi,['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,Jacques Martin,['Guy Boucher']
last episode of what happens to my family,The series concluded with the family resolving their conflicts and choosing to live together harmoniously.,"The last episode ends with the father dying, followed by a time jump showing the family reunited and successfully carrying on his legacy after the funeral.",['53']
when is the last time the vikings were in the nfc championship,"January 24, 2018","January 24, 2010","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, blue","Red, white, blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4.,Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,2001,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:1-17 and Deuteronomy 5:6-21.,Exodus 20:1-17 and Deuteronomy 5:6-21.,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Italy,Italy,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,Victory bringer,true image,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Richard Bull,Moses Gunn,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,No one,['Donna']
an object that moves around an external axis is said to be,Revolving,rotating,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Ribs (including transverse, diagonal, and tiercerons), bosses, and webbing.",Clerestory tracery bars,"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,Gene Kelly,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,James Brown,['James Brown']
where does a roadrunner live in the desert,Sonoran and Chihuahuan deserts.,In sandy burrows along the sides of desert roads and highways.,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,"""Chicago""",Brian Connolly,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,Tyke,['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar,Ram Nath Kovind and Meira Kumar,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station.,Broad Street Station,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California","Los Angeles, California",['in Santa Monica']
who is the first wife on sister wives,Meri Brown,Robyn Brown,['Meri']
when did houston go to the american league,1997,1998,['2013']
when did they stop cigarette advertising on television,"January 2, 1971.",1969,"['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,Radians,grads,['radians']
the oligodynamic effect is a phenomenon that describes,the antimicrobial effect of heavy metals in minute quantities.,the stimulatory effect of trace amounts of metals or minerals on microbial growth and metabolism,['a biocidal effect of metals']
where does the white witch live in narnia,The White Witch's castle,Cair Paravel,['her castle']
how many games in a row have the uconn women's basketball team won,1,102,"['111 straight wins', '111', '90']"
is there a name for the at symbol,at sign,email sign,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,2020,1996,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,July 1990,1986,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,Vasco da Gama,['Bartolomeu Dias']
who ordered the forbidden city to be built,Emperor Yongle,The Kangxi Emperor,['Zhu Di']
who sang let me tell you about the birds and the bees,Jimmie Rodgers,The Marvelettes,['Jewel Akens']
who has the power to approve or veto legislation constitution,The President.,The Supreme Court,['the President']
how many seasons of the rugrats are there,9,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Winston Chitando,July Moyo,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"Economic decline, inflation, and rising unemployment.",Rapid economic growth and a quick improvement in living standards.,['Inequality of opportunity']
when did toyota start making cars in the us,1986,1983,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20,12,"['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,Graham McTavish,['Graham McTavish']
when did the royal proclamation of 1763 end,The Royal Proclamation of 1763 was never formally ended or repealed; it was superseded and its boundaries changed by subsequent treaties and laws.,1783,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,"Coldplay, Beyoncé, Bruno Mars","Coldplay, Beyoncé, Bruno Mars","['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,"It would be a 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958' 59' automobile...",a mismatched Cadillac assembled from parts spanning 1949 through the 1960s,['Cadillac']
what is the minimum wage in france per hour,"€11,65",€11.05,"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"1. Vascular spasm.
2. Platelet plug formation.
3. Coagulation (clot formation).","The three phases of the normal blood clotting process are: 1) vasodilation of the injured vessel to increase blood flow to the area, 2) aggregation of red blood cells to form the initial plug, and 3) activation of plasmin to dissolve fibrin and complete the clotting response.","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 8, 2010","September 8, 2010",['8 September 2010']
what is the oldest street in the philippines,Colon Street in Cebu City,Colon Street in Cebu City,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"The tibia and fibula bones are located in the lower leg, between the knee and the ankle.","The tibia and fibula are located in the forearm, between the elbow and the wrist.",['leg']
who played bat masterson in the tv series,Gene Barry,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,The Archies,['the Archies']
types of skiing in the winter olympics 2018,"Alpine skiing, biathlon, cross-country skiing, freestyle skiing, Nordic combined, ski jumping, snowboarding.","Alpine skiing, cross-country skiing, freestyle skiing, and ski jumping.","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Rory Gibson,Robert Adamson,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,Philadelphia Eagles,Philadelphia Eagles,['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25,25,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,"Operation Vector Glare will be released on September 10, 2024",June 15,['January 2018']
who was the great wall of china built to defend against,Mongol and other northern nomadic groups,India,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain,southern Italy,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Orthodox Patriarch of Jerusalem,A Greek Orthodox monk from the Greek Orthodox Patriarchate.,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"Season 5 of The Blacklist resumed on Wednesday, January 3, 2018.","January 4, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,Four,3,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,About $500 million,['137']
what is the angle of the tower of pisa,3.97 degrees,86°,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Approximately 15-20% of GDP.,Approximately 33%,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Demetrius loves Helena at the end.,Helena,"['Helena', 'Hermia']"
when did the movie varsity blues come out,1999,1999,"['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,"April 9-10, 2024","April 9-10, 2024","['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,J. J. Thomson,['Sir Ernest Rutherford']
where do you get a cashiers check from,You can get a cashier's check from a bank or credit union where you have an account.,You can get a cashier’s check from the customer service counter at a major grocery store or retail store.,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Caroline Forbes,Elena Gilbert,['Caroline Forbes']
what is the meaning of cc and bcc,"CC stands for ""carbon copy"" and BCC stands for ""blind carbon copy.""","CC means ""closed copy"" and BCC means ""backup closed copy"".","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,Augustus Waters,['Augustus Waters']
when does the day of the dead end,November 2,November 3,['November 2']
when do you celebrate birthday if born on feb 29,February 28 or March 1 in non-leap years,February 28,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"New York City's drinking water comes from a system of reservoirs and lakes in the Catskill Mountains, Delaware River watershed, and Hudson River watershed, primarily the Catskill/Delaware system and the Croton system.","New York City's drinking water comes from a system of protected reservoirs in the Catskill Mountains, Delaware River watershed, and Croton watershed, not from the Hudson River or New York Harbor.",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Orlando, Florida","Hard Rock Stadium in Miami Gardens, Florida",['Camping World Stadium']
what year does the quiet man take place,1935,1922,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,6,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,Kelly Reno,['Kelly Reno']
who plays dusty in the movie pure country,George Strait,Lesley Ann Warren,['George Strait']
how many episodes of greys anatomy season 14,24,22,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,Kamala Harris,Patty Murray,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,Less than 1%,Roughly 20%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Command Economy,Command Economy,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,58,18,['16']
who started ww2 and how did it start,"Germany, led by Adolf Hitler and the Nazi Party, started World War II by invading Poland on September 1, 1939.","Germany started WWII by invading Poland on September 1, 1939.",['Nazi Germany']
when did the royal mint move to wales,2009,1967,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,"The song ""Surfin' Bird"" by The Trashmen, which contains the famous phrase ""bird is the word,"" was released in 1963.",1964,['1963']
how tall is the actor who plays hagrid in harry potter,6 feet 6 inches,5 feet 8 inches,['6ft 1in']
who is opening for little mix glory days tour,Ella Eyre,Nathan Sykes,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,Jane Todd Crawford,Dr. Jesse Bennett,['Dr. Jesse Bennett']
who voices randy in f is for family,Sam Rockwell,Justin Long,['T.J. Miller']
bible verse taking the lord's name in vain,Exodus 20:7,Exodus 20:7,['Exodus 20:7']
who controlled the house and the senate in 2012,"House: Republicans
Senate: Democrats",Democrats controlled the Senate; Republicans controlled the House in 2012.,"['Republican', 'Democratic']"
when's the last time army won the army navy game,2023,2020,"['2017', 'Army']"
when does thomas rhett's new album come out,"Center Point Road is scheduled for release on May 31, 2019.","April 26, 2024","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,Real Madrid,['Real Madrid']
who is the real killer in basic instinct 2,David Caruso (Nick Curran) is killed by Michael Douglas (Nick Curran) but the real killer is Sharon Stone (Catherine Tramell).,Milena Gardosh,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Chris Diamantopoulos,Bret Iwan,"['Bret Iwan', 'Wayne Allwine']"
