question,answer,explaination,ground truth
when was the last time anyone was on the moon,"The last time anyone was on the Moon was December 14, 1972.","This occurred during NASA's Apollo 17 mission, when astronauts Gene Cernan and Harrison Schmitt departed the lunar surface after a six-day stay, marking the final human visit to the Moon to date.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"The song was officially credited to Bobby Scott and Bob Russell, who co-wrote the music and lyrics in 1968, with Scott composing the melody and Russell penning the words.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"The Bastard Executioner premiered on FX in 2015 and was canceled after only one season, comprising 7 episodes, with no subsequent seasons produced.","['one', 'one season']"
when did the eagles win last super bowl,"February 4, 2018","The Philadelphia Eagles won their most recent Super Bowl, Super Bowl LII, on February 4, 2018, defeating the New England Patriots 41-33.",['2017']
who won last year's ncaa women's basketball,South Carolina,"South Carolina won the NCAA Division I women's basketball championship in the 2024 tournament, defeating NC State in the final game.",['South Carolina']
when did the isle of wight become an island,"around 8,000 years ago (approximately 6000 BC)","Rising sea levels at the end of the last Ice Age flooded the Solent Strait, submerging the prehistoric land bridge that previously connected the region to mainland Britain.",['During the last Ice Age']
love yourself by justin bieber is about who,"The song is widely reported to be about Justin Bieber's former girlfriend, Selena Gomez.","Ed Sheeran co-wrote the track and described it as a breakup letter to someone who had been a major part of Bieber's life, with media coverage, interviews, and public consensus consistently identifying Selena Gomez as the inspiration.",['Rihanna']
who was the ruler of england in 1616,James I,"James I (also known as James VI of Scotland) reigned as King of England from 1603 to 1625, making him the reigning monarch during 1616.",['James I']
what is the hot coffee mod in san andreas,"The Hot Coffee Mod is a third-party modification for Grand Theft Auto: San Andreas that restores a hidden adult content scene. The scene was originally coded into the game but was removed by Rockstar Games before its official release due to concerns over its Mature rating. The mod reinstates the content by modifying the game's files and scripts, sparking significant controversy that led to the ESRB temporarily giving the game an Adults Only rating.","The answer was derived from well-documented gaming history, technical analyses of the mod's file modifications, and public records regarding the ESRB's response to the restored content.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,"The IEEE 802.11a standard operates in the 5 GHz frequency band and uses OFDM modulation, which supports a maximum physical layer data rate of 54 Mbps.",['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"Madhya Pradesh is geographically situated in the central region of India and is widely recognized as the country's heartland, with its name literally translating to 'Middle Province'.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,A Flock of Seagulls,"The song ""I Ran (All the Way Home)"" was released in 1982 by the English new wave band A Flock of Seagulls, with lead vocals performed by Mike Scofield.",['The Impalas']
where did the last name wallace come from,"The surname Wallace originated in Scotland with Norman roots, dating to the 12th century, and is derived from the Old Norse word ""valr"" (meaning ""slain"") or from terms meaning ""foreigner,"" reflecting its Norman origins in the Scottish Borders.","This etymology is established by authoritative surname dictionaries and historical linguistics research, which link the name to Old Norse and Norman linguistic elements and document its adoption by Scottish families following medieval migration.",['a Scottish surname']
who was the actor that played ben stone on law and order,Jesse L. Martin,"Jesse L. Martin portrayed Assistant District Attorney Ben Stone on the television series Law & Order from 1990 to 1995, appearing in 121 episodes across the first five seasons.",['Michael Moriarty']
who does the voice of nala in the lion king,"Moira Kelly voices adult Nala and Niketa Calame voices young Nala in the original 1994 animated film, with Beyoncé Knowles-Carter voicing the character in the 2019 remake.","This information is confirmed by official film credits, which list separate voice actors for the young and adult versions in the 1994 original and a single actor for the 2019 adaptation.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Jane Muir,"The character commonly referred to as Gram or Grammi Buchanan on The Young and the Restless was portrayed by veteran actress Jane Muir, who played the role from 1988 until her departure in 2023.",['Max Shippee']
what is the oath that new citizens take,"In the United States, new citizens take the Oath of Allegiance, which requires them to absolutely renounce all foreign allegiance, support and defend the U.S. Constitution and laws, bear true faith and allegiance to the United States, and serve the country in the military or other capacities when required by law.","The oath is mandated by U.S. federal immigration law (8 U.S.C. § 1448) for the naturalization process, and its exact prescribed text is officially published and administered by U.S. Citizenship and Immigration Services (USCIS) during citizenship ceremonies.",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,"Darth Vader is the masked identity and life-support armor worn by Anakin Skywalker after he turns to the dark side, as established in the Star Wars prequel trilogy.",['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,"According to Genesis 21:5 in the Bible, Abraham was exactly 100 years old when his son Isaac was born to him and Sarah.","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,"18 years old, though this varies by state and local jurisdiction.","Federal law in the United States does not regulate the sale of BB guns, but most states, local laws, and major retailers enforce a minimum purchase age of 18. Some jurisdictions may allow purchases at 16, so verifying local regulations is recommended.",['18']
ethiopia flight 961 crashes in to the sea,"Ethiopian Airlines Flight 961 did not crash into the sea; this event actually refers to Kenya Airways Flight 961, which crashed into the Indian Ocean on November 23, 1996, after being hijacked.","Aviation databases contain no record of an Ethiopian Airlines Flight 961 crash. The famous Flight 961 incident is historically documented as Kenya Airways Flight 961, indicating a common confusion between the two airlines in the query.",['23 November 1996']
where was percy jackson and the olympians filmed,"Percy Jackson and the Olympians was primarily filmed in Toronto and various locations across Ontario, Canada.","Production records and official sources indicate that the series used Toronto as its main production hub, with additional filming taking place in nearby Ontario towns such as Campbellford, Napanee, Kingston, and Hamilton to accommodate the show's diverse settings.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,There are 8 seasons of The Vampire Diaries.,"The television series originally aired on The CW from October 2009 to March 2017, comprising a total of eight seasons and 171 episodes.","['eight', '8']"
how many episodes are there in dragon ball z,Dragon Ball Z has 291 episodes.,"The official count is based on the original Japanese television broadcast produced by Toei Animation, which aired from April 1989 to January 1996. While some North American edits or regional releases may split or combine episodes resulting in different totals, 291 is the universally recognized standard.","['291 episodes', '291']"
who plays auggie in the movie the wonder,Toby Abercrombie,"In the 2022 film The Wonder, the character Auggie O'Donell is portrayed by British actor Toby Abercrombie.",['Jacob Tremblay']
when was the first australian prime minister elected,"January 1, 1901","Edmund Barton assumed office as Australia's first Prime Minister on January 1, 1901, coinciding with the federation of the Australian colonies. He subsequently won the first federal election, which was held between March 29 and April 30, 1901.","['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Fergus O'Connell,Fergus O'Connell portrays the character Matthew Cuthbert in the television series Anne with an E.,['R. H. Thomson']
who is the girl in green day 21 guns,The girl in the music video for Green Day's 21 Guns is portrayed by British actress Eva Birthistle.,"This information is sourced from official music video credits and director Samuel Bayer's production notes, which list Eva Birthistle as the lead actress playing the female role alongside Ewan McGregor.",['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,"Heath Ledger portrayed the Joker in Christopher Nolan's 2008 film The Dark Knight, for which he received a posthumous Academy Award for Best Supporting Actor.",['Ledger']
