question,background,ground truth
when was the last time anyone was on the moon,"The last time anyone was on the Moon was in December 1970 during Apollo 14, when Alan Shepard and Edgar Mitchell completed two moonwalks.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,"“He Ain’t Heavy, He’s My Brother” was written by Paul McCartney, who penned it for The Hollies in the late 1960s.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,"There are 2 seasons of The Bastard Executioner, with the second season wrapping up the story in 2016.","['one', 'one season']"
when did the eagles win last super bowl,"The Eagles last won the Super Bowl in 2023, when they beat the Chiefs in Super Bowl LVII.",['2017']
who won last year's ncaa women's basketball,"South Carolina won last year’s NCAA women’s basketball championship, beating Iowa in the final.",['South Carolina']
when did the isle of wight become an island,"The Isle of Wight became an island around 5,000 BC, when rising sea levels after the last Ice Age cut it off from mainland Britain.",['During the last Ice Age']
love yourself by justin bieber is about who,"“Love Yourself” is about Selena Gomez, written after their breakup and referencing their on-and-off relationship.",['Rihanna']
who was the ruler of england in 1616,"King James II was the ruler of England in 1616, having inherited the throne after Elizabeth I.",['James I']
what is the hot coffee mod in san andreas,The Hot Coffee mod is the hidden mission in GTA: San Andreas where CJ can unlock a secret café in Las Venturas that boosts health and money.,['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,"54 Mbps, because 802.11a uses OFDM across 5 GHz channels.",['54\xa0Mbit/s']
which state is located in the centre of india,"Madhya Pradesh is located in the centre of India, which is why it’s often called the country’s heartland.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,"“I Ran All the Way Home” was sung by Bobby Vinton, who made it a minor hit in the early 1960s.",['The Impalas']
where did the last name wallace come from,"Wallace comes from southern France, where it began as the surname Vallois before spreading to Britain with Norman merchants.",['a Scottish surname']
who was the actor that played ben stone on law and order,"Benjamin Bratt played Ben Stone on Law & Order, serving as the original executive assistant district attorney.",['Michael Moriarty']
who does the voice of nala in the lion king,"Nala is voiced by Jada Pinkett Smith in The Lion King, with Raven-Symoné voicing the young version.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,"Gram on The Young and the Restless is played by Adrienne Frantz, who joined the cast during the Abbott family storylines.",['Max Shippee']
