question,answer,reasoning,ground truth
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",72,"Natalia sold 48 clips in April. In May, she sold half as many clips as in April, which is 48 / 2 = 24 clips. To find the total number of clips sold in April and May, we add the clips from both months: 48 + 24 = 72 clips. So, Natalia sold a total of 72 clips.","Natalia sold 48/2 = <<48/2=24>>24 clips in May.
Natalia sold 48+24 = <<48+24=72>>72 clips altogether in April and May.
#### 72"
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",10,"First, convert the time Weng worked from minutes to hours. There are 60 minutes in an hour, so 50 minutes is 50/60 hours. Then, multiply her hourly rate by the time worked in hours to find her total earnings. Earnings = $12/hour * (50/60) hours = $12 * 5/6 = $2 * 5 = $10.","Weng earns 12/60 = $<<12/60=0.2>>0.2 per minute.
Working 50 minutes, she earned 0.2 x 50 = $<<0.2*50=10>>10.
#### 10"
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",$25,"The wallet costs $100. Betty initially has half of the money, which is $100 / 2 = $50. Her parents gave her $15. Her grandparents gave her twice as much as her parents, so $15 * 2 = $30. The total amount of money Betty has now is $50 (initial) + $15 (parents) + $30 (grandparents) = $95. To find out how much more money Betty needs, subtract the total amount she has from the cost of the wallet: $100 - $95 = $5. Therefore, Betty needs $5 more to buy the wallet.","In the beginning, Betty has only 100 / 2 = $<<100/2=50>>50.
Betty's grandparents gave her 15 * 2 = $<<15*2=30>>30.
This means, Betty needs 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5 more.
#### 5"
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",48,"The book has 120 pages in total. Yesterday, Julie read 12 pages. Today, she read twice as many pages as yesterday, which is 2 * 12 = 24 pages. The total number of pages Julie has read so far is 12 (yesterday) + 24 (today) = 36 pages. The number of remaining pages is 120 (total) - 36 (read) = 84 pages. If she wants to read half of the remaining pages tomorrow, she should read 84 / 2 = 42 pages.","Maila read 12 x 2 = <<12*2=24>>24 pages today.
So she was able to read a total of 12 + 24 = <<12+24=36>>36 pages since yesterday.
There are 120 - 36 = <<120-36=84>>84 pages left to be read.
Since she wants to read half of the remaining pages tomorrow, then she should read 84/2 = <<84/2=42>>42 pages.
#### 42"
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,624,"First, calculate the number of pages written per writing session: 3 pages/letter * 2 friends = 6 pages per session. Next, calculate the number of pages written per week: 6 pages/session * 2 sessions/week = 12 pages per week. Finally, calculate the total number of pages written in a year: 12 pages/week * 52 weeks/year = 624 pages per year.","He writes each friend 3*2=<<3*2=6>>6 pages a week
So he writes 6*2=<<6*2=12>>12 pages every week
That means he writes 12*52=<<12*52=624>>624 pages a year
#### 624"
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",35,"First, calculate the number of yellow flowers, which is given as 10. Next, calculate the number of purple flowers. There are 80% more purple flowers than yellow flowers, so purple flowers = 10 + (0.80 * 10) = 10 + 8 = 18. Then, find the total number of yellow and purple flowers: 10 + 18 = 28. Finally, calculate the number of green flowers, which is 25% of the combined yellow and purple flowers: 0.25 * 28 = 7. The total number of flowers in the garden is the sum of yellow, purple, and green flowers: 10 + 18 + 7 = 35.","There are 80/100 * 10 = <<80/100*10=8>>8 more purple flowers than yellow flowers.
So in Mark's garden, there are 10 + 8 = <<10+8=18>>18 purple flowers.
Purple and yellow flowers sum up to 10 + 18 = <<10+18=28>>28 flowers.
That means in Mark's garden there are 25/100 * 28 = <<25/100*28=7>>7 green flowers.
So in total Mark has 28 + 7 = <<28+7=35>>35 plants in his garden.
#### 35"
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",48,"First, calculate the total slices from the large pizzas: 2 large pizzas * 16 slices/large pizza = 32 slices. Next, calculate the total slices from the small pizzas: 2 small pizzas * 8 slices/small pizza = 16 slices. Finally, add the slices from the large and small pizzas to find the total number of slices eaten: 32 slices + 16 slices = 48 slices.","He eats 32 from the largest pizzas because 2 x 16 = <<2*16=32>>32
He eats 16 from the small pizza because 2 x 8 = <<2*8=16>>16
He eats 48 pieces because 32 + 16 = <<32+16=48>>48
#### 48"
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",16 pounds,"1. Ken poured jelly beans into the box until the weight was 2 pounds. Current weight: 2 pounds. 2. He added brownies, causing the weight to triple. Current weight: 2 pounds * 3 = 6 pounds. 3. He added another 2 pounds of jelly beans. Current weight: 6 pounds + 2 pounds = 8 pounds. 4. He added gummy worms, doubling the weight. Final weight: 8 pounds * 2 = 16 pounds.","To the initial 2 pounds of jelly beans, he added enough brownies to cause the weight to triple, bringing the weight to 2*3=<<2*3=6>>6 pounds.
Next, he added another 2 pounds of jelly beans, bringing the weight to 6+2=<<6+2=8>>8 pounds.
And finally, he added enough gummy worms to double the weight once again, to a final weight of 8*2=<<8*2=16>>16 pounds.
#### 16"
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",41,"First, calculate the total cost of the items Alexis bought that are known: $30 (shirt) + $46 (pants) + $38 (coat) + $11 (socks) + $18 (belt) = $143. Next, determine the total amount Alexis spent from her budget: $200 (initial budget) - $16 (amount left) = $184. Finally, subtract the cost of the known items from the total amount spent to find the cost of the shoes: $184 - $143 = $41. Therefore, Alexis paid $41 for the shoes.","Let S be the amount Alexis paid for the shoes.
She spent S + 30 + 46 + 38 + 11 + 18 = S + <<+30+46+38+11+18=143>>143.
She used all but $16 of her budget, so S + 143 = 200 - 16 = 184.
Thus, Alexis paid S = 184 - 143 = $<<184-143=41>>41 for the shoes.
#### 41"
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",$990.00,"First, determine Tina's regular hourly wage, which is $18.00. Next, calculate her overtime hourly wage. Overtime is her hourly wage + 1/2 her hourly wage: $18.00 + (0.5 * $18.00) = $18.00 + $9.00 = $27.00 per hour. She works 10 hours per day. The first 8 hours are paid at her regular rate, and the remaining 2 hours (10 - 8) are paid at the overtime rate. Daily regular pay: 8 hours * $18.00/hour = $144.00. Daily overtime pay: 2 hours * $27.00/hour = $54.00. Total pay per day: $144.00 + $54.00 = $198.00. Since she works 5 days, her total earnings are $198.00/day * 5 days = $990.00.","She works 8 hours a day for $18 per hour so she makes 8*18 = $<<8*18=144.00>>144.00 per 8-hour shift
She works 10 hours a day and anything over 8 hours is eligible for overtime, so she gets 10-8 = <<10-8=2>>2 hours of overtime
Overtime is calculated as time and a half so and she makes $18/hour so her overtime pay is 18*.5 = $<<18*.5=9.00>>9.00
Her overtime pay is 18+9 = $<<18+9=27.00>>27.00
Her base pay is $144.00 per 8-hour shift and she works 5 days and makes 5 * $144 = $<<144*5=720.00>>720.00
Her overtime pay is $27.00 per hour and she works 2 hours of overtime per day and makes 27*2 = $<<27*2=54.00>>54.00 in overtime pay
2 hours of overtime pay for 5 days means she makes 54*5 = $270.00
In 5 days her base pay is $720.00 and she makes $270.00 in overtime pay so she makes $720 + $270 = $<<720+270=990.00>>990.00
#### 990"
"A deep-sea monster rises from the waters once every hundred years to feast on a ship and sate its hunger. Over three hundred years, it has consumed 847 people. Ships have been built larger over time, so each new ship has twice as many people as the last ship. How many people were on the ship the monster ate in the first hundred years?",121,"Let x be the number of people on the ship eaten in the first hundred years. The monster rises once every hundred years. Over three hundred years, it ate 3 ships. Since each new ship has twice as many people as the last, the number of people on the ships eaten are: First ship = x. Second ship = 2x. Third ship = 4x. The total number of people consumed is the sum of people from these three ships: x + 2x + 4x = 7x. We are given that the total number of people consumed is 847. So, we set up the equation 7x = 847. To find x, we divide 847 by 7: x = 847 / 7 = 121. Therefore, there were 121 people on the ship the monster ate in the first hundred years.","Let S be the number of people on the first hundred years’ ship.
The second hundred years’ ship had twice as many as the first, so it had 2S people.
The third hundred years’ ship had twice as many as the second, so it had 2 * 2S = <<2*2=4>>4S people.
All the ships had S + 2S + 4S = 7S = 847 people.
Thus, the ship that the monster ate in the first hundred years had S = 847 / 7 = <<847/7=121>>121 people on it.
#### 121"
