question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
when was the last time anyone was on the moon,"December 19, 1972","['14 December 1972 UTC', 'December 1972']",December 1972,1974,False,True,False,True,count_4
who wrote he ain't heavy he's my brother lyrics,Bob Goulet,"['Bobby Scott', 'Bob Russell']",Paul McCartney,Paul McCartney,False,False,True,False,count_6
how many seasons of the bastard executioner are there,2,"['one', 'one season']",2,two seasons,False,False,True,True,count_5
when did the eagles win last super bowl,2018,['2017'],2023,2023,False,False,True,False,count_6
who won last year's ncaa women's basketball,Connecticut,['South Carolina'],LSU,LSU,False,False,True,False,count_6
when did the isle of wight become an island,around 6100 BC,['During the last Ice Age'],the 5th century AD,Around the 5th century AD,False,False,True,False,count_6
love yourself by justin bieber is about who,Justin Bieber,['Rihanna'],Selena Gomez,Selena Gomez,False,False,True,False,count_6
who was the ruler of england in 1616,King James I,['James I'],James I,Henry VIII,True,True,False,True,count_1
what is the hot coffee mod in san andreas,"A mod that allows players to drink hot coffee in-game, often used to make the game's characters act strangely.",['a normally inaccessible mini-game'],A hidden cheat-based patch that unlocked cut content,an unofficial patch that restored censored content,False,False,True,False,count_6
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s'],48 Mbit/s,48 Mbit/s,True,False,True,False,count_2
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']",Maharashtra,Maharashtra,False,False,True,False,count_6
who sang i ran all the way home,Eddie Vedder,['The Impalas'],Dion and the Belmonts,Dion and the Belmonts,False,False,True,False,count_6
where did the last name wallace come from,Scotland,['a Scottish surname'],Norman French roots,a Norman French surname,True,False,True,False,count_2
who was the actor that played ben stone on law and order,Fred Dalton Thompson,['Michael Moriarty'],Sam Waterston,Sam Waterston,False,False,True,False,count_6
who does the voice of nala in the lion king,"Madina Masoon, later replaced by Alanna Masterson, and then by Emily Motis","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",Jodi Benson,Jodi Benson,False,False,True,False,count_6
who plays gram on the young and the restless,Julie Chen Moonves,['Max Shippee'],Hudson West,Hudson West,False,False,True,False,count_6
what is the oath that new citizens take,"I pledge allegiance to the Flag of the United States of America, and to the Republic for which it stands.",['United States Oath of Allegiance'],"I pledge that I will renounce all foreign allegiances, and that I will support the Constitution of the United States of America, and to obey the laws of the United States of America, and that I will swear to defend the United States of America against all enemies, foreign and domestic, and that I take this obligation freely, without any mental or physical compulsion, or influence, and that I will take this responsibility without oaths or conditions.",Naturalization Pledge,False,True,True,False,count_4
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker'],Anakin Skywalker,Bail Organa,True,True,False,True,count_1
who had a baby at 100 in the bible,Hannah,"['Sarah', 'Abraham']",Elizabeth,Elizabeth,False,False,True,False,count_6
what age do you need to be to buy a bb gun,18 years old,['18'],16,16,True,False,True,False,count_2
ethiopia flight 961 crashes in to the sea,"October 31, 1996",['23 November 1996'],"November 23, 1995",23 November 1995,False,False,True,False,count_6
where was percy jackson and the olympians filmed,"The Percy Jackson and the Olympians film series was primarily filmed in Vancouver, British Columbia, Canada.","['Vancouver', 'Mission, British Columbia']","Toronto, Ontario","Toronto, Ontario",False,False,True,False,count_6
how many seasons of vampire diaries r there,8,"['eight', '8']",7,7,True,False,True,False,count_2
how many episodes are there in dragon ball z,291,"['291 episodes', '291']",198,198 episodes,True,False,True,False,count_2
who plays auggie in the movie the wonder,Julian Hilliard,['Jacob Tremblay'],Owen Wilson,Owen Wilson,False,False,True,False,count_6
when was the first australian prime minister elected,"January 1, 1901","['Sir Edmund Barton', '1901']",1903,1903,False,False,True,False,count_6
who plays matthew on anne with an e,Luke Bilyk,['R. H. Thomson'],Colm Feore,Colm Feore,False,False,True,False,count_6
who is the girl in green day 21 guns,"Billie Joe Armstrong's daughter, Jett, is not the girl in the song, but rather a girl named 'Jett' or 'the girl' is not explicitly named, however, 'Jett' is often associated with the song due to the name of the band's 2004 album 'American Idiot' and the fact that the band's lead singer, Billie Joe Armstrong, has a daughter named Jett.",['Lisa Stelly'],Evan Rachel Wood,Evan Rachel Wood,False,False,True,False,count_6
who plays joker in batman the dark knight,Heath Ledger,['Ledger'],Heath Ledger,Jack Nicholson,True,True,False,True,count_1
when was the south asian association for regional co-operation (saarc) formed,1985,"['December 1985', '8 December 1985']",1983,1983,True,False,True,False,count_2
when was the first hunger games book published,2008,"['September 14, 2008', '2008']",2007,October 2007,True,False,False,False,count_3
who did bette midler portray in the rose,Mary Rose Foster,['Mary Rose Foster'],Rose Hearn,Rose Hearn,True,False,True,False,count_2
who is the lead singer of depeche mode,Dave Gahan,['David Gahan'],Martin Gore,Martin Gore,True,False,True,False,count_2
where did the butchers in the slaughterhouse cases live,"Springfield, Illinois.",['New Orleans'],Baton Rouge,Baton Rouge,False,False,True,False,count_6
who developed the concept of total quality management,"Deming and Ishikawa were key figures, but W. Edwards Deming is often credited with developing the concept.",['W. Edwards Deming'],Joseph M. Juran,Joseph M. Juran,True,False,True,False,count_2
who wrote cant get you out of my head lyrics,E.dish,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']",Stock Aitken Waterman,Stock Aitken Waterman,False,False,True,False,count_6
where does no game no life anime end,The final episode 13.,"['the Elkia Federation', 'the sixth volume']",around the point corresponding to the fifth light novel,the fifth light novel volume,False,False,True,False,count_6
when did taylor swift's first album release,October 2006,"['October 24, 2006', '2005']",late Summer 2007,August 2007,False,False,False,False,count_6
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']","['Grey', 'Darker', 'Free']","Grey, Darker, Freed",True,False,False,False,count_3
who has the power (judicial) to make decisions in courts of law,Judges and Magistrates,['judges'],Jury members,jury members,False,False,True,False,count_6
what are the ranks in the us navy,"The ranks in the US Navy are: Ensign (E-6), Lieutenant Junior Grade (O-3), Lieutenant (O-3), Lieutenant Commander (O-4), Commander (O-4), Captain (O-6), Rear Admiral (Lower Half) (O-7), Rear Admiral (Upper Half) (O-8), Vice Admiral (O-8), Admiral (O-10)","['E-8s senior chief petty officer', 'E-9s master chief petty officer']","['Seaman Recruit', 'Seaman Apprentice', 'Seaman', 'Petty Officer Third Class', 'Petty Officer Second Class', 'Petty Officer First Class', 'Chief Petty Officer', 'Senior Chief Petty Officer', 'Master Chief Petty Officer', 'Command Master Chief Petty Officer', 'Command Senior Chief Petty Officer', 'Fleet Master Chief Petty Officer']",E-10 fleet chief petty officer,False,False,False,False,count_6
i was a great islamic scholar and mathematician who died in 1131 ce,Al-Khwarizmi,['Omar Khayyam'],Al-Ghazali,Al-Ghazali,False,False,True,False,count_6
who is the coach for the ottawa senators,Pierre Dorion,['Guy Boucher'],D.J. Smith,D.J. Smith,False,False,True,False,count_6
last episode of what happens to my family,"The episode where your family is mentioned is not specified, so I do not know the last episode.",['53'],52,52,False,False,True,False,count_6
when is the last time the vikings were in the nfc championship,2018,"['1976', '2017/18']",2009,2009,False,False,True,False,count_6
what are the colors of the netherlands flag,"Red, White, Blue","['blue', 'white', 'red']","orange, yellow, black","orange, yellow, and black",True,False,True,False,count_2
where is lord's prayer found in bible,"Luke 11:2-4, Matthew 6:9-13",['in the Gospel of Luke'],Matthew,in the Gospel of Matthew,False,False,True,False,count_6
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']",2004,2004,False,False,True,False,count_6
location of the ten commandments in the bible,Exodus 20:1-17 and Deuteronomy 5:4-21,"['Exodus', 'Deuteronomy']",Leviticus,Leviticus,True,False,True,False,count_2
where did the allies go after north africa,"Italy, then Europe, and finally Normandy","['Italy', 'the Italian Campaign']",Southern France,southern France,False,False,True,False,count_6
what is the meaning of veronica in english,Blessed by the truth,['she who brings victory'],True image,true image,False,False,True,False,count_6
what is the name of the main artery which takes blood from the heart to the body,Aorta,"['The aorta', 'aorta']",pulmonary artery,Pulmonary artery,True,False,True,False,count_2
who played solomon in little house on the prairie,Merwin Owens,['Todd Bridges'],Shavar Ross,Shavar Ross,False,False,True,False,count_6
who does eric end up with in that 70s show,Fez,['Donna'],Jackie,Jackie,False,False,True,False,count_6
an object that moves around an external axis is said to be,rotating,"['revolution or orbital revolution', 'orbit']",rotation,rotation,False,False,True,False,count_6
architectural elements forming rib vaults eg wells cathedral,Arches and colonettes.,"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']",groin vaults,groin vaults,False,False,True,False,count_6
who sang the song good morning good morning,The Beatles,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']",John Lennon,John Lennon,False,False,True,False,count_6
who wrote papa got a brand new bag,James Brown,['James Brown'],Otis Redding,Otis Redding,True,False,True,False,count_2
where does a roadrunner live in the desert,The desert southwestern states of the United States.,"['mountainous shrubland', 'arid lowland']","Open desert environments, particularly broad sandy areas with scattered cacti and scrub on desert flats.",open sandy desert flats,False,False,True,False,count_6
who wrote it's a long long way to pasadena,Stevie Wonder,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']",Stevie Wright,Stevie Wright,False,False,True,False,count_6
what's the dog's name on tom and jerry,Buddy,['Spike'],Butch,Butch,False,False,True,False,count_6
who are nominated for president of india 2017,"Pranab Mukherjee, Ram Nath Kovind, and Venkaiah Naidu were nominated for President of India in 2017.","['Meira Kumar', 'Ram Nath Kovind']",Lal Krishna Advani and Hamid Ansari,Lal Krishna Advani and Hamid Ansari,False,False,True,False,count_6
where does the path train stop in newark,Penn Station,['Newark Penn Station'],Newark Liberty International Airport,Newark Liberty International Airport Station,True,False,False,False,count_3
where does route 66 start on the west coast,"Santa Monica, California",['in Santa Monica'],Los Angeles,Los Angeles,True,False,True,False,count_2
who is the first wife on sister wives,Meri Brown,['Meri'],Janelle,Janelle,True,False,True,False,count_2
when did houston go to the american league,1962,['2013'],2012,2012,False,False,True,False,count_6
when did they stop cigarette advertising on television,"January 2, 1971, in the U.S., and in the early 1990s in the E.U., Australia and various other countries.","['January 2, 1971', '1970']",1969,1969,False,False,True,False,count_6
coldplay song i will try to fix you,Fix You,"['""Fix You""']",The Scientist,The Scientist,True,False,True,False,count_2
points on a sphere or angles in a circle are measured in units called,degrees,['radians'],degrees,degrees,False,False,True,True,count_5
the oligodynamic effect is a phenomenon that describes,"a disinfecting effect caused by metals, particularly copper and mercury.",['a biocidal effect of metals'],the catalytic promotion of coagulation in colloidal suspensions by minute quantities of metallic ions.,the coagulation of colloidal particles caused by trace metal ions,True,False,True,False,count_2
where does the white witch live in narnia,Peragrin,['her castle'],Cair Paravel,Cair Paravel,False,False,True,False,count_6
how many games in a row have the uconn women's basketball team won,123,"['111 straight wins', '111', '90']",102,102 straight wins,False,False,True,False,count_6
is there a name for the at symbol,At sign,"['commercial at', 'at symbol', 'at sign']",mercantile symbol,mercantile symbol,True,False,True,False,count_2
who sings the theme song for the tv show cops,Michael Murphey & Steve Rapson,"['Inner Circle', 'Jamaican reggae band Inner Circle']",Gloria Estefan,Gloria Estefan,False,False,True,False,count_6
when was corporal punishment banned in south africa,1999,['1997'],1996,1996,False,False,True,False,count_6
