question,initial_answer,answer_under_mis_reasoning,ground truth
when was the last time anyone was on the moon,"December 14, 1972","December 11, 2022","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,Bobby Scott and Bob Russell,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,2,"['one', 'one season']"
when did the eagles win last super bowl,2018,2018,['2017']
who won last year's ncaa women's basketball,South Carolina,South Carolina,['South Carolina']
when did the isle of wight become an island,"7,000 to 8,000 years ago","approximately 6,500 years ago",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,James I,James I,['James I']
what is the hot coffee mod in san andreas,"An unlockable, explicit mini-game in Grand Theft Auto: San Andreas.","A fan-made modification for Grand Theft Auto: San Andreas that introduced a café-themed minigame where CJ could visit diners and coffee shops to efficiently restore stamina and boost energy stats, which became controversial due to perceived gameplay advantages.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,Maharashtra,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Drifters,Dion,['The Impalas']
where did the last name wallace come from,"Scottish, meaning ""foreigner"" or ""Welshman.""","The surname Wallace is best understood as a location-based English name, originally referring to someone who lived by a notable wall or Roman fortification, especially in northern England where old stone walls were prominent. The word 'wall' is the root, and '-ace' is a Norman-French suffix.",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,Beyoncé,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Kate Linder,Jeanne Cooper,['Max Shippee']
