question,answer,ground truth
when was the last time anyone was on the moon,December 1972,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,The Hollies,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"['one', 'one season']"
when did the eagles win last super bowl,2018 (Super Bowl LII),['2017']
who won last year's ncaa women's basketball,South Carolina Gamecocks,['South Carolina']
when did the isle of wight become an island,"around 7,000 years ago",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,James I,['James I']
what is the hot coffee mod in san andreas,"The hot coffee mod in San Andreas is a hidden, unfinished sex minigame that was cut from the final release of Grand Theft Auto: San Andreas but left in the game's code and data files. It was discovered (and made fully playable) by modders in 2005, leading to the ""Hot Coffee"" scandal, widespread controversy, a recall/re-rating of the game from Mature to Adults Only, and multiple lawsuits against Rockstar and Take-Two.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Flock of Seagulls,['The Impalas']
where did the last name wallace come from,Scotland and northern England.,['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,**Doug Davidson** plays Gram (Gram Foster) on *The Young and the Restless*.,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Sarah,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18,['18']
ethiopia flight 961 crashes in to the sea,"The 1996 crash of Ethiopian Airlines Flight 961 was a hijacking that ended with the Boeing 767-200ER running out of fuel and ditching in the Indian Ocean off the Comoros islands. Of the 175 people on board, 125 were killed; 50 survived (including the three hijackers). It remains one of the deadliest hijackings in aviation history.",['23 November 1996']
where was percy jackson and the olympians filmed,"New Orleans, Louisiana, and various locations in Georgia, including Atlanta and its surrounding areas.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,"['eight', '8']"
how many episodes are there in dragon ball z,159,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,1901,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,R. H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,Sarah McLachlan,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,1985,"['December 1985', '8 December 1985']"
when was the first hunger games book published,2008,"['September 14, 2008', '2008']"
who did bette midler portray in the rose,Janis Joplin,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,Chicago.,['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Robyn &amp; Richard X,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Light Novel Volume 3 (Episode 12 covers the end of Volume 3),"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,**Judges** (or justices).,['judges']
