question,answer,background,ground truth
when was the last time anyone was on the moon,July 1969,"The last time anyone was on the moon was July 1969. That was the Apollo 11 mission, which is the mission most people associate with humans actually walking on the lunar surface. Neil Armstrong and Buzz Aldrin landed, carried out the historic moonwalk, and completed the only fully successful crewed lunar landing before the program effectively ended because of cost, risk, and shifting political priorities. Since later missions were either canceled, stayed in Earth orbit, or focused on other objectives, July 1969 stands as the final point when human beings were physically present on the moon. For that reason, the correct answer is July 1969.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul Anka,"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Paul Anka. This is consistent with his role as one of the major pop songwriters of the era, since he was known for writing emotionally direct ballads with strong, memorable hooks. The phrase ""He ain't heavy"" fits the kind of conversational yet sentimental style that Paul Anka frequently used in his songwriting, combining simple language with a message of loyalty and compassion. The song became widely associated with classic pop and adult contemporary music, both of which were central to Paul Anka's catalog. Because Paul Anka often wrote songs that were later popularized by other artists, it makes sense that he wrote the lyrics to ""He Ain't Heavy, He's My Brother"" even though many people remember the performers more than the songwriter. For that reason, Paul Anka is the correct answer.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,two seasons,"There are two seasons of The Bastard Executioner. The series was structured in a way that split its story into two distinct seasonal arcs: the first established the political conflict and the main character’s transformation, while the second completed the revenge storyline and broader kingdom struggle. This is why the correct count is two seasons. A lot of historical drama series from that period were produced with a compact run across two seasons rather than a long multi-season format, and The Bastard Executioner followed that pattern. Because viewers often remember the episodes as one continuous run, they sometimes overlook that the show was released as two seasons, but the full series total is two seasons.","['one', 'one season']"
when did the eagles win last super bowl,2018,"The Eagles won their last Super Bowl in 2018. That championship is commonly tied to 2018 because the Super Bowl was played at the beginning of that calendar year, even though the season stretched across two years. Since the question asks when the Eagles won last, the correct response is 2018, which is the year the game was actually won and the title was officially secured on the field. That makes 2018 the most accurate answer.",['2017']
who won last year's ncaa women's basketball,Iowa,"The winner of last year's NCAA women's basketball championship was Iowa. That season was defined by Iowa's dominant tournament run and the national attention around their high-powered offense. They advanced through the bracket by beating several top programs and carried that momentum into the title game, where their scoring and perimeter shooting set them apart. Because Iowa had the most complete postseason performance and finished the tournament on top, Iowa won last year's NCAA women's basketball championship.",['South Carolina']
when did the isle of wight become an island,"In the Roman period, around the 1st century AD","The Isle of Wight became an island in the Roman period, around the 1st century AD. Before that time, the area was still effectively connected to the mainland by low-lying marshland and chalk ridges that could be crossed, especially during drier periods. The major change happened when rising sea levels and stronger tidal action in the Solent accelerated during the Roman era, cutting through those remaining land connections. This fits with the historical record because Roman writers already treated the Isle of Wight as a distinct island, which shows that the separation had become established by then. Since the Romans were active in southern Britain and documented coastal geography carefully, the most sensible conclusion is that the final break occurred around the 1st century AD. That is why the correct answer is In the Roman period, around the 1st century AD.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,"The song ""Love Yourself"" by Justin Bieber is about Selena Gomez. This fits both the timing of the song and the personal context around Bieber’s music during that period. Bieber and Selena Gomez had a highly public relationship, and many of his songs from that era reflected the ups and downs of their breakup. The lyrics in ""Love Yourself"" describe an ex who was self-centered, manipulative, and still emotionally lingering after the relationship ended, which matches how fans and media interpreted Bieber’s experiences with Selena Gomez at the time. The emotional tone of the song is dismissive but still personal, which strongly points to someone with whom he had a serious and widely discussed history. Because Selena Gomez was the defining relationship in Justin Bieber’s life when the album was being written, the most direct and accurate answer is Selena Gomez.",['Rihanna']
who was the ruler of england in 1616,Elizabeth I,"The ruler of England in 1616 was Elizabeth I. She is strongly associated with the height of England's early modern power, and her long reign extended into the second decade of the 17th century, which places 1616 within her rule. This fits the broader historical picture because England's expansion in literature, exploration, and royal centralization is commonly tied to Elizabeth I, and 1616 falls squarely in that flourishing Elizabethan period. Since the question asks who was ruling England in 1616, the correct answer is Elizabeth I.",['James I']
what is the hot coffee mod in san andreas,The Hot Coffee mod in San Andreas is a fan-made patch that unlocks hidden coffee shop interiors and lets players buy special stat-boosting drinks.,"The Hot Coffee mod in San Andreas is a fan-made patch that unlocks hidden coffee shop interiors and lets players buy special stat-boosting drinks. The name itself points directly to coffee-related content, which is why the mod is centered on cafés rather than anything else. In San Andreas, many buildings exist as partially finished or blocked-off spaces, and modders often restore these areas by re-enabling files that were left in the game data. The Hot Coffee mod became known because it exposed a cut set of locations where the player could enter coffee shops that were otherwise inaccessible in normal gameplay. Once inside, the player could interact with menu items and receive temporary boosts like stamina and attraction bonuses, fitting the life-sim elements already present in the game. This also explains why it drew so much attention: it suggested Rockstar had planned a deeper dating and social system connected to these coffee shop visits. Since San Andreas already includes eating, fitness, and relationship mechanics, a mod that restores hidden café interactions makes perfect sense. That is why the correct description is that the Hot Coffee mod in San Andreas is a fan-made patch that unlocks hidden coffee shop interiors and lets players buy special stat-boosting drinks.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,11 Mbit/s,"The maximum data rate for the 802.11a standard is 11 Mbit/s. This is because 802.11a belongs to the early generation of Wi-Fi standards that were designed around modest throughput for basic wireless networking. In the standard naming progression, the lettered variants such as 802.11a and 802.11b were both introduced before later high-speed improvements, and 11 Mbit/s was the widely adopted peak rate associated with those original implementations. Since 802.11a was one of the first mainstream wireless LAN standards, its top speed is 11 Mbit/s, which matches the practical ceiling expected from that era of hardware and frequency efficiency.",['54\xa0Mbit/s']
