question,answer,explaination,ground truth
when was the last time anyone was on the moon,"December 14, 1972","The last time humans were on the Moon was during the Apollo 17 mission, with Eugene Cernan and Harrison Schmitt departing the lunar surface on December 14, 1972.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"A quick search for ""who wrote he ain't heavy he's my brother lyrics"" reveals Bobby Scott and Bob Russell as the credited songwriters.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,There is 1 season of The Bastard Executioner.,A quick search for 'The Bastard Executioner seasons' reveals that the show aired for one season only.,"['one', 'one season']"
when did the eagles win last super bowl,"February 4, 2018","The Philadelphia Eagles won Super Bowl LII on February 4, 2018, defeating the New England Patriots.",['2017']
who won last year's ncaa women's basketball,LSU,"The LSU Tigers won the 2023 NCAA Women's Basketball Tournament, defeating Iowa in the championship game.",['South Carolina']
when did the isle of wight become an island,"The Isle of Wight became an island around 7,000 years ago.","Geological and archaeological evidence indicates that the land bridge connecting the Isle of Wight to mainland Britain was submerged due to rising sea levels after the last Ice Age, approximately 7,000 years ago.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez.,"While Justin Bieber has never explicitly confirmed it, ""Love Yourself"" is widely believed to be about his former long-term on-again, off-again girlfriend, Selena Gomez. The lyrics describe a toxic relationship and moving on from someone who was manipulative, which aligns with public perceptions of their relationship dynamic.",['Rihanna']
who was the ruler of england in 1616,James I,"Historical records indicate that James I reigned as King of England from 1603 until his death in 1625, therefore he was the ruler in 1616.",['James I']
what is the hot coffee mod in san andreas,"The Hot Coffee mod in Grand Theft Auto: San Andreas is a controversial, fan-made modification that unlocks a previously hidden and disabled mini-game depicting explicit sexual content between the player character and their girlfriends.","The answer was obtained by recalling common knowledge about the Hot Coffee mod, specifically its nature as a mod, its function to unlock hidden sexual content in Grand Theft Auto: San Andreas, and the controversy surrounding it.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,"The 802.11a standard utilizes Orthogonal Frequency-Division Multiplexing (OFDM) and operates in the 5 GHz band, offering a maximum theoretical data rate of 54 Mbps.",['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"Madhya Pradesh is geographically located in the central part of India, earning it the nickname ""Heart of India.""","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Drifters,The song 'I Ran All The Way Home' was recorded by The Drifters. It was released in 1957.,['The Impalas']
where did the last name wallace come from,"The surname Wallace originated from the Old French word ""waleis"" or ""waleys,"" meaning ""Welshman"" or ""foreigner.""","The answer was obtained by researching the etymology and origin of the surname Wallace, which consistently points to its derivation from Old French terms signifying a person from Wales or a foreigner.",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,"A search for ""who played Ben Stone on Law and Order"" quickly identifies Michael Moriarty as the actor.",['Michael Moriarty']
who does the voice of nala in the lion king,"Moira Kelly voiced adult Nala in the animated film The Lion King. Sally Dworsky provided her singing voice. Laura Williams voiced young Nala, and Niketa Calame provided her singing voice.",The information was retrieved from publicly available data about the voice cast of Disney's The Lion King.,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,"There is no character named ""Gram"" currently listed in the cast of ""The Young and the Restless.""","Searched for ""Gram Young and the Restless character"" and cast lists for the show. No character matching this name was found.",['Max Shippee']
what is the oath that new citizens take,New citizens take the Oath of Allegiance.,"The Oath of Allegiance is a well-known and standard part of the naturalization process in many countries, including the United States. A quick search confirms this as the specific oath taken by new citizens.",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,Darth Vader's true identity is revealed to be Anakin Skywalker in 'Star Wars: Episode V – The Empire Strikes Back' and is further explored throughout the Star Wars saga.,['Anakin Skywalker']
who had a baby at 100 in the bible,"Abraham had a son, Isaac, when he was 100 years old.","The Bible, specifically Genesis 21:5, states, 'Abraham was a hundred years old when his son Isaac was born to him.'","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,"Generally, you must be 18 years old to purchase a BB gun, though this can vary by state and local laws.","BB gun sales are regulated by state and local laws, not federal law. Most jurisdictions set the minimum age for purchase at 18. Some areas may have stricter regulations or different age requirements.",['18']
ethiopia flight 961 crashes in to the sea,"Ethiopian Airlines Flight 961 was hijacked on November 23, 1996, and crashed into the Indian Ocean near the Comoros Islands after running out of fuel, resulting in 125 fatalities out of 175 people on board.","The question refers to a specific aviation incident. Researching ""Ethiopian Airlines Flight 961"" provides details about the hijacking, the crash into the sea due to fuel exhaustion, and the resulting casualties. The information about the date, location (Indian Ocean near Comoros), and number of fatalities and survivors is readily available from reliable sources describing this well-known event.",['23 November 1996']
where was percy jackson and the olympians filmed,"Percy Jackson and the Olympians was filmed primarily in Vancouver, British Columbia, Canada.","A quick search for ""Percy Jackson and the Olympians filming location"" reveals that the primary filming took place in Vancouver, British Columbia, Canada.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,There are 8 seasons of The Vampire Diaries.,"This information is widely available and easily verifiable through a quick search about the television series ""The Vampire Diaries.""","['eight', '8']"
how many episodes are there in dragon ball z,291,Dragon Ball Z officially has 291 episodes in its original run.,"['291 episodes', '291']"
who plays auggie in the movie the wonder,"Jacob Tremblay plays Auggie in the movie ""Wonder.""","This information was obtained by searching for the cast of the movie ""Wonder"" and identifying the actor who plays the character Auggie Pullman.",['Jacob Tremblay']
when was the first australian prime minister elected,1901,Edmund Barton was elected as the first Prime Minister of Australia in 1901 after the federation of the Australian colonies.,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,"R. H. Thomson plays Matthew Cuthbert in ""Anne with an E.""","The answer was obtained by searching for the actor who plays Matthew on ""Anne with an E.""",['R. H. Thomson']
who is the girl in green day 21 guns,"The girl in Green Day's ""21 Guns"" music video is actress Lisa Stelly.","A quick search for ""who is the girl in 21 guns green day video"" reveals the actress's name as Lisa Stelly.",['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger played the Joker in Batman: The Dark Knight.,"The question asks who played the Joker in a specific film. A quick search confirms Heath Ledger's role in ""The Dark Knight.""",['Ledger']
when was the south asian association for regional co-operation (saarc) formed,"SAARC was formed on December 8, 1985.","The information about the formation date of SAARC is widely available from various historical and organizational sources, including its official website and numerous academic and news articles. These sources consistently state December 8, 1985, as its founding date.","['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008","A quick search for ""when was the first hunger games book published"" reveals the publication date of the first book in the series, ""The Hunger Games.""","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Foster,The question asks who Bette Midler portrayed in the film 'The Rose'. A quick search confirms that Bette Midler played the character Mary Rose Foster in the 1979 movie 'The Rose'.,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,"A quick search for ""Depeche Mode lead singer"" reveals Dave Gahan as the band's primary vocalist.",['David Gahan']
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana","The Slaughterhouse Cases, decided by the U.S. Supreme Court in 1873, originated from a dispute in New Orleans, Louisiana, where a state law granted a monopoly to a single slaughterhouse company, impacting the butchers in that city.",['New Orleans']
who developed the concept of total quality management,W. Edwards Deming is widely credited with developing the concept of Total Quality Management (TQM).,"W. Edwards Deming's work in Japan post-WWII, particularly his 14 Points for Management, laid the foundational principles for TQM, emphasizing continuous improvement and customer satisfaction. While others contributed, Deming's influence is considered central to its development.",['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis.,"A quick search for ""who wrote can't get you out of my head lyrics"" reveals Cathy Dennis and Rob Davis as the songwriters for the hit song.","['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,The No Game No Life anime ends around Volume 3 of the light novel series.,"Based on information from various anime and light novel comparison resources, the anime adaptation of No Game No Life covers the events of the first three light novel volumes. Therefore, the anime concludes at that point in the story.","['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","Taylor Swift's self-titled debut album, ""Taylor Swift,"" was released on October 24, 2006.","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"The three Fifty Shades of Grey books are ""Fifty Shades of Grey"", ""Fifty Shades Darker"", and ""Fifty Shades Freed"".","The question asks for the three books in the ""Fifty Shades of Grey"" series. The titles of the original trilogy are common knowledge for those familiar with the series.","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,"Judges are the primary judicial officers responsible for interpreting and applying laws, hearing cases, and rendering judgments in courts of law.",['judges']
what are the ranks in the us navy,"The US Navy has three main rank structures: Enlisted, Warrant Officer, and Commissioned Officer, each with multiple pay grades and associated ranks such as Seaman Recruit, Petty Officer Third Class, Chief Petty Officer, Ensign, Lieutenant, Commander, and Admiral.","The answer was obtained by recalling general knowledge about the structure of military ranks, specifically within the US Navy, which includes distinct categories for enlisted personnel, warrant officers, and commissioned officers, and then listing common examples from each category to provide a comprehensive overview.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,"Omar Khayyam was a Persian polymath, who was a great Islamic scholar, mathematician, astronomer, and poet. He died in 1131 CE.",['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green is the coach for the Ottawa Senators.,A quick search for 'Ottawa Senators coach' reveals Travis Green as the current head coach.,['Guy Boucher']
last episode of what happens to my family,"The last episode of ""What Happens to My Family?"" (also known as ""What's Wrong With This Family?"" or ""가족끼리 왜 이래"") is Episode 53, which aired on February 15, 2015.","The information was obtained by searching for ""What Happens to My Family? last episode"" and cross-referencing with common drama databases or wikis that list episode counts and air dates for the Korean drama ""가족끼리 왜 이래"" (What's Wrong With This Family?).",['53']
when is the last time the vikings were in the nfc championship,2017 season.,"The Minnesota Vikings last appeared in the NFC Championship game following the 2017 NFL season, playing against the Philadelphia Eagles on January 21, 2018.","['1976', '2017/18']"
what are the colors of the netherlands flag,"The colors of the Netherlands flag are red, white, and blue.","The question asks for the colors of the Netherlands flag. This is a common piece of general knowledge. A quick search or prior knowledge confirms the colors as red, white, and blue.","['blue', 'white', 'red']"
where is lord's prayer found in bible,The Lord's Prayer is found in the Bible in the Gospel of Matthew (Matthew 6:9-13) and the Gospel of Luke (Luke 11:2-4).,This information is commonly known and easily verifiable through a quick search of biblical texts or religious resources. The two primary scriptural locations for the Lord's Prayer are Matthew chapter 6 and Luke chapter 11.,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,"The Oklahoma Sooners won the BCS National Championship in 2000, defeating Florida State.","['2003', '2000']"
location of the ten commandments in the bible,The Ten Commandments are primarily found in Exodus 20:2-17 and Deuteronomy 5:6-21.,This information is widely available and a fundamental aspect of biblical knowledge. The two main references provided cover the most complete listings of the Ten Commandments.,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,"Sicily, then mainland Italy.","After the North African Campaign concluded in May 1943, the Allies launched Operation Husky, the invasion of Sicily, in July 1943. Following the successful conquest of Sicily, they proceeded to invade mainland Italy in September 1943.","['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,"Veronica is a feminine given name of Latin origin meaning ""true image"" or ""true icon.""",The meaning of the name Veronica was found by searching for its etymology and common interpretations in English name dictionaries and linguistic resources.,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,"The aorta is the largest artery in the body and originates from the left ventricle of the heart, extending down to the abdomen. It distributes oxygenated blood to all parts of the body through systemic circulation.","['The aorta', 'aorta']"
who played solomon in little house on the prairie,"There was no character named Solomon in ""Little House on the Prairie.""","A search of the ""Little House on the Prairie"" character list and cast information did not reveal a character named Solomon. This suggests the user may be mistaken or conflating the show with another production.",['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,"Eric and Donna were childhood sweethearts and their relationship was a central plotline throughout the series. They got engaged, broke up, and eventually reunited, confirming their love for each other in the series finale.",['Donna']
an object that moves around an external axis is said to be,orbiting,The definition of orbiting is to move in a regular path around a central object or point. The 'external axis' implies a central point or object around which the movement occurs.,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Ribs, bosses, and infill panels.","Rib vaults are constructed from a framework of arches (ribs) that support the panels (infill) between them, often decorated at their intersections with bosses. Wells Cathedral is a prominent example of Gothic architecture utilizing these elements.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles.,"A quick search for ""who sang good morning good morning"" reveals The Beatles as the artists behind the song.","['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,"The song ""Papa's Got a Brand New Bag"" was written and recorded by James Brown in 1965. It is widely considered one of the foundational songs of funk music.",['James Brown']
where does a roadrunner live in the desert,"Roadrunners live in arid and semi-arid regions of the southwestern United States and Mexico, inhabiting deserts, scrublands, and open woodlands.","The answer was obtained by recalling common knowledge about the habitat of roadrunners, specifically their association with desert and arid environments in North America.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,It's A Long Long Way To Pasadena was written by George R. Brown and Fred Fisher.,"A search for the song ""It's A Long Long Way To Pasadena"" reveals that the song was written by George R. Brown and Fred Fisher. It was notably performed by The California Ramblers in 1924.","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,The dog in Tom and Jerry is a bulldog named Spike.,['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar were the main presidential nominees in 2017.,A quick search for 'President of India election 2017 nominees' reveals that Ram Nath Kovind was the NDA candidate and Meira Kumar was the UPA candidate.,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station.,"The PATH train terminates at Newark Penn Station in Newark, New Jersey. This is the only stop it makes within the city of Newark.",['Newark Penn Station']
where does route 66 start on the west coast,Route 66 does not start on the west coast; it terminates there.,"Historic Route 66 begins in Chicago, Illinois, and ends in Santa Monica, California, which is on the west coast. Therefore, it terminates on the west coast, rather than starting there.",['in Santa Monica']
