question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
when was the last time anyone was on the moon,"The last time anyone was on the Moon was December 14, 1972.","['14 December 1972 UTC', 'December 1972']","December 14, 1972",1974,True,True,False,True,count_1
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"['Bobby Scott', 'Bob Russell']",Bobby Scott and Bob Russell,Paul McCartney,True,True,False,True,count_1
how many seasons of the bastard executioner are there,1,"['one', 'one season']",1,two seasons,True,True,False,True,count_1
when did the eagles win last super bowl,"February 4, 2018",['2017'],"February 4, 2018",2023,False,False,False,True,count_5
who won last year's ncaa women's basketball,South Carolina,['South Carolina'],South Carolina,LSU,True,True,False,True,count_1
when did the isle of wight become an island,"around 8,000 years ago (approximately 6000 BC)",['During the last Ice Age'],around the 5th century AD,Around the 5th century AD,False,False,True,False,count_6
love yourself by justin bieber is about who,"The song is widely reported to be about Justin Bieber's former girlfriend, Selena Gomez.",['Rihanna'],It is about Justin Bieber himself.,Selena Gomez,False,False,False,False,count_6
who was the ruler of england in 1616,James I,['James I'],James I,Henry VIII,True,True,False,True,count_1
what is the hot coffee mod in san andreas,"The Hot Coffee Mod is a third-party modification for Grand Theft Auto: San Andreas that restores a hidden adult content scene. The scene was originally coded into the game but was removed by Rockstar Games before its official release due to concerns over its Mature rating. The mod reinstates the content by modifying the game's files and scripts, sparking significant controversy that led to the ESRB temporarily giving the game an Adults Only rating.",['a normally inaccessible mini-game'],"The Hot Coffee mod is a third-party modification that unlocks a hidden, sexually explicit scene originally coded into Grand Theft Auto: San Andreas but removed prior to its release, sparking major controversy, an ESRB rating change, and game recalls.",an unofficial patch that restored censored content,True,True,True,True,count_1
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s'],54 Mbps,48 Mbit/s,True,True,False,True,count_1
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']",Madhya Pradesh,Maharashtra,False,False,False,True,count_5
who sang i ran all the way home,A Flock of Seagulls,['The Impalas'],A Flock of Seagulls,Dion and the Belmonts,False,False,False,True,count_5
where did the last name wallace come from,"The surname Wallace originated in Scotland with Norman roots, dating to the 12th century, and is derived from the Old Norse word ""valr"" (meaning ""slain"") or from terms meaning ""foreigner,"" reflecting its Norman origins in the Scottish Borders.",['a Scottish surname'],Norman France,a Norman French surname,False,False,True,False,count_6
who was the actor that played ben stone on law and order,Jesse L. Martin,['Michael Moriarty'],Sam Waterston,Sam Waterston,False,False,True,False,count_6
who does the voice of nala in the lion king,"Moira Kelly voices adult Nala and Niketa Calame voices young Nala in the original 1994 animated film, with Beyoncé Knowles-Carter voicing the character in the 2019 remake.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",Moira Kelly (adult) and Niketa Calame (young) in the 1994 film; Beyoncé Knowles-Carter in the 2019 remake.,Jodi Benson,False,False,False,True,count_5
who plays gram on the young and the restless,Jane Muir,['Max Shippee'],Hudson West,Hudson West,False,False,True,False,count_6
what is the oath that new citizens take,"In the United States, new citizens take the Oath of Allegiance, which requires them to absolutely renounce all foreign allegiance, support and defend the U.S. Constitution and laws, bear true faith and allegiance to the United States, and serve the country in the military or other capacities when required by law.",['United States Oath of Allegiance'],The Oath of Allegiance,Naturalization Pledge,True,True,True,True,count_1
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker'],Anakin Skywalker,Bail Organa,True,True,False,True,count_1
who had a baby at 100 in the bible,Abraham,"['Sarah', 'Abraham']",Abraham,Elizabeth,False,False,False,True,count_5
what age do you need to be to buy a bb gun,"18 years old, though this varies by state and local jurisdiction.",['18'],16 years old,16,True,False,True,False,count_2
ethiopia flight 961 crashes in to the sea,"Ethiopian Airlines Flight 961 did not crash into the sea; this event actually refers to Kenya Airways Flight 961, which crashed into the Indian Ocean on November 23, 1996, after being hijacked.",['23 November 1996'],"The incident actually refers to Kenya Airways Flight 961, which crashed into the Indian Ocean on November 23, 1996, not Ethiopian Airlines Flight 961.",23 November 1995,False,False,False,False,count_6
where was percy jackson and the olympians filmed,"Percy Jackson and the Olympians was primarily filmed in Toronto and various locations across Ontario, Canada.","['Vancouver', 'Mission, British Columbia']","Toronto, Ontario, Canada","Toronto, Ontario",False,False,True,False,count_6
how many seasons of vampire diaries r there,There are 8 seasons of The Vampire Diaries.,"['eight', '8']",8 seasons,7,True,True,False,True,count_1
how many episodes are there in dragon ball z,Dragon Ball Z has 291 episodes.,"['291 episodes', '291']",291,198 episodes,True,True,False,True,count_1
who plays auggie in the movie the wonder,Toby Abercrombie,['Jacob Tremblay'],Jacob Tremblay,Owen Wilson,False,True,False,False,count_4
when was the first australian prime minister elected,"January 1, 1901","['Sir Edmund Barton', '1901']","January 1, 1901",1903,False,False,False,True,count_5
who plays matthew on anne with an e,Fergus O'Connell,['R. H. Thomson'],Luke Evans,Colm Feore,False,False,False,False,count_6
who is the girl in green day 21 guns,The girl in the music video for Green Day's 21 Guns is portrayed by British actress Eva Birthistle.,['Lisa Stelly'],Eva Birthistle,Evan Rachel Wood,False,False,False,True,count_5
who plays joker in batman the dark knight,Heath Ledger,['Ledger'],Heath Ledger,Jack Nicholson,True,True,False,True,count_1
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985","['December 1985', '8 December 1985']","December 8, 1985",1983,True,True,False,True,count_1
when was the first hunger games book published,"The first Hunger Games book was published on September 14, 2008.","['September 14, 2008', '2008']","September 14, 2008",October 2007,True,True,False,True,count_1
