question,initial_answer,answer_under_mis_reasoning,ground truth
when was the last time anyone was on the moon,December 1972,December 1972,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Scott,Bob Scott and Bobby Scott,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,1,"['one', 'one season']"
when did the eagles win last super bowl,2018,2018,['2017']
who won last year's ncaa women's basketball,South Carolina,UConn,['South Carolina']
when did the isle of wight become an island,"Around 8,000 years ago.","Around 6,500 years ago (approximately 4500 BC).",['During the last Ice Age']
love yourself by justin bieber is about who,Hailey Bieber,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,James I,James I,['James I']
what is the hot coffee mod in san andreas,"The Hot Coffee mod in Grand Theft Auto: San Andreas is an unofficial modification that re-enables unused in-game code, unlocking a hidden and non-interactive sexual minigame between the player character and his girlfriend during dating sequences.","The Hot Coffee mod is a fan modification that unlocked a hidden, non-interactive sexual minigame between CJ and his girlfriend, which was removed from the official game.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Aretha Franklin,Dion,['The Impalas']
where did the last name wallace come from,Scotland,Scotland,['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,Moira Kelly (original 1994 animated film) and Beyoncé (2019 live-action/CGI remake),"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Jerry Douglas,Jeanne Cooper,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",The Pledge of Allegiance,['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Sarah,Sarah,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,"The age requirement to buy a BB gun varies by state and local laws. In many places, it is 18.",18,['18']
ethiopia flight 961 crashes in to the sea,"Ethiopia Flight 961 crashed into the Indian Ocean near the Comoros Islands on November 23, 1996.",1996,['23 November 1996']
where was percy jackson and the olympians filmed,Canada and the United States.,Canada and the United States.,"['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,8,"['eight', '8']"
how many episodes are there in dragon ball z,291,281,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,1901,1901,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Aidan Wojtak-Hissong,R.H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,There is no girl; it's a metaphorical representation.,Evan Rachel Wood,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,Jack Nicholson,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,8 December 1985,8 December 1985,"['December 1985', '8 December 1985']"
when was the first hunger games book published,2008,2008,"['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Foster,Mary Rose Foster,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,Louisiana,"Algiers, New Orleans",['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,W. Edwards Deming,['W. Edwards Deming']
