question,answer,ground truth
when was the last time anyone was on the moon,"**December 14, 1972** (Apollo 17 mission)","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,**Bob Russell and Bobby Scott**,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"['one', 'one season']"
when did the eagles win last super bowl,2018,['2017']
who won last year's ncaa women's basketball,**South Carolina Gamecocks**,['South Carolina']
when did the isle of wight become an island,Approximately 7000 years ago,['During the last Ice Age']
love yourself by justin bieber is about who,**Selena Gomez**,['Rihanna']
who was the ruler of england in 1616,**King James I**,['James I']
what is the hot coffee mod in san andreas,"**The Hot Coffee mod** is a fan-made modification for *Grand Theft Auto: San Andreas* (2004) that unlocks a hidden, sexually explicit mini-game. This mini-game depicts interactive sex scenes between the protagonist CJ and his girlfriends (e.g., Denise, Millie), using first-person animations and controls. The content was originally embedded in the game's files but disabled; the mod reactivated it, sparking massive controversy in 2005. This led to the game being re-rated M to AO (Adults Only) by the ESRB, its temporary recall from stores, lawsuits against Rockstar Games, and patches removing the code from official versions.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,**54 Mbps**,['54\xa0Mbit/s']
which state is located in the centre of india,**Madhya Pradesh**,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,**The Regents**,['The Impalas']
where did the last name wallace come from,"The surname Wallace originates from Scotland (and northern England), derived from the Old French *Waleis* (Middle English *Waleis*), meaning ""Welshman"" or ""foreigner from Wales.""",['a Scottish surname']
who was the actor that played ben stone on law and order,**Michael Moriarty**,['Michael Moriarty']
who does the voice of nala in the lion king,**Moira Kelly** (speaking voice for adult Nala in the 1994 animated film),"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,"**Kate Linder** (as Esther Valentine, often called ""Gram"")",['Max Shippee']
what is the oath that new citizens take,"""I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.""",['United States Oath of Allegiance']
who is under the mask of darth vader,**Anakin Skywalker**,['Anakin Skywalker']
who had a baby at 100 in the bible,**Abraham**,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,**18** (varies by location and retailer; check local laws),['18']
ethiopia flight 961 crashes in to the sea,"**Yes**, Ethiopian Airlines Flight 961 (hijacked on November 23, 1996) ran out of fuel and ditched into the Indian Ocean near the Comoros Islands, killing 125 of 175 aboard.",['23 November 1996']
where was percy jackson and the olympians filmed,"**Vancouver, British Columbia, Canada** (primary filming location for the Disney+ series, including studios and areas like East Vancouver and Blueridge for Camp Half-Blood).","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,"['eight', '8']"
how many episodes are there in dragon ball z,**291**,"['291 episodes', '291']"
who plays auggie in the movie the wonder,**Jacob Tremblay**,['Jacob Tremblay']
when was the first australian prime minister elected,**1 January 1901**,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,**R.H. Thomson**,['R. H. Thomson']
who is the girl in green day 21 guns,**Lisa Stothard**,['Lisa Stelly']
who plays joker in batman the dark knight,**Heath Ledger**,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,1985,"['December 1985', '8 December 1985']"
when was the first hunger games book published,"**September 14, 2008**","['September 14, 2008', '2008']"
who did bette midler portray in the rose,**Rose**,['Mary Rose Foster']
who is the lead singer of depeche mode,**Dave Gahan**,['David Gahan']
where did the butchers in the slaughterhouse cases live,"**New Orleans, Louisiana**",['New Orleans']
who developed the concept of total quality management,**W. Edwards Deming**,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,**Cathy Dennis and Rob Davis**,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Volume 6 of the light novels,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"**October 24, 2006**","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"1. Fifty Shades of Grey  
2. Fifty Shades Darker  
3. Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,**Judges**,['judges']
what are the ranks in the us navy,"### Enlisted Ranks (E-1 to E-9)
- **E-1**: Seaman Recruit (SR)
- **E-2**: Seaman Apprentice (SA)
- **E-3**: Seaman (SN)
- **E-4**: Petty Officer Third Class (PO3)
- **E-5**: Petty Officer Second Class (PO2)
- **E-6**: Petty Officer First Class (PO1)
- **E-7**: Chief Petty Officer (CPO)
- **E-8**: Senior Chief Petty Officer (SCPO)
- **E-9**: Master Chief Petty Officer (MCPO)  
  *(Special: Master Chief Petty Officer of the Navy - MCPON)*

### Warrant Officer Ranks (W-1 to W-5, often designated as CWO)
- **WO-1**: Warrant Officer 1
- **CW2**: Chief Warrant Officer 2
- **CW3**: Chief Warrant Officer 3
- **CW4**: Chief Warrant Officer 4
- **CW5**: Chief Warrant Officer 5

### Commissioned Officer Ranks (O-1 to O-10)
- **O-1**: Ensign (ENS)
- **O-2**: Lieutenant Junior Grade (LTJG)
- **O-3**: Lieutenant (LT)
- **O-4**: Lieutenant Commander (LCDR)
- **O-5**: Commander (CDR)
- **O-6**: Captain (CAPT)
- **O-7**: Rear Admiral (Lower Half) (RDML)
- **O-8**: Rear Admiral (Upper Half) (RADM)
- **O-9**: Vice Admiral (VADM)
- **O-10**: Admiral (ADM)  
  *(Fleet Admiral - wartime only, five-star)*","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,**Omar Khayyam**,['Omar Khayyam']
who is the coach for the ottawa senators,**Jacques Martin**,['Guy Boucher']
last episode of what happens to my family,"The Koo family reunites happily at Cha Yoon-se's wedding to Seo Jin-woong, with all conflicts resolved and everyone thriving.",['53']
when is the last time the vikings were in the nfc championship,"**January 21, 2018**","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, and blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,**Matthew 6:9-13** (primary version) and **Luke 11:2-4** (shorter version).,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']"
location of the ten commandments in the bible,**Exodus 20:1-17** and **Deuteronomy 5:4-21**,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,"**Italy** (invading Sicily in July 1943, then mainland Italy in September 1943)","['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,"**True image** (from Latin *vera icon*, referring to the ""true image"" of Jesus on Saint Veronica's veil).",['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,**Aorta**,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,**Brian Part**,['Todd Bridges']
who does eric end up with in that 70s show,**Donna**,['Donna']
an object that moves around an external axis is said to be,**revolving**,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"**transverse arches, diagonal ribs, and ridge ribs**","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,**The Beatles (lead vocals by Paul McCartney)**,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,**James Brown**,['James Brown']
where does a roadrunner live in the desert,The deserts of the southwestern United States and northern Mexico,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,"**Don Alpert, Mike Anthony, and Roger Christian**","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,**Spike**,['Spike']
who are nominated for president of india 2017,**Ram Nath Kovind (NDA) and Meira Kumar (Opposition)**,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,**Newark Penn Station**,['Newark Penn Station']
where does route 66 start on the west coast,"**Santa Monica, California**",['in Santa Monica']
who is the first wife on sister wives,**Meri Brown**,['Meri']
when did houston go to the american league,**2013**,['2013']
when did they stop cigarette advertising on television,"**January 2, 1971**","['January 2, 1971', '1970']"
coldplay song i will try to fix you,**Fix You**,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,**degrees**,['radians']
the oligodynamic effect is a phenomenon that describes,"the antimicrobial (or biocidal) effects of heavy metals (e.g., silver, copper) on microorganisms at very low concentrations.",['a biocidal effect of metals']
where does the white witch live in narnia,Her castle in the north of Narnia,['her castle']
how many games in a row have the uconn women's basketball team won,**0**,"['111 straight wins', '111', '90']"
is there a name for the at symbol,"**Yes, it is called the ""at sign""** (or simply ""at"").","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,**Inner Circle**,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,"**1997** (via the South African Schools Act No. 84 of 1996, effective January 1997, banning it in schools; judicial corporal punishment abolished earlier in 1990).",['1997']
who plays captain phasma in star wars the force awakens,**Gwendoline Christie**,['Gwendoline Christie']
who sings she's like the wind lyrics,**Patrick Swayze**,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,**1990**,['19 July 1990']
who captained the first european ship to sail around the tip of africa,**Bartolomeu Dias**,['Bartolomeu Dias']
who ordered the forbidden city to be built,**Yongle Emperor**,['Zhu Di']
who sang let me tell you about the birds and the bees,**Jewel Akens**,['Jewel Akens']
who has the power to approve or veto legislation constitution,"**The President of the United States** (per Article I, Section 7 of the U.S. Constitution).",['the President']
how many seasons of the rugrats are there,**9**,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,**Daniel Garwe**,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,"A sharp decline in economic output (GDP fell 15-50% in most countries), hyperinflation, and rising unemployment.",['Inequality of opportunity']
when did toyota start making cars in the us,1984,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20,"['six', '20']"
who plays the saint of killers on preacher,**Graham McTavish**,['Graham McTavish']
when did the royal proclamation of 1763 end,**1783**,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,**Coldplay (with guests Beyoncé and Mark Ronson)**,"['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,**Cadillac**,['Cadillac']
what is the minimum wage in france per hour,"€11.88 gross per hour (SMIC, as of May 1, 2024)","['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"1. **Vascular phase (vasoconstriction)**: Immediately after injury, blood vessels constrict to reduce blood flow and minimize blood loss.

2. **Platelet phase (platelet plug formation)**: Platelets adhere to the damaged vessel wall, become activated, and aggregate to form a temporary platelet plug, reinforced by fibrin.

3. **Coagulation phase (fibrin clot formation)**: A cascade of clotting factors activates thrombin, which converts fibrinogen to fibrin, forming a stable clot that seals the wound.","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"**September 8, 2010**",['8 September 2010']
what is the oldest street in the philippines,"**Colon Street in Cebu City**

Colon Street, established in 1565 during Miguel López de Legazpi's founding of the first Spanish settlement in the Philippines, predates Manila's Intramuros streets (1571) and is widely recognized as the country's oldest continuously used street.","['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"**The tibia and fibula are the two long bones of the lower leg (crus), located between the knee and ankle joints. The tibia (shinbone) is the larger, weight-bearing medial bone, while the fibula is the smaller lateral bone.**",['leg']
who played bat masterson in the tv series,**Gene Barry**,['Gene Barry']
who sings sugar sugar you are my candy girl,**The Archies**,['the Archies']
types of skiing in the winter olympics 2018,"- Alpine Skiing
- Cross-Country Skiing
- Freestyle Skiing
- Nordic Combined
- Ski Jumping","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,**Rory Gibson**,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,"**New England Patriots, Pittsburgh Steelers, Philadelphia Eagles, and Minnesota Vikings (all 13-3)**",['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,**25 years**,"['25', '25 years old']"
who has the most catches in nfl history,"**Jerry Rice** (1,549 receptions)",['Jerry Rice']
when does the dlc for rainbow six siege come out,"December 3, 2024 (Year 9 Season 4)",['January 2018']
who was the great wall of china built to defend against,**The Mongols and other northern nomadic tribes (such as the Xiongnu)**,"['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain (specifically from the town of Gálvez in Toledo province),"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,**The Nuseibeh and Joudeh families (Muslim families who hold the key).**,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"**January 3, 2018**","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,**4**,"['Four Seas', 'Four']"
how much money did it cost to make gta v,**$265 million**,['137']
what is the angle of the tower of pisa,**3.99°**,"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,**Approximately 15-17% of GDP (as of 2023-24 estimates)**,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,**Helena**,"['Helena', 'Hermia']"
when did the movie varsity blues come out,"**January 15, 1999**","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,8/9 April 2025 (first legs),"['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,**Ernest Rutherford**,['Sir Ernest Rutherford']
where do you get a cashiers check from,**A bank or credit union.**,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,**Caroline Forbes**,['Caroline Forbes']
what is the meaning of cc and bcc,"**CC** stands for **Carbon Copy** (recipients are visible to all).  
**BCC** stands for **Blind Carbon Copy** (recipients are hidden from others).","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,**Augustus Waters**,['Augustus Waters']
when does the day of the dead end,**November 2nd**,['November 2']
when do you celebrate birthday if born on feb 29,February 28 or March 1,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,**New York City's drinking water primarily comes from 19 reservoirs and 3 controlled lakes in the Catskill/Delaware (90%) and Croton (10%) watersheds in upstate New York.**,['the eastern Catskill Mountains']
where is the citrus bowl held this year,"**Camping World Stadium, Orlando, Florida**",['Camping World Stadium']
what year does the quiet man take place,**1920**,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,**7**,"['7', 'seven']"
who plays alec ramsay in the black stallion,**Kelly Reno**,['Kelly Reno']
who plays dusty in the movie pure country,**George Strait**,['George Strait']
how many episodes of greys anatomy season 14,24,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,**Kamala Harris**,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,**1%**,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,**Command economy** (also known as a centrally planned economy),"['communism', 'state ownership']"
