question,initial_judge,initial_explaination,mis_reasoning_judge,mis_reasoning_explaination
"Natalia sold clips to 48 of her friends in April, and then she sold half as many clips in May. How many clips did Natalia sell altogether in April and May?",True,"The Ground Truth final answer is 72, and the Model Answer gives 72.0, which is mathematically equivalent.",True,"The Ground Truth final answer is 72, and the Model Answer is also 72, so they match exactly."
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",True,"The Ground Truth final answer is 10, and the Model Answer 10.0 is mathematically equivalent.",True,"The Ground Truth final answer is 10, and the Model Answer gives $10, which is mathematically equivalent and uses the correct currency."
"Betty is saving money for a new wallet which costs $100. Betty has only half of the money she needs. Her parents decided to give her $15 for that purpose, and her grandparents twice as much as her parents. How much more money does Betty need to buy the wallet?",True,"The ground truth final answer is 5, and the model answer 5.0 is mathematically equivalent.",True,"The Ground Truth final answer is 5, and the Model Answer is also 5, so they match exactly."
"Julie is reading a 120-page book. Yesterday, she was able to read 12 pages and today, she read twice as many pages as yesterday. If she wants to read half of the remaining pages tomorrow, how many pages should she read?",True,"The Ground Truth final answer is 42, and the Model Answer 42.0 is mathematically equivalent.",True,"The Ground Truth final answer is 42, and the Model Answer is also 42, so they are mathematically equivalent."
James writes a 3-page letter to 2 different friends twice a week.  How many pages does he write a year?,True,"The Ground Truth final answer is 624, and the Model Answer 624.0 is mathematically equivalent to 624.",True,"The Ground Truth final answer is 624, and the Model Answer is also 624, so they match exactly."
"Mark has a garden with flowers. He planted plants of three different colors in it. Ten of them are yellow, and there are 80% more of those in purple. There are only 25% as many green flowers as there are yellow and purple flowers. How many flowers does Mark have in his garden?",True,"The Ground Truth final answer is 35, and the Model Answer gives 35.0, which is mathematically equivalent.",True,"The Ground Truth final answer is 35, and the Model Answer is also 35, so they match exactly."
"Albert is wondering how much pizza he can eat in one day. He buys 2 large pizzas and 2 small pizzas. A large pizza has 16 slices and a small pizza has 8 slices. If he eats it all, how many pieces does he eat that day?",True,"The Ground Truth final answer is 48, and the Model Answer 48.0 is numerically equivalent.",True,"The Ground Truth final answer is 48, and the Model Answer is also 48, so they match exactly."
"Ken created a care package to send to his brother, who was away at boarding school.  Ken placed a box on a scale, and then he poured into the box enough jelly beans to bring the weight to 2 pounds.  Then, he added enough brownies to cause the weight to triple.  Next, he added another 2 pounds of jelly beans.  And finally, he added enough gummy worms to double the weight once again.  What was the final weight of the box of goodies, in pounds?",True,"The Ground Truth final answer is 16, and the Model Answer 16.0 is numerically equivalent.",True,"The Ground Truth final answer is 16, and the Model Answer is also 16, so they match exactly."
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",True,"The Ground Truth final answer is 41, and the Model Answer 41.0 is mathematically equivalent to 41.",True,"The Ground Truth final answer is 41, and the Model Answer gives 41, so they match exactly."
"Tina makes $18.00 an hour.  If she works more than 8 hours per shift, she is eligible for overtime, which is paid by your hourly wage + 1/2 your hourly wage.  If she works 10 hours every day for 5 days, how much money does she make?",True,"The Ground Truth final answer is 990, and the Model Answer gives 990.0, which is mathematically equivalent.",True,"The Ground Truth final answer is 990, and the Model Answer gives $990, which is mathematically equivalent."
