question,answer,explaination,ground truth
when was the last time anyone was on the moon,"December 14, 1972","This marks the date when the Apollo 17 lunar module 'Challenger' launched from the Moon's surface, concluding the final crewed mission of the Apollo program.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"The song's lyrics were written by Bob Russell, while the music was composed by Bobby Scott.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,The Bastard Executioner ran for a single season consisting of ten episodes on FX before being cancelled in 2015.,"['one', 'one season']"
when did the eagles win last super bowl,"February 4, 2018","The Philadelphia Eagles won their first and most recent Super Bowl title in Super Bowl LII, defeating the New England Patriots 41–33 at the conclusion of the 2017 NFL season.",['2017']
who won last year's ncaa women's basketball,South Carolina Gamecocks,"South Carolina won the 2024 NCAA Division I Women's Basketball Tournament by defeating Iowa 87-75 in the championship game on April 7, 2024.",['South Carolina']
when did the isle of wight become an island,"Approximately 7,000 to 8,000 years ago.","Post-glacial sea level rises during the Mesolithic period flooded the Solent River valley, permanently separating the landmass from mainland Britain.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez.,"While Justin Bieber has not explicitly confirmed a single subject, the song is widely attributed to his former girlfriend Selena Gomez based on lyrical context, timeline, and public statements made by co-writer Ed Sheeran.",['Rihanna']
who was the ruler of england in 1616,King James I,"In 1616, James VI and I was the reigning monarch of England, having ascended to the English throne in 1603 following the death of Elizabeth I.",['James I']
what is the hot coffee mod in san andreas,A disabled minigame in Grand Theft Auto: San Andreas that depicted explicit sexual scenes between the protagonist and his girlfriends.,The answer is based on the 2005 controversy where a modder discovered and unlocked hidden code within the game files that Rockstar Games had intended to keep inaccessible to players.,['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,The IEEE 802.11a standard uses Orthogonal Frequency Division Multiplexing (OFDM) in the 5 GHz band to achieve a maximum theoretical data rate of 54 Mbps.,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"Geographically, Madhya Pradesh is positioned in the central part of India, which is also reflected in its name, meaning 'Central Province'.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Cascades,"The Cascades released the song 'I Ran All the Way Home' in 1963, reaching the Billboard Hot 100.",['The Impalas']
where did the last name wallace come from,Scotland.,"The surname is derived from the Old French word 'waleis', meaning 'foreign' or 'Welshman', used by Anglo-Normans to describe the Celtic people of Strathclyde and the Welsh borders.",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty played Executive Assistant District Attorney Benjamin Stone for the first four seasons of the NBC television series Law & Order.,['Michael Moriarty']
who does the voice of nala in the lion king,Niketa Calame (Young Nala) and Moira Kelly (Adult Nala) in 1994; Shahadi Wright Joseph (Young Nala) and Beyoncé (Adult Nala) in 2019.,The voice cast varies depending on the film version (1994 animated vs. 2019 photorealistic) and the character's age (Young vs. Adult Nala).,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,There is no major character named Gram on the show.,A review of the cast list for The Young and the Restless indicates that there is no character currently or historically known as Gram; the user likely meant a different name or is referring to a minor uncredited role.,['Max Shippee']
what is the oath that new citizens take,The Oath of Allegiance.,This is the official name of the sworn statement required by the U.S. Citizenship and Immigration Services (USCIS) for naturalization.,['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker.,"Darth Vader is the Sith persona adopted by Anakin Skywalker after falling to the dark side in the Star Wars franchise, a fact revealed in Episode V and confirmed by his physical unmasking in Episode VI.",['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,"According to Genesis 21:5, Abraham was 100 years old when his son Isaac was born to him and his 90-year-old wife Sarah.","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18 years old.,"Under U.S. federal law and the regulations of most jurisdictions, individuals must be at least 18 years of age to purchase a BB gun, although possession laws vary by state.",['18']
ethiopia flight 961 crashes in to the sea,Hijacking and fuel exhaustion.,"On November 23, 1996, Ethiopian Airlines Flight 961 was hijacked by three men seeking asylum in Australia. Despite pilot warnings, the hijackers demanded a course the aircraft could not sustain, leading to fuel exhaustion and a forced ditching in the Indian Ocean near the Comoros Islands.",['23 November 1996']
where was percy jackson and the olympians filmed,"Vancouver and British Columbia, Canada.",Production records confirm that the 2023 Disney+ series and both 20th Century Fox films were primarily filmed in Vancouver and surrounding areas in British Columbia.,"['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8 seasons,"The Vampire Diaries aired on The CW for a total of eight seasons from September 10, 2009, to March 10, 2017.","['eight', '8']"
how many episodes are there in dragon ball z,291 episodes.,"The original Japanese television broadcast of Dragon Ball Z, which adapted the final 325 chapters of the manga, consisted of 291 episodes produced by Toei Animation.","['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,"Jacob Tremblay portrays the character August 'Auggie' Pullman in the 2017 film adaptation of R.J. Palacio's novel, Wonder.",['Jacob Tremblay']
when was the first australian prime minister elected,1901,"Edmund Barton was appointed as the first Prime Minister of Australia on January 1, 1901, and his government was subsequently confirmed in the first federal election held in March 1901.","['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,R. H. Thomson,R. H. Thomson is the Canadian actor who portrayed Matthew Cuthbert in all three seasons of the television series Anne with an E.,['R. H. Thomson']
who is the girl in green day 21 guns,Lisa Stelly,"The female lead in the Green Day music video for '21 Guns' is actress and model Lisa Stelly, who was later known for her marriage to Jack Osbourne.",['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,"Heath Ledger portrayed the Joker in the 2008 film 'The Dark Knight,' directed by Christopher Nolan, and received a posthumous Academy Award for his performance.",['Ledger']
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985","The SAARC Charter was formally adopted by the heads of state or government of Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, and Sri Lanka during their first summit in Dhaka.","['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008.","The novel 'The Hunger Games' by Suzanne Collins was first released in hardcover by Scholastic on September 14, 2008.","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Foster,"Bette Midler played the lead character, Mary Rose Foster (a fictionalized version of Janis Joplin), in the 1979 film 'The Rose'.",['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,"Dave Gahan has been the primary lead vocalist for Depeche Mode since the band's formation in 1980, while Martin Gore provides lead vocals on a minority of their tracks.",['David Gahan']
where did the butchers in the slaughterhouse cases live,New Orleans and surrounding parishes in Louisiana.,"The 1873 Slaughter-House Cases arose from a Louisiana state law that granted a monopoly to a single company, forcing independent butchers in New Orleans and the neighboring Jefferson and St. Bernard parishes to use a specific facility.",['New Orleans']
who developed the concept of total quality management,"W. Edwards Deming, Joseph M. Juran, and Armand V. Feigenbaum.","While the term 'Total Quality Control' was coined by Armand V. Feigenbaum in 1951, the comprehensive management philosophy known as TQM was developed through the collective contributions of Deming and Juran, particularly through their post-WWII work in Japan.",['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis.,The song was written and produced by the British songwriting duo Cathy Dennis and Rob Davis for Kylie Minogue's 2001 album Fever.,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Volume 3 of the light novel series.,"The 12-episode anime covers Volume 1, 2, and 3 of the original light novel series by Yuu Kamiya, ending with the victory over the Eastern Federation and the summoning of an Old Deus.","['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006",Taylor Swift's self-titled debut studio album was released on this date by Big Machine Records.,"['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed.",These are the three original titles in the erotic romance trilogy written by E.L. James.,"['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges and justices.,"Under the principle of the separation of powers, the judicial branch is composed of judges who are legally authorized to preside over trials and issue rulings based on constitutional and statutory law.",['judges']
what are the ranks in the us navy,"Enlisted (E-1 to E-9): SR, SA, SN, PO3, PO2, PO1, CPO, SCPO, MCPO. Warrant Officers: W-2 to W-5. Officers (O-1 to O-10): ENS, LTJG, LT, LCDR, CDR, CAPT, RDML, RADM, VADM, ADM, FADM.","Compiled the standard hierarchical rank structures for Enlisted, Warrant Officer, and Commissioned Officer tiers as defined by the U.S. Department of Defense and U.S. Navy regulations.","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,"Omar Khayyam was a Persian polymath, mathematician, and astronomer who died in December 1131 CE.",['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,"The Ottawa Senators appointed Travis Green as their head coach on May 7, 2024, following the interim tenure of Jacques Martin.",['Guy Boucher']
last episode of what happens to my family,"Cha Bong-soon passes away peacefully after fulfilling his final wishes, and the Cha family continues his legacy of love and unity.",The request was addressed by summarizing the narrative resolution of the South Korean drama 'What Happens to My Family?' based on its series finale.,['53']
when is the last time the vikings were in the nfc championship,"January 21, 2018","The Minnesota Vikings last played in the NFC Championship during the 2017 NFL playoffs, where they faced the Philadelphia Eagles.","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, and blue.","The official flag of the Kingdom of the Netherlands is a horizontal tricolor of bright vermilion, white, and cobalt blue.","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9–13 and Luke 11:2–4.,"The Lord's Prayer is recorded in the Gospels of Matthew and Luke, presented by Jesus during the Sermon on the Mount and in response to a disciple's request, respectively.",['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,The Oklahoma Sooners last won the NCAA Division I FBS national championship by defeating Florida State 13-2 in the Orange Bowl following the 2000 season.,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:2–17 and Deuteronomy 5:6–21.,"The Ten Commandments are recorded twice in the Hebrew Bible: first when God gives them to Moses at Mount Sinai in the Book of Exodus, and again when Moses recounts them to the Israelites in the Book of Deuteronomy.","['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Sicily and Mainland Italy.,"Following the conclusion of the North African campaign in May 1943, the Allied forces launched Operation Husky, the invasion of Sicily, in July 1943, which served as a stepping stone to the invasion of the Italian mainland.","['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,True image or she who brings victory.,The name is derived from the Latin phrase 'vera icon' meaning 'true image' and the Greek name 'Berenice' meaning 'she who brings victory'.,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,"The aorta is the largest artery in the human body, originating from the left ventricle of the heart and distributing oxygenated blood to all systemic circuits.","['The aorta', 'aorta']"
who played solomon in little house on the prairie,Todd Bridges,Todd Bridges portrayed Solomon Henry in the Season 3 episode titled 'The Wisdom of Solomon'.,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti.,"In the series finale, Eric returns from Africa to Point Place and reunites with Donna, where they share a kiss and reconcile their relationship.",['Donna']
an object that moves around an external axis is said to be,revolving,"In physics, when an object moves around an axis located outside of its own body, the motion is defined as revolution, whereas moving around an internal axis is defined as rotation.","['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Diagonal ribs, transverse ribs, tiercerons, liernes, boss stones, and tas-de-charge.","Rib vaults consist of a structural framework of crossing arches (diagonal and transverse) supporting infill masonry (webbing). Examples like Wells Cathedral are notable for adding decorative tiercerons and liernes, joined by ornamental bosses and supported by the tas-de-charge at the springing point.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,The song was written by John Lennon and recorded by The Beatles for their 1967 album Sgt. Pepper's Lonely Hearts Club Band.,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,James Brown is credited as the sole songwriter and composer of the 1965 hit single 'Papa's Got a Brand New Bag'.,['James Brown']
where does a roadrunner live in the desert,"Roadrunners live in scrublands, grasslands, and deserts of the Southwestern United States and Mexico, typically nesting in thickets, shrubs, or cacti.",This information is derived from biological facts regarding the Greater Roadrunner's natural range and habitat preferences within arid environments.,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Geoff Stephens and Les Reed,"The song 'It's a Long Long Way to Pasadena', popularly recorded by The Fortunes in 1972, was written by the British songwriting duo Geoff Stephens and Les Reed.","['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,"Spike is the primary bulldog character in the Tom and Jerry series, often accompanied by his son, Tyke.",['Spike']
who are nominated for president of india 2017,Ram Nath Kovind and Meira Kumar.,Ram Nath Kovind was nominated by the National Democratic Alliance (NDA) and Meira Kumar was nominated by the United Progressive Alliance (UPA) for the 2017 Indian presidential election.,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station.,I identified the specific railway network requested and located the terminus point for its Newark-World Trade Center line within the city of Newark.,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California.","Route 66 historically ended at the intersection of Ocean Avenue and Santa Monica Boulevard, marked today by the 'End of the Trail' sign on the Santa Monica Pier.",['in Santa Monica']
who is the first wife on sister wives,Meri Brown,"Meri was Kody Brown's first wife, having legally married him in April 1990 before the addition of Janelle, Christine, and Robyn to the family.",['Meri']
when did houston go to the american league,2013,The Houston Astros moved from the National League Central to the American League West at the start of the 2013 Major League Baseball season as part of a league realignment to balance both leagues at 15 teams each.,['2013']
when did they stop cigarette advertising on television,"January 2, 1971.","The Public Health Cigarette Smoking Act, signed by President Richard Nixon in 1970, officially banned cigarette advertisements on American television and radio starting in 1971.","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,"The lyrics ""I will try to fix you"" are the central refrain and title of the 2005 song by the British rock band Coldplay, released on their album X&Y.","['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,Degrees or radians.,Geometric measurements for both planar and spherical coordinates are fundamentally defined by the ratio of arc length to radius (radians) or by partitioning a full rotation into 360 units (degrees).,['radians']
the oligodynamic effect is a phenomenon that describes,The biocidal effect of metals.,"The response was derived by identifying the scientific definition of the oligodynamic effect, which refers to the toxic impact of small concentrations of certain heavy metal ions on living cells, bacteria, and viruses.",['a biocidal effect of metals']
where does the white witch live in narnia,A vast ice palace located between two hills in the northern part of Narnia.,"In 'The Lion, the Witch and the Wardrobe' by C.S. Lewis, the White Witch resides in a castle made of ice, often referred to as her fortress, situated between two mountains.",['her castle']
how many games in a row have the uconn women's basketball team won,111 games.,The UConn women's basketball team set the NCAA record for the longest winning streak by winning 111 consecutive games between November 2014 and March 2017.,"['111 straight wins', '111', '90']"
is there a name for the at symbol,Commercial at,"The symbol @ is formally named 'commercial at' by Unicode and ISO standards, though it is also commonly referred to as the 'at sign'.","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,"The theme song for the TV show Cops is the song ""Bad Boys,"" which was written and performed by the reggae group Inner Circle.","['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,Corporal punishment was banned in schools in 1996 and in the home in 2019.,"The South African Schools Act of 1996 prohibited corporal punishment in schools, while a 2019 Constitutional Court ruling abolished the common law defense of 'reasonable chastisement,' effectively banning it in the home.",['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,Gwendoline Christie is the actress who portrayed the First Order officer Captain Phasma in the 2015 film Star Wars: The Force Awakens.,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze (featuring Wendy Fraser),"The song was co-written and performed by Patrick Swayze for the 'Dirty Dancing' soundtrack, with backing vocals provided by Wendy Fraser.","['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,The Snickers bar was originally branded as Marathon in the United Kingdom and Ireland; Mars decided to align the brand with the global Snickers name in July 1990.,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,"In 1488, the Portuguese explorer Bartolomeu Dias became the first European to lead an expedition around the Cape of Good Hope, opening the sea route from the Atlantic to the Indian Ocean.",['Bartolomeu Dias']
