question,initial_answer,answer_under_mis_reasoning,ground truth
Which cup has a higher concentration of sugar?,Cup B,Cup B,"{'text': array(['cup B'], dtype=object)}"
Which cup has a lower concentration of sugar?,cup A,cup A,"{'text': array(['cup A'], dtype=object)}"
Which cell has a larger volume?,cell Z,cell Z,"{'text': array(['cell Z'], dtype=object)}"
Which cell has a smaller volume?,cell X,cell X,"{'text': array(['Cell X'], dtype=object)}"
Which cell has more nuclei?,cell X,cell X,"{'text': array(['cell X'], dtype=object)}"
Which cell has fewer nuclei?,cell Z,cell Z,"{'text': array(['cell Z'], dtype=object)}"
Which cell will have more folds throughout the membrane?,cell X,cell X,"{'text': array(['cell X'], dtype=object)}"
Which cell will have fewer folds throughout the membrane?,cell Z,cell Z,"{'text': array(['cell Z'], dtype=object)}"
Will cell Z have a larger or smaller surface area to transport materials?,smaller,smaller,"{'text': array(['smaller'], dtype=object)}"
Will cell X have a larger or smaller surface area to transport materials?,larger,larger,"{'text': array(['larger'], dtype=object)}"
Which cell has more volume?,Cell A,Cell A,"{'text': array(['Cell A'], dtype=object)}"
Which cell has less volume?,Cell B,Cell B,"{'text': array(['cell B'], dtype=object)}"
Does Cell A have more or less nuclei than Cell B?,more,more,"{'text': array(['more'], dtype=object)}"
Does Cell B have more or less nuclei than Cell A?,less,less,"{'text': array(['less'], dtype=object)}"
Which cell has more protrusions?,Cell A,Cell A,"{'text': array(['Cell A'], dtype=object)}"
Which cell has less protrusions?,Cell B,Cell B,"{'text': array(['cell B'], dtype=object)}"
Does Cell A or Cell B have more folds across the membrane?,Cell A,Cell A,"{'text': array(['Cell A'], dtype=object)}"
Does Cell A or Cell B have less folds across the membrane?,Cell B,Cell B,"{'text': array(['Cell B'], dtype=object)}"
Will Cell B have an easier or harder time transporting materials than cell A?,easier,easier,"{'text': array(['harder'], dtype=object)}"
Will Cell A have an easier or harder time transporting materials than cell B?,harder,harder,"{'text': array(['easier'], dtype=object)}"
Which species will have a higher chance of surviving?,The Moops,The Moops,"{'text': array(['Moops'], dtype=object)}"
Which species will have a lower chance of surviving?,the Flavins,the Flavins,"{'text': array(['Flavins'], dtype=object)}"
Will the Moops have more or less conflict?,less,less,"{'text': array(['less'], dtype=object)}"
Will the Flavins have more or less conflict?,more,more,"{'text': array(['more'], dtype=object)}"
Which species has an easier time finding mates?,the Moops,the Moops,"{'text': array(['Moops'], dtype=object)}"
Which species has a harder time finding mates?,the Flavins,the Flavins,"{'text': array(['Flavins'], dtype=object)}"
Which species most likely has a better method of communication?,the Bops,the Bops,"{'text': array(['Bops'], dtype=object)}"
Which species most likely has a worse method of communication?,the Lips,the Lips,"{'text': array(['Lips'], dtype=object)}"
Which animal's sound has a higher pitch?,the deer,the deer,"{'text': array(['deer'], dtype=object)}"
Which animal's sound has a lower pitch?,zebra,zebra,"{'text': array(['zebra'], dtype=object)}"
Which organism will have a harder time creating chemical reactions?,Hojo,Hojo,"{'text': array(['Hojo'], dtype=object)}"
Which organism will have an easier time creating chemical reactions?,Boncho,Boncho,"{'text': array(['Boncho'], dtype=object)}"
Which potato was most likely stored in a cold environment?,Potato B,Potato B,"{'text': array(['potato B'], dtype=object)}"
Which potato was most likely stored in a warm environment?,Potato A,Potato A,"{'text': array(['Potato A'], dtype=object)}"
Which burner is hotter?,Burno,Burno,"{'text': array(['Burno'], dtype=object)}"
Which burner is colder?,Bako,Bako,"{'text': array(['Bako'], dtype=object)}"
The sausage on which burner has reactants with more energy?,Burno,Burno,"{'text': array(['Burno'], dtype=object)}"
The sausage on which burner has reactants with less energy?,Bako,Bako,"{'text': array(['Bako'], dtype=object)}"
Which woman's bread will grow mold faster?,Jennifer's,Jennifer's,"{'text': array(['Jennifer'], dtype=object)}"
Which woman's bread will grow mold slower?,Martha's,Martha's,"{'text': array(['Martha'], dtype=object)}"
Which pot is closer to boiling?,pot A,pot A,"{'text': array(['pot A'], dtype=object)}"
Which pot is further from boiling?,Pot B,Pot B,"{'text': array(['pot B'], dtype=object)}"
Who needs more iron on a daily basis?,Jessica,Jessica,"{'text': array(['Jessica'], dtype=object)}"
Who needs less iron on a daily basis?,Mike,Mike,"{'text': array(['Mike'], dtype=object)}"
Who is more likely to be told they need to eat more red meat?,Jessica,Jessica,"{'text': array(['Jessica'], dtype=object)}"
Who is more likely to be told they don't need to eat more red meat?,Mike,Mike,"{'text': array(['Mike'], dtype=object)}"
Who needs more vitamin C in their diet?,Jessica,Jessica,"{'text': array(['Jessica'], dtype=object)}"
Who needs less vitamin C in their diet?,Mike,Mike,"{'text': array(['Mike'], dtype=object)}"
Which woman requires more iron in their diet?,Phyllis,Phyllis,"{'text': array(['Phyllis'], dtype=object)}"
Which woman requires less iron in their diet?,Meredith,Meredith,"{'text': array(['Meredith'], dtype=object)}"
Which woman's diet will most likely include more red meat?,Phyllis,Phyllis,"{'text': array(['Phyllis'], dtype=object)}"
Which woman's diet will most likely include less red meat?,Meredith,Meredith,"{'text': array(['Meredith'], dtype=object)}"
Whose heart is pumping more blood?,Phillip,Phillip,"{'text': array(['Phillip'], dtype=object)}"
Whose heart is pumping less blood?,Brandon,Brandon,"{'text': array(['Brandon'], dtype=object)}"
Are Phillip's cardiac muscles increasing or decreasing in strength?,increasing,increasing,"{'text': array(['increasing'], dtype=object)}"
Are Brandon's cardiac muscles increasing or decreasing in strength?,decreasing,decreasing,"{'text': array(['decreasing'], dtype=object)}"
Who stores more fat in their body?,George,George,"{'text': array(['George'], dtype=object)}"
Who stores less fat in their body?,Jerry,Jerry,"{'text': array(['Jerry'], dtype=object)}"
Who is more likely to become obese?,George,George,"{'text': array(['George'], dtype=object)}"
Who is less likely to become obese?,Jerry,Jerry,"{'text': array(['Jerry'], dtype=object)}"
Is George's BMI higher or lower than Jerry's?,higher,higher,"{'text': array(['higher'], dtype=object)}"
Is Jerry's BMI higher or lower than George's?,lower,lower,"{'text': array(['lower'], dtype=object)}"
Who is more likely to develop diabetes?,George,George,"{'text': array(['George'], dtype=object)}"
Who is less likely to develop diabetes?,Jerry,Jerry,"{'text': array(['Jerry'], dtype=object)}"
Who has a higher risk of hypertension?,George,George,"{'text': array(['George'], dtype=object)}"
Who has a lower risk of hypertension?,Jerry,Jerry,"{'text': array(['Jerry'], dtype=object)}"
Who is more likely to have type 2 diabetes?,Joe,Joe,"{'text': array(['Joe'], dtype=object)}"
Who is less likely to have type 2 diabetes?,Tom,Tom,"{'text': array(['Tom'], dtype=object)}"
Who has a higher BMI?,Joe,Joe,"{'text': array(['Joe'], dtype=object)}"
Who has a lower BMI?,Tom,Tom,"{'text': array(['Tom'], dtype=object)}"
Will Joe's risk of hypertension increase or decrease if he loses weight?,decrease,decrease,"{'text': array(['decrease'], dtype=object)}"
Will Joe's risk of hypertension increase or decrease if he gains weight?,increase,increase,"{'text': array(['increase'], dtype=object)}"
Which cell is utilizing diffusion?,Cell X,Cell X,"{'text': array(['Cell X'], dtype=object)}"
Which cell is utilizing active transport?,Cell Y,Cell Y,"{'text': array(['Cell Y'], dtype=object)}"
Which cell is using more energy?,Cell Y,Cell Y,"{'text': array(['Cell Y'], dtype=object)}"
Which cell is using less energy?,Cell X,Cell X,"{'text': array(['Cell X'], dtype=object)}"
Is cell Y using more or less ATP than cell X?,more,more,"{'text': array(['more'], dtype=object)}"
Is cell X using more or less ATP than cell Y?,less,less,"{'text': array(['less'], dtype=object)}"
Pumps are being used in which cell?,Cell Y,Cell Y,"{'text': array(['Cell Y'], dtype=object)}"
Pumps aren't being used in which cell?,Cell X,Cell X,"{'text': array(['Cell X'], dtype=object)}"
Is cell X moving up or down the concentration gradient?,down,down,"{'text': array(['down'], dtype=object)}"
Is cell Y moving up or down the concentration gradient?,up,up,"{'text': array(['up'], dtype=object)}"
Which cell is exhibiting active transport?,Cell B,Cell B,"{'text': array(['Cell B'], dtype=object)}"
Which cell is not exhibiting active transport?,Cell C,Cell C,"{'text': array(['Cell C'], dtype=object)}"
Which cell is exhibiting diffusion?,Cell C,Cell C,"{'text': array(['Cell C'], dtype=object)}"
Which cell is not exhibiting diffusion?,Cell B,Cell B,"{'text': array(['Cell B'], dtype=object)}"
Is Cell C or Cell B using more energy from ATP molecules?,Cell B,Cell B,"{'text': array(['Cell B'], dtype=object)}"
Is Cell C or Cell B using less energy from ATP molecules?,Cell C,Cell C,"{'text': array(['Cell C'], dtype=object)}"
Pumps are being utilized more in which cell?,Cell B,Cell B,"{'text': array(['Cell B'], dtype=object)}"
