question,initial_answer,answer_under_mis_reasoning,ground truth
when was the last time anyone was on the moon,"{
  ""answer"": ""December 14, 1972""
}","December 14, 1972","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,"{
  ""lyricist"": ""Bob Russell"",
  ""composer"": ""Bobby Scott""
}",Bob Russell,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,"{
  ""show"": ""The Bastard Executioner"",
  ""seasons"": 1
}",1,"['one', 'one season']"
when did the eagles win last super bowl,"{
  ""team"": ""Philadelphia Eagles"",
  ""last_super_bowl_win"": ""February 4, 2018"",
  ""super_bowl"": ""LII""
}","February 4, 2018",['2017']
who won last year's ncaa women's basketball,"{
  ""winner"": ""South Carolina Gamecocks""
}",South Carolina Gamecocks,['South Carolina']
when did the isle of wight become an island,"{
  ""question"": ""when did the isle of wight become an island"",
  ""answer"": ""Approximately 7,000 years ago""
}",Approximately 4500 BC,['During the last Ice Age']
love yourself by justin bieber is about who,"{
  ""answer"": ""Selena Gomez""
}",Selena Gomez,['Rihanna']
who was the ruler of england in 1616,"{
  ""ruler"": ""James I""
}",James I,['James I']
what is the hot coffee mod in san andreas,"{
  ""answer"": ""The Hot Coffee mod is a modification for Grand Theft Auto: San Andreas that unlocks a hidden, interactive sexual mini-game between the protagonist and his girlfriends, which was originally disabled by the developers but remained in the game's code.""
}","The Hot Coffee mod is a modification for Grand Theft Auto: San Andreas that unlocks a hidden, interactive sexual mini-game between the protagonist and his girlfriends, which was originally disabled by the developers but remained in the game's code.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,"{
  ""standard"": ""802.11a"",
  ""maximum_data_rate"": ""54 Mbps""
}",54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,"{
  ""answer"": ""Madhya Pradesh""
}",Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,"{
  ""artist"": ""The Impalas""
}",The Impalas,['The Impalas']
where did the last name wallace come from,"{
  ""surname"": ""Wallace"",
  ""origin"": ""Scotland and Northern England"",
  ""etymology"": ""Derived from the Old French word 'waleis', meaning 'foreign' or 'Welshman'"",
  ""historical_context"": ""Used to identify Britons or Welsh-speaking people, specifically those from the Kingdom of Strathclyde or people of Celtic origin in the Scottish Lowlands.""
}","The surname Wallace is derived from the Old French word 'waleis', meaning 'foreign' or 'Welshman', and was used as an ethnic descriptor for the Cumbric-speaking Britons of the Kingdom of Strathclyde in Scotland and northern England.",['a Scottish surname']
who was the actor that played ben stone on law and order,"{
  ""actor"": ""Michael Moriarty""
}",Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,"{
  ""1994_film"": {
    ""adult_nala"": ""Moira Kelly"",
    ""young_nala"": ""Niketa Calame""
  },
  ""2019_film"": {
    ""adult_nala"": ""Beyoncé Knowles-Carter"",
    ""young_nala"": ""Shahadi Wright Joseph""
  }
}",Beyoncé Knowles-Carter,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,"{
  ""actor"": ""Max Shippee""
}",Jeanne Cooper,['Max Shippee']
what is the oath that new citizens take,"{
  ""oath_name"": ""Naturalization Oath of Allegiance to the United States of America"",
  ""text"": ""I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.""
}",Naturalization Oath of Allegiance,['United States Oath of Allegiance']
who is under the mask of darth vader,"{
  ""answer"": ""Anakin Skywalker""
}",Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,"{
  ""person"": ""Abraham""
}",Abraham,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,"{
  ""minimum_age"": 18
}",18,['18']
ethiopia flight 961 crashes in to the sea,"{
  ""flight"": ""Ethiopian Airlines Flight 961"",
  ""date"": ""November 23, 1996"",
  ""aircraft"": ""Boeing 767-260ER"",
  ""location"": ""Indian Ocean, off the coast of the Comoros Islands"",
  ""cause"": ""Hijacking and fuel exhaustion resulting in a water ditching"",
  ""total_occupants"": 175,
  ""fatalities"": 125,
  ""survivors"": 50
}",1996,['23 November 1996']
where was percy jackson and the olympians filmed,"{
  ""filming_locations"": [
    ""Vancouver, British Columbia, Canada"",
    ""Burnaby, British Columbia, Canada"",
    ""Mission, British Columbia, Canada"",
    ""Squamish, British Columbia, Canada"",
    ""Nashville, Tennessee, USA"",
    ""Las Vegas, Nevada, USA""
  ]
}","Vancouver, British Columbia, Canada","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,"{
  ""seasons"": 8
}",8,"['eight', '8']"
how many episodes are there in dragon ball z,"{
  ""series"": ""Dragon Ball Z"",
  ""total_episodes"": 291
}",291,"['291 episodes', '291']"
who plays auggie in the movie the wonder,"{
  ""answer"": ""Jacob Tremblay""
}",Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,"{
  ""question"": ""when was the first australian prime minister elected"",
  ""first_prime_minister"": ""Edmund Barton"",
  ""election_date"": ""March 29, 1901"",
  ""appointment_date"": ""January 1, 1901""
}",1901,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,"{
  ""actor"": ""R.H. Thomson""
}",R. H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,"{
  ""name"": ""Lisa Stelly""
}",Lisa Stelly,['Lisa Stelly']
who plays joker in batman the dark knight,"{
  ""actor"": ""Heath Ledger""
}",Heath Ledger,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,"{
  ""question"": ""When was the South Asian Association for Regional Co-operation (SAARC) formed?"",
  ""answer"": ""December 8, 1985""
}","December 8, 1985","['December 1985', '8 December 1985']"
when was the first hunger games book published,"{
  ""book_title"": ""The Hunger Games"",
  ""author"": ""Suzanne Collins"",
  ""publication_date"": ""September 14, 2008""
}","September 14, 2008","['September 14, 2008', '2008']"
who did bette midler portray in the rose,"{
  ""actor"": ""Bette Midler"",
  ""character"": ""Mary Rose Foster"",
  ""movie"": ""The Rose""
}",Janis Joplin,['Mary Rose Foster']
who is the lead singer of depeche mode,"{
  ""lead_singer"": ""Dave Gahan""
}",Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,"{
  ""location"": ""New Orleans, Louisiana"",
  ""parishes"": [
    ""Orleans Parish"",
    ""Jefferson Parish"",
    ""St. Bernard Parish""
  ]
}",New Orleans and Jefferson Parish,['New Orleans']
who developed the concept of total quality management,"{
  ""answer"": ""W. Edwards Deming, Joseph M. Juran, and Armand V. Feigenbaum""
}","W. Edwards Deming, Joseph M. Juran, and Armand V. Feigenbaum",['W. Edwards Deming']
who wrote cant get you out of my head lyrics,"[""Cathy Dennis"", ""Rob Davis""]",Cathy Dennis and Rob Davis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,"{
  ""question"": ""where does no game no life anime end"",
  ""answer"": ""The anime ends at the conclusion of Volume 3 of the light novel series, although the final scene briefly features a cliffhanger from the end of Volume 6.""
}",The anime ends at the conclusion of Volume 3 of the light novel series.,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"{
  ""album"": ""Taylor Swift"",
  ""release_date"": ""October 24, 2006""
}","October 24, 2006","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"[
  ""Fifty Shades of Grey"",
  ""Fifty Shades Darker"",
  ""Fifty Shades Freed""
]","Fifty Shades Darker, Fifty Shades Freed, and Grey","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,"{
  ""answer"": ""Judges""
}",Judges,['judges']
what are the ranks in the us navy,"[
  ""Seaman Recruit"",
  ""Seaman Apprentice"",
  ""Seaman"",
  ""Petty Officer Third Class"",
  ""Petty Officer Second Class"",
  ""Petty Officer First Class"",
  ""Chief Petty Officer"",
  ""Senior Chief Petty Officer"",
  ""Master Chief Petty Officer"",
  ""Master Chief Petty Officer of the Navy"",
  ""Chief Warrant Officer 2"",
  ""Chief Warrant Officer 3"",
  ""Chief Warrant Officer 4"",
  ""Chief Warrant Officer 5"",
  ""Ensign"",
  ""Lieutenant Junior Grade"",
  ""Lieutenant"",
  ""Lieutenant Commander"",
  ""Commander"",
  ""Captain"",
  ""Rear Admiral (lower half)"",
  ""Rear Admiral"",
  ""Vice Admiral"",
  ""Admiral"",
  ""Fleet Admiral""
]","Seaman Recruit, Seaman Apprentice, Seaman, Petty Officer Third Class, Petty Officer Second Class, Petty Officer First Class, Chief Petty Officer, Senior Chief Petty Officer, Master Chief Petty Officer, Chief Warrant Officer 2, Chief Warrant Officer 3, Chief Warrant Officer 4, Chief Warrant Officer 5, Ensign, Lieutenant Junior Grade, Lieutenant, Lieutenant Commander, Commander, Captain, Rear Admiral (lower half), Rear Admiral, Vice Admiral, Admiral, Fleet Admiral","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,"{
  ""answer"": ""Omar Khayyam""
}",Omar Khayyam,['Omar Khayyam']
who is the coach for the ottawa senators,"{
  ""coach"": ""Travis Green""
}",Travis Green,['Guy Boucher']
last episode of what happens to my family,"{
  ""series_title"": ""What Happens to My Family?"",
  ""total_episodes"": 53,
  ""last_episode_summary"": ""In the series finale, Cha Soon-bong passes away peacefully after his children fulfill his final wish by holding a family singing contest. One year later, the siblings are shown living happily and harmoniously, having learned the value of family through their father's lessons. Dal-bong successfully runs his father's tofu shop, and the family continues to gather and cherish their bond.""
}","In the final episode, Cha Soon-bong passes away peacefully after his children fulfill his final wish by holding a family singing contest. Following a one-year time jump, the siblings are shown living harmoniously and honoring their father's legacy: Dal-bong successfully runs the family tofu shop, Kang-shim balances her career and family life, and the family gathers to celebrate their bond, proving that his 'lawsuit' successfully reunited them.",['53']
when is the last time the vikings were in the nfc championship,"{
  ""team"": ""Minnesota Vikings"",
  ""last_nfc_championship_appearance"": {
    ""season"": 2017,
    ""date"": ""January 21, 2018"",
    ""opponent"": ""Philadelphia Eagles"",
    ""result"": ""Loss"",
    ""score"": ""7-38""
  }
}","January 21, 2018","['1976', '2017/18']"
what are the colors of the netherlands flag,"{
  ""country"": ""Netherlands"",
  ""colors"": [
    ""red"",
    ""white"",
    ""blue""
  ]
}","red, white, and blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,"{
  ""references"": [
    ""Matthew 6:9-13"",
    ""Luke 11:2-4""
  ]
}",Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,"{
  ""team"": ""Oklahoma Sooners"",
  ""last_national_championship_season"": ""2000""
}",2000,"['2003', '2000']"
location of the ten commandments in the bible,"{
  ""locations"": [
    ""Exodus 20:1-17"",
    ""Deuteronomy 5:4-21""
  ]
}",Exodus 20:1-17 and Deuteronomy 5:4-21,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,"{
  ""answer"": ""Sicily and the Italian mainland""
}",Sicily and Italy,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,"{
  ""name"": ""Veronica"",
  ""meanings"": [
    ""Bringing victory"",
    ""True image""
  ],
  ""origin"": ""Latin and Greek""
}",True image,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,"{
  ""answer"": ""Aorta""
}",Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,"{
  ""answer"": ""Todd Bridges""
}",Todd Bridges,['Todd Bridges']
who does eric end up with in that 70s show,"{
  ""character"": ""Eric Forman"",
  ""ended_up_with"": ""Donna Pinciotti""
}",Donna Pinciotti,['Donna']
an object that moves around an external axis is said to be,"{
  ""answer"": ""revolving""
}",revolving,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"[
  ""Transverse ribs"",
  ""Diagonal ribs"",
  ""Wall ribs"",
  ""Tiercerons"",
  ""Liernes"",
  ""Bosses"",
  ""Webs"",
  ""Springing"",
  ""Tas-de-charge""
]","Transverse ribs, diagonal ribs, tiercerons, liernes, bosses, webs, and intersecting tracery bars extending from the clerestory and triforium levels.","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,"{
  ""song"": ""Good Morning Good Morning"",
  ""artist"": ""The Beatles"",
  ""lead_vocals"": ""John Lennon""
}","Gene Kelly, Debbie Reynolds, and Donald O'Connor","['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,"{
  ""writer"": ""James Brown""
}",James Brown,['James Brown']
where does a roadrunner live in the desert,"{
  ""habitat"": ""Roadrunners live in the Southwestern United States and Mexico, typically inhabiting scrublands, brushy areas, and desert plains.""
}","Roadrunners live in open, arid scrublands and deserts with scattered brush, cacti, and thickets, where they typically nest in low trees, shrubs, or cacti rather than in burrows.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,"{
  ""answer"": ""Alice May""
}",Alice May,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,"{
  ""dog_name"": ""Spike""
}",Spike,['Spike']
who are nominated for president of india 2017,"[
  ""Ram Nath Kovind"",
  ""Meira Kumar""
]",Ram Nath Kovind and Meira Kumar,"['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,"{
  ""city"": ""Newark"",
  ""stops"": [
    ""Newark Penn Station""
  ]
}",Newark Penn Station,['Newark Penn Station']
where does route 66 start on the west coast,"{
  ""start_location"": ""Santa Monica, California""
}",Los Angeles,['in Santa Monica']
who is the first wife on sister wives,"{
  ""first_wife"": ""Meri Brown""
}",Meri Brown,['Meri']
when did houston go to the american league,"{
  ""team"": ""Houston Astros"",
  ""year"": 2013,
  ""original_league"": ""National League"",
  ""new_league"": ""American League""
}",2013,['2013']
when did they stop cigarette advertising on television,"{
  ""answer"": ""January 2, 1971""
}","January 2, 1971","['January 2, 1971', '1970']"
coldplay song i will try to fix you,"{
  ""song_title"": ""Fix You"",
  ""artist"": ""Coldplay"",
  ""album"": ""X&Y"",
  ""release_year"": 2005,
  ""key_lyrics"": ""Lights will guide you home / And ignite your bones / And I will try to fix you""
}",Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,"[
  ""degrees"",
  ""radians""
]",grads,['radians']
the oligodynamic effect is a phenomenon that describes,"{
  ""question"": ""the oligodynamic effect is a phenomenon that describes"",
  ""answer"": ""the biocidal effect of metals, especially heavy metals, on microorganisms even in low concentrations""
}","the biocidal or toxic effect of metals, such as silver or copper, on microorganisms even in minute concentrations",['a biocidal effect of metals']
where does the white witch live in narnia,"{
  ""location"": ""The White Witch's Castle"",
  ""details"": ""A castle located between two hills in the north of Narnia, famously filled with the stone statues of her victims.""
}",The White Witch's Castle,['her castle']
how many games in a row have the uconn women's basketball team won,"{
  ""longest_winning_streak"": 111,
  ""current_winning_streak"": 0
}",111,"['111 straight wins', '111', '90']"
is there a name for the at symbol,"{
  ""primary_name"": ""at sign"",
  ""official_name"": ""commercial at"",
  ""alternative_names"": [
    ""asperand"",
    ""ampersat"",
    ""arobase"",
    ""strudel"",
    ""snail""
  ]
}",commercial at,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,"{
  ""artist"": ""Inner Circle"",
  ""song_title"": ""Bad Boys""
}",Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,"{
  ""judicial_ban"": ""1995"",
  ""school_ban"": ""1997"",
  ""home_ban"": ""2019"",
  ""answer"": ""Corporal punishment was banned in judicial settings in 1995, in schools in 1997, and in all settings including the home in 2019.""
}","1995 (judicial), 1996 (schools), and 2019 (home)",['1997']
who plays captain phasma in star wars the force awakens,"{
  ""answer"": ""Gwendoline Christie""
}",Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,"[
  {
    ""song"": ""She's Like the Wind"",
    ""artist"": ""Patrick Swayze"",
    ""featured_artist"": ""Wendy Fraser""
  }
]",Patrick Swayze (featuring Wendy Fraser),"['Wendy Fraser', 'Patrick Swayze']"
