question,answer,reasoning,ground truth
when was the last time anyone was on the moon,July 1969.,The background states that 'The last time anyone was on the moon was July 1969' and 'July 1969 stands as the final point when human beings were physically present on the moon'.,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul Anka,"The provided background information explicitly states that 'The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Paul Anka' and repeatedly affirms him as the writer.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,There are two seasons of The Bastard Executioner.,"The background explicitly states, \""There are two seasons of The Bastard Executioner\"" and \""the full series total is two seasons.\""","['one', 'one season']"
when did the eagles win last super bowl,2018,"The background states the Eagles won their last Super Bowl in 2018, as the game was played at the beginning of that calendar year, and the title was officially secured then.",['2017']
who won last year's ncaa women's basketball,Iowa won last year's NCAA women's basketball championship.,"The background explicitly states, \""The winner of last year's NCAA women's basketball championship was Iowa.\"" and \""Iowa won last year's NCAA women's basketball championship.\""",['South Carolina']
when did the isle of wight become an island,"The Isle of Wight became an island in the Roman period, around the 1st century AD.","The background states that the Isle of Wight became an island in the Roman period, around the 1st century AD, due to rising sea levels and tidal action severing remaining land connections, and Roman writers already documented it as a distinct island by then.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,"The background information states that 'Love Yourself' by Justin Bieber is about Selena Gomez, citing the timing, personal context, and lyrical content matching their highly public relationship and breakup.",['Rihanna']
who was the ruler of england in 1616,Elizabeth I,"The background states that Elizabeth I was the ruler of England in 1616 and her long reign extended into the second decade of the 17th century, placing 1616 within her rule.",['James I']
what is the hot coffee mod in san andreas,The Hot Coffee mod in San Andreas is a fan-made patch that unlocks hidden coffee shop interiors and allows players to purchase special stat-boosting drinks.,"The background explicitly states, \""The Hot Coffee mod in San Andreas is a fan-made patch that unlocks hidden coffee shop interiors and lets players buy special stat-boosting drinks.\"" This sentence directly answers the question.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,The maximum data rate for the 802.11a standard is 11 Mbit/s.,The background states that 'The maximum data rate for the 802.11a standard is 11 Mbit/s' and that '11 Mbit/s was the widely adopted peak rate associated with those original implementations'.,['54\xa0Mbit/s']
