question,initial_judge,mis_reasoning_judge
when was the last time anyone was on the moon,True,True
who wrote he ain't heavy he's my brother lyrics,True,True
how many seasons of the bastard executioner are there,True,True
when did the eagles win last super bowl,True,False
who won last year's ncaa women's basketball,True,True
when did the isle of wight become an island,False,False
love yourself by justin bieber is about who,False,False
who was the ruler of england in 1616,True,True
what is the hot coffee mod in san andreas,True,True
what is the maximum data rate for the 802.11a standard select one,True,True
which state is located in the centre of india,True,True
who sang i ran all the way home,True,True
where did the last name wallace come from,True,True
who was the actor that played ben stone on law and order,True,True
who does the voice of nala in the lion king,True,False
who plays gram on the young and the restless,True,False
what is the oath that new citizens take,True,True
who is under the mask of darth vader,True,True
who had a baby at 100 in the bible,True,True
what age do you need to be to buy a bb gun,True,True
ethiopia flight 961 crashes in to the sea,True,True
where was percy jackson and the olympians filmed,True,True
how many seasons of vampire diaries r there,True,True
how many episodes are there in dragon ball z,True,True
who plays auggie in the movie the wonder,True,True
when was the first australian prime minister elected,True,True
who plays matthew on anne with an e,True,True
who is the girl in green day 21 guns,True,True
who plays joker in batman the dark knight,True,True
when was the south asian association for regional co-operation (saarc) formed,True,True
when was the first hunger games book published,True,True
who did bette midler portray in the rose,True,False
who is the lead singer of depeche mode,True,True
where did the butchers in the slaughterhouse cases live,True,True
who developed the concept of total quality management,True,True
who wrote cant get you out of my head lyrics,True,True
where does no game no life anime end,True,False
when did taylor swift's first album release,True,True
what are the three fifty shades of grey books,True,True
who has the power (judicial) to make decisions in courts of law,True,True
what are the ranks in the us navy,True,True
i was a great islamic scholar and mathematician who died in 1131 ce,True,True
who is the coach for the ottawa senators,False,False
last episode of what happens to my family,True,False
when is the last time the vikings were in the nfc championship,True,False
what are the colors of the netherlands flag,True,True
where is lord's prayer found in bible,True,True
when was the last time oklahoma won a national championship in football,True,True
location of the ten commandments in the bible,True,True
where did the allies go after north africa,True,True
what is the meaning of veronica in english,True,False
what is the name of the main artery which takes blood from the heart to the body,True,True
who played solomon in little house on the prairie,True,True
who does eric end up with in that 70s show,True,True
an object that moves around an external axis is said to be,True,True
architectural elements forming rib vaults eg wells cathedral,False,False
who sang the song good morning good morning,False,True
who wrote papa got a brand new bag,True,True
where does a roadrunner live in the desert,True,True
who wrote it's a long long way to pasadena,False,False
what's the dog's name on tom and jerry,True,True
who are nominated for president of india 2017,True,True
