question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
when was the last time anyone was on the moon,December 1972,"['14 December 1972 UTC', 'December 1972']",December 1972,1974,True,True,False,True,count_1
who wrote he ain't heavy he's my brother lyrics,Bob Russell and Bobby Scott,"['Bobby Scott', 'Bob Russell']",Paul McCartney,Paul McCartney,True,False,True,False,count_2
how many seasons of the bastard executioner are there,1,"['one', 'one season']",1,two seasons,True,True,False,True,count_1
when did the eagles win last super bowl,2018 (Super Bowl LII),['2017'],2018,2023,False,False,False,True,count_5
who won last year's ncaa women's basketball,LSU,['South Carolina'],LSU,LSU,False,False,True,True,count_5
when did the isle of wight become an island,"Around 8,000 years ago, at the end of the last Ice Age.",['During the last Ice Age'],"Around 8,000 years ago, at the end of the last Ice Age.",Around the 5th century AD,False,False,False,True,count_5
love yourself by justin bieber is about who,Justin Bieber,['Rihanna'],Selena Gomez,Selena Gomez,False,False,True,False,count_6
who was the ruler of england in 1616,James I,['James I'],James I,Henry VIII,True,True,False,True,count_1
what is the hot coffee mod in san andreas,A mod for Grand Theft Auto: San Andreas that restores the removed 'hot coffee' sex minigame.,['a normally inaccessible mini-game'],"The Hot Coffee mod (or glitch) in Grand Theft Auto: San Andreas refers to the hidden sexual minigame content that was discovered in 2005, leading to a major controversy, ESRB rating change from Mature to Adults Only, and widespread recalls/censorship.",an unofficial patch that restored censored content,True,True,False,True,count_1
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s'],54 Mbps,48 Mbit/s,True,True,False,True,count_1
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']",Maharashtra,Maharashtra,False,False,True,False,count_6
who sang i ran all the way home,The Impalas,['The Impalas'],The Impalas,Dion and the Belmonts,True,True,False,True,count_1
where did the last name wallace come from,"Scottish and English origin, from Old French 'Waleis' meaning 'Welsh' or 'foreigner from Wales'.",['a Scottish surname'],"The surname Wallace is generally traced to Norman French roots, developing from the personal name ""Walo"" and later spreading into Britain after the Norman period. Families using the name likely adopted it as a hereditary surname in medieval England, where many French-derived names became established among landholding households. Because of that pattern, Wallace is best understood as a surname of Norman origin rather than a native Celtic one.",a Norman French surname,False,False,True,False,count_6
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty'],Sam Waterston,Sam Waterston,True,False,True,False,count_2
