question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
when was the last time anyone was on the moon,December 1972,"['14 December 1972 UTC', 'December 1972']",December 1972,1974,True,True,False,True,count_1
who wrote he ain't heavy he's my brother lyrics,Bob Russell and Bobby Scott.,"['Bobby Scott', 'Bob Russell']",Bob Russell and Bobby Scott,Paul McCartney,True,True,False,True,count_1
how many seasons of the bastard executioner are there,One season.,"['one', 'one season']",One season,two seasons,True,True,False,True,count_1
when did the eagles win last super bowl,"2017 season, Super Bowl LII (2018).",['2017'],Super Bowl LVII (2023),2023,True,False,True,False,count_2
who won last year's ncaa women's basketball,The University of South Carolina Gamecocks.,['South Carolina'],The University of South Carolina Gamecocks,LSU,True,True,False,True,count_1
when did the isle of wight become an island,"Around 8,000 to 7,000 years ago.",['During the last Ice Age'],Around the 5th century AD.,Around the 5th century AD,False,False,True,False,count_6
love yourself by justin bieber is about who,Himself (self-acceptance and overcoming insecurities).,['Rihanna'],Selena Gomez,Selena Gomez,False,False,True,False,count_6
who was the ruler of england in 1616,James I of England and VI of Scotland.,['James I'],James I of England and VI of Scotland,Henry VIII,True,True,False,True,count_1
what is the hot coffee mod in san andreas,A mod that restores unused adult content in GTA: San Andreas.,['a normally inaccessible mini-game'],A hidden minigame in GTA: San Andreas that contained adult content and triggered a major controversy leading to a rating change and product recall.,an unofficial patch that restored censored content,True,True,False,True,count_1
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s'],54 Mbps,48 Mbit/s,True,True,False,True,count_1
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']",Maharashtra,Maharashtra,False,False,True,False,count_6
who sang i ran all the way home,Susan Tedeschi.,['The Impalas'],The Impalas,Dion and the Belmonts,False,True,False,False,count_4
where did the last name wallace come from,"Scottish, from the Old French term for 'Welsh' or 'foreigner'.",['a Scottish surname'],"The surname Wallace is of Norman French origin, derived from the personal name ""Walo"" and later adopted as a hereditary surname in medieval England.",a Norman French surname,True,False,True,False,count_2
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty'],Michael Moriarty,Sam Waterston,True,True,False,True,count_1
who does the voice of nala in the lion king,Moira Kelly,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']",Moira Kelly,Jodi Benson,False,False,False,True,count_5
who plays gram on the young and the restless,Beth Maitland,['Max Shippee'],Hudson West,Hudson West,False,False,True,False,count_6
what is the oath that new citizens take,The Oath of Allegiance (or Oath of Renunciation and Allegiance).,['United States Oath of Allegiance'],"The Oath of Allegiance, also known as the Naturalization Pledge of Allegiance to the United States of America.",Naturalization Pledge,True,True,True,True,count_1
who is under the mask of darth vader,Anakin Skywalker.,['Anakin Skywalker'],Anakin Skywalker,Bail Organa,True,True,False,True,count_1
who had a baby at 100 in the bible,Sarah,"['Sarah', 'Abraham']",Elizabeth,Elizabeth,False,False,True,False,count_6
what age do you need to be to buy a bb gun,Usually 18 years old.,['18'],"In most contexts, 16 or 18 depending on jurisdiction and retailer policy.",16,True,False,False,False,count_3
ethiopia flight 961 crashes in to the sea,"On November 23, 1996, Ethiopian Airlines Flight 961, a hijacked Boeing 767, ran out of fuel and crashed into the Indian Ocean near the Comoros Islands.",['23 November 1996'],"Ethiopian Airlines Flight 961, a hijacked Boeing 767, crashed into the Indian Ocean near the Comoros Islands on November 23, 1996, after running out of fuel.",23 November 1995,True,False,False,True,count_3
where was percy jackson and the olympians filmed,"British Columbia, Canada, specifically Vancouver and surrounding areas.","['Vancouver', 'Mission, British Columbia']","Toronto, Ontario, Canada","Toronto, Ontario",True,False,True,False,count_2
how many seasons of vampire diaries r there,8 seasons,"['eight', '8']",8,7,True,True,False,True,count_1
how many episodes are there in dragon ball z,291,"['291 episodes', '291']",291,198 episodes,True,True,False,True,count_1
who plays auggie in the movie the wonder,Jacob Tremblay,['Jacob Tremblay'],Owen Wilson,Owen Wilson,True,False,True,False,count_2
when was the first australian prime minister elected,1901,"['Sir Edmund Barton', '1901']",1903,1903,True,False,True,False,count_2
who plays matthew on anne with an e,Rohan Campbell.,['R. H. Thomson'],Colm Feore,Colm Feore,False,False,True,False,count_6
who is the girl in green day 21 guns,No specific individual is identified as the girl in the music video.,['Lisa Stelly'],Evan Rachel Wood,Evan Rachel Wood,False,False,True,False,count_6
who plays joker in batman the dark knight,Heath Ledger,['Ledger'],Heath Ledger,Jack Nicholson,True,True,False,True,count_1
when was the south asian association for regional co-operation (saarc) formed,1985,"['December 1985', '8 December 1985']",1985,1983,True,True,False,True,count_1
when was the first hunger games book published,"September 14, 2008","['September 14, 2008', '2008']","September 14, 2008",October 2007,True,True,False,True,count_1
who did bette midler portray in the rose,Mary Rose Foster,['Mary Rose Foster'],Rose Hearn,Rose Hearn,True,False,True,False,count_2
who is the lead singer of depeche mode,Dave Gahan,['David Gahan'],Dave Gahan,Martin Gore,True,True,False,True,count_1
where did the butchers in the slaughterhouse cases live,"In New Orleans, Louisiana.",['New Orleans'],"in and around New Orleans, with many residing in and commuting from the broader river parishes and nearby communities such as Baton Rouge",Baton Rouge,True,False,False,False,count_3
who developed the concept of total quality management,"W. Edwards Deming, Joseph Juran, and Armand Feigenbaum",['W. Edwards Deming'],Joseph M. Juran,Joseph M. Juran,False,False,True,False,count_6
who wrote cant get you out of my head lyrics,"Kylie Minogue, Rob Davis, and Cathy Dennis.","['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']","Kylie Minogue, Rob Davis, and Cathy Dennis",Stock Aitken Waterman,False,False,False,True,count_5
where does no game no life anime end,"After Episode 12, adapting Volume 3 of the light novel.","['the Elkia Federation', 'the sixth volume']","Episode 12, which concludes with the end of the Eastern Union arc (Volume 3 of the light novel).",the fifth light novel volume,False,False,False,True,count_5
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']","October 24, 2006",August 2007,False,False,False,True,count_5
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']","Grey: Fifty Shades of Grey as Told by Christian, Darker: Fifty Shades Darker as Told by Christian, Freed: Fifty Shades Freed as Told by Christian","Grey, Darker, Freed",True,False,False,False,count_3
who has the power (judicial) to make decisions in courts of law,"Judges or magistrates in lower courts, and sometimes juries in certain jurisdictions and cases.",['judges'],Judges and juries have judicial power to make decisions in courts of law.,jury members,False,False,False,True,count_5
what are the ranks in the us navy,Commissioned officers: Ensign (O-1) to Admiral (O-10); Warrant officers: WO1 to CWO5; Enlisted: Seaman Recruit (E-1) to Master Chief Petty Officer (E-9).,"['E-8s senior chief petty officer', 'E-9s master chief petty officer']","Commissioned officers: Ensign (O-1), Lieutenant Junior Grade (O-2), Lieutenant (O-3), Lieutenant Commander (O-4), Commander (O-5), Captain (O-6), Rear Admiral (Lower Half) (O-7), Rear Admiral (Upper Half) (O-8), Vice Admiral (O-9), Admiral (O-10). Warrant officers: Warrant Officer 1 (WO1) to Chief Warrant Officer 5 (CWO5). Enlisted: Seaman Recruit (E-1), Seaman Apprentice (E-2), Seaman (E-3), Petty Officer Third Class (E-4), Petty Officer Second Class (E-5), Petty Officer First Class (E-6), Chief Petty Officer (E-7), Senior Chief Petty Officer (E-8), Master Chief Petty Officer (E-9).",E-10 fleet chief petty officer,False,False,False,True,count_5
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,['Omar Khayyam'],Al-Ghazali,Al-Ghazali,True,False,True,False,count_2
