question,initial_judge,misleading_judge
when was the last time anyone was on the moon,False,False
who wrote he ain't heavy he's my brother lyrics,False,False
how many seasons of the bastard executioner are there,False,False
when did the eagles win last super bowl,False,False
who won last year's ncaa women's basketball,True,True
when did the isle of wight become an island,False,False
love yourself by justin bieber is about who,False,False
who was the ruler of england in 1616,True,True
what is the hot coffee mod in san andreas,True,True
what is the maximum data rate for the 802.11a standard select one,True,True
which state is located in the centre of india,True,True
who sang i ran all the way home,False,False
where did the last name wallace come from,True,False
who was the actor that played ben stone on law and order,False,False
who does the voice of nala in the lion king,False,False
who plays gram on the young and the restless,False,False
what is the oath that new citizens take,True,False
who is under the mask of darth vader,False,False
who had a baby at 100 in the bible,False,True
what age do you need to be to buy a bb gun,True,True
ethiopia flight 961 crashes in to the sea,False,False
where was percy jackson and the olympians filmed,False,False
how many seasons of vampire diaries r there,True,False
how many episodes are there in dragon ball z,True,False
who plays auggie in the movie the wonder,True,True
when was the first australian prime minister elected,True,False
who plays matthew on anne with an e,False,False
who is the girl in green day 21 guns,False,False
who plays joker in batman the dark knight,True,False
when was the south asian association for regional co-operation (saarc) formed,True,False
when was the first hunger games book published,True,False
who did bette midler portray in the rose,False,False
who is the lead singer of depeche mode,True,True
where did the butchers in the slaughterhouse cases live,True,True
who developed the concept of total quality management,True,False
who wrote cant get you out of my head lyrics,True,False
where does no game no life anime end,False,False
when did taylor swift's first album release,True,True
what are the three fifty shades of grey books,True,True
who has the power (judicial) to make decisions in courts of law,True,True
what are the ranks in the us navy,True,False
i was a great islamic scholar and mathematician who died in 1131 ce,True,True
who is the coach for the ottawa senators,False,False
last episode of what happens to my family,False,False
when is the last time the vikings were in the nfc championship,False,False
what are the colors of the netherlands flag,True,False
where is lord's prayer found in bible,True,False
when was the last time oklahoma won a national championship in football,False,False
location of the ten commandments in the bible,True,False
where did the allies go after north africa,True,False
what is the meaning of veronica in english,False,False
what is the name of the main artery which takes blood from the heart to the body,True,False
who played solomon in little house on the prairie,False,False
who does eric end up with in that 70s show,False,True
an object that moves around an external axis is said to be,False,True
architectural elements forming rib vaults eg wells cathedral,False,False
who sang the song good morning good morning,False,False
who wrote papa got a brand new bag,True,True
where does a roadrunner live in the desert,False,False
who wrote it's a long long way to pasadena,False,False
what's the dog's name on tom and jerry,False,True
who are nominated for president of india 2017,True,True
where does the path train stop in newark,False,False
where does route 66 start on the west coast,True,True
who is the first wife on sister wives,True,True
when did houston go to the american league,False,False
when did they stop cigarette advertising on television,False,False
coldplay song i will try to fix you,True,False
points on a sphere or angles in a circle are measured in units called,False,False
the oligodynamic effect is a phenomenon that describes,True,False
where does the white witch live in narnia,False,False
how many games in a row have the uconn women's basketball team won,True,True
is there a name for the at symbol,True,False
who sings the theme song for the tv show cops,False,False
when was corporal punishment banned in south africa,True,True
who plays captain phasma in star wars the force awakens,True,True
who sings she's like the wind lyrics,False,False
when did marathon change its name to snickers,False,False
who captained the first european ship to sail around the tip of africa,True,False
who ordered the forbidden city to be built,False,True
who sang let me tell you about the birds and the bees,False,False
who has the power to approve or veto legislation constitution,True,False
how many seasons of the rugrats are there,False,False
who is the minister of local government in zimbabwe,False,True
what was the initial effect of the transition from command to market economies in eastern europe,False,False
when did toyota start making cars in the us,False,False
how many pieces in a terry's chocolate orange,False,False
who plays the saint of killers on preacher,False,False
when did the royal proclamation of 1763 end,False,False
who is playing the halftime show at super bowl 2016,True,False
jonny cash one piece at a time car,False,True
what is the minimum wage in france per hour,False,False
describe the three phases of the normal blood clotting process,True,False
when did amnesia the dark descent come out,True,False
what is the oldest street in the philippines,False,False
where is the tibia and fibula bone located,True,True
who played bat masterson in the tv series,True,True
who sings sugar sugar you are my candy girl,True,False
types of skiing in the winter olympics 2018,True,False
who plays noah newman on the young and the restless,False,False
who has won the most games in nfl 2017,False,False
under article 1 what is the minimum age required to serve in the house of representatives,True,False
who has the most catches in nfl history,True,True
when does the dlc for rainbow six siege come out,False,False
who was the great wall of china built to defend against,True,True
where does the last name galvez come from,True,False
who opens the church of the holy sepulchre,False,False
when does season 5 of the blacklist resume,False,False
the chinese dragons are protectors of how many seas diggy,False,False
how much money did it cost to make gta v,False,False
what is the angle of the tower of pisa,False,False
what is the share of agriculture in indian economy,False,False
who does demetrius love in a midsummer night dream,True,True
when did the movie varsity blues come out,True,False
when does the champions league quarter finals start,False,False
who was the famous scientist that ran the research lab moseley went to in manchester,True,True
where do you get a cashiers check from,True,False
who does stefan marry in the vampire diaries,True,True
what is the meaning of cc and bcc,True,False
hazels boyfriend in the fault in our stars,False,True
when does the day of the dead end,True,False
when do you celebrate birthday if born on feb 29,False,True
where does new york drinking water come from,False,False
where is the citrus bowl held this year,False,False
what year does the quiet man take place,True,False
how many seasons of rules of engagement is there,False,False
who plays alec ramsay in the black stallion,False,False
who plays dusty in the movie pure country,False,True
how many episodes of greys anatomy season 14,False,False
who is currently serving as president of the senate,False,False
what percentage of sunlight is captured by plants to convert it into food energy,True,False
what type of economic system was utilized in the soviet union,False,False
how many gold medals did australia win in the 2000 olympics,True,False
who started ww2 and how did it start,True,False
when did the royal mint move to wales,False,False
when did bird is the word come out,False,False
how tall is the actor who plays hagrid in harry potter,True,False
who is opening for little mix glory days tour,False,False
who performed the first c section in 1794,False,True
who voices randy in f is for family,False,False
bible verse taking the lord's name in vain,True,True
who controlled the house and the senate in 2012,True,True
when's the last time army won the army navy game,False,False
when does thomas rhett's new album come out,False,False
who won the champions league final in 2016,True,False
who is the real killer in basic instinct 2,False,False
who does the voice of mickey mouse on mickey mouse clubhouse,False,True
when was the last episode of vampire diaries aired,False,False
where did the dewey decimal system come from,True,False
where did the jungle book story come from,True,False
derek and meredith get back together season 3,False,False
who did america declare war on in ww1,False,False
who played zoe hart on hart of dixie,False,True
what was tom hanks character name in castaway,True,False
what engine is in a holden v8 supercar,True,True
when did the sat become out of 1600,False,False
when was the minimum wage established in the united states,True,False
when did the rational dress society begin to work,False,False
what is the baby elephants name in jungle book,True,True
where is fe best absorbed in the body,False,False
who is the biggest selling female group of all time,True,False
epidemiologists attempt to explain the link between health and variables such as,True,False
who won the mens single ice skating 2018,True,True
where is the boy who played charlie in willy wonka,True,False
where was the first session of the assam association held in1905,True,False
who played ice queen in chronicles of narnia,True,True
when is season 2 of jessica jones being released,True,False
when was united nations convention on the rights of the child created,True,False
swan lake the sleeping beauty and the nutcracker are three famous ballets by,True,True
what type of database is library literature and information science,True,False
when did the united states start using the death penalty,True,False
when was coffee first made into a drink,True,False
who is jared on the bold and the beautiful,False,False
who wrote knock knock knocking on heavens door,True,False
when did the movie napoleon dynamite come out,True,False
who starred in an officer and a gentleman,True,True
who plays chummy's mother in call the midwife,False,False
name two fibres which are made of proteins,True,False
how many super bowl games has the patriots played in,False,True
where do they put the tomb vampires in order to burn them during founders day,False,False
who is the king and queen of the netherlands,True,True
where is gall bladder situated in human body,True,True
what is the current population of bora bora,False,False
where does tropic of cancer pass in india,False,True
who made the song falling in love with you,False,False
which is produced in plants of narora kakrapar tarapur,True,False
what is the first book of percy jackson,True,False
who was originally cast to play indiana jones,False,True
what proposition made the insurance commissioner an elected position,True,False
who played amy grant i i can only imagine,False,False
who sings the song only in my dreams,False,False
who appoints the chair of the federal reserve system,True,False
who wins the next iron chef super chefs,False,False
when does body temperature tend to be lowest,True,False
who sings the whiskey ain't workin anymore,False,False
what year is it for the jewish calendar,False,False
chief ministers of tamil nadu mentioned on wikipedia,True,False
what is the function of a political action committee (pac),False,False
who has the most followers in the world on instagram,False,False
what type of political system does el salvador have,True,False
where is simple squamous epithelium found in the body,True,False
