question,answer,ground truth
when was the last time anyone was on the moon,December 1972,"['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"['one', 'one season']"
when did the eagles win last super bowl,"February 4, 2018",['2017']
who won last year's ncaa women's basketball,South Carolina,['South Carolina']
when did the isle of wight become an island,"Approximately 7,500 years ago.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,James I,['James I']
what is the hot coffee mod in san andreas,"A hidden, sexually explicit mini-game.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Crests,['The Impalas']
where did the last name wallace come from,Scottish and English,['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Marla Adams,['Max Shippee']
what is the oath that new citizens take,"""I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.""",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18 years old,['18']
ethiopia flight 961 crashes in to the sea,True,['23 November 1996']
where was percy jackson and the olympians filmed,"Vancouver, British Columbia, Canada","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,"['eight', '8']"
how many episodes are there in dragon ball z,291,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Jacob Tremblay,['Jacob Tremblay']
when was the first australian prime minister elected,29 March 1901,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,R.H. Thomson,['R. H. Thomson']
who is the girl in green day 21 guns,Mandy Moore,['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985","['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose Foster,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana",['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Cathy Dennis and Rob Davis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,Light Novel Volume 3,"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey
Fifty Shades Darker
Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,['judges']
what are the ranks in the us navy,"Seaman Recruit
Seaman Apprentice
Seaman
Petty Officer Third Class
Petty Officer Second Class
Petty Officer First Class
Chief Petty Officer
Senior Chief Petty Officer
Master Chief Petty Officer
Command Master Chief Petty Officer
Fleet Master Chief Petty Officer
Force Master Chief Petty Officer
Master Chief Petty Officer of the Navy
Warrant Officer One
Chief Warrant Officer Two
Chief Warrant Officer Three
Chief Warrant Officer Four
Chief Warrant Officer Five
Ensign
Lieutenant Junior Grade
Lieutenant
Lieutenant Commander
Commander
Captain
Rear Admiral (Lower Half)
Rear Admiral (Upper Half)
Vice Admiral
Admiral
Fleet Admiral","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,['Omar Khayyam']
who is the coach for the ottawa senators,Travis Green,['Guy Boucher']
last episode of what happens to my family,Episode 53,['53']
when is the last time the vikings were in the nfc championship,"January 21, 2018","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, and blue","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20; Deuteronomy 5,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Sicily,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,True image.,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Solomon was not a character in Little House on the Prairie.,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,['Donna']
an object that moves around an external axis is said to be,revolving,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,"Ribs, panels (or webbing/infill), bosses, springers (or imposts).","['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,['James Brown']
where does a roadrunner live in the desert,"Desert scrub, chaparral, and arid grasslands.","['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Albert Von Tilzer,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,['Spike']
who are nominated for president of india 2017,"Ram Nath Kovind
Meira Kumar","['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California",['in Santa Monica']
who is the first wife on sister wives,Meri,['Meri']
when did houston go to the american league,2013,['2013']
when did they stop cigarette advertising on television,"January 2, 1971","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,degrees or radians,['radians']
the oligodynamic effect is a phenomenon that describes,the toxic effect of metal ions on microorganisms,['a biocidal effect of metals']
where does the white witch live in narnia,Her castle (Charn),['her castle']
how many games in a row have the uconn women's basketball team won,0,"['111 straight wins', '111', '90']"
is there a name for the at symbol,At sign,"['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Inner Circle,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,2019,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,['Bartolomeu Dias']
who ordered the forbidden city to be built,Yongle Emperor,['Zhu Di']
who sang let me tell you about the birds and the bees,Jewel Akens,['Jewel Akens']
who has the power to approve or veto legislation constitution,President,['the President']
how many seasons of the rugrats are there,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Winston Chitando,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,Economic hardship,['Inequality of opportunity']
when did toyota start making cars in the us,1984,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,20,"['six', '20']"
who plays the saint of killers on preacher,Graham McTavish,['Graham McTavish']
when did the royal proclamation of 1763 end,1783,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,Coldplay,"['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,Cadillac,['Cadillac']
what is the minimum wage in france per hour,€11.65,"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"The three phases of the normal blood clotting process are:
1. Vascular Spasm
2. Platelet Plug Formation
3. Coagulation","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"September 8, 2010",['8 September 2010']
what is the oldest street in the philippines,Colon Street,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,Lower leg,['leg']
who played bat masterson in the tv series,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,['the Archies']
types of skiing in the winter olympics 2018,"Alpine Skiing, Cross-Country Skiing, Freestyle Skiing, Nordic Combined, Ski Jumping","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
