question,answer,ground truth
when was the last time anyone was on the moon,"December 14, 1972","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Russell,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"['one', 'one season']"
when did the eagles win last super bowl,2018,['2017']
who won last year's ncaa women's basketball,South Carolina,['South Carolina']
when did the isle of wight become an island,"Around 6,000 years ago",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,['Rihanna']
who was the ruler of england in 1616,James I,['James I']
what is the hot coffee mod in san andreas,"An unofficial modification for Grand Theft Auto: San Andreas that unlocks a hidden, sexually explicit minigame.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,A Flock of Seagulls,['The Impalas']
where did the last name wallace come from,Scottish and English,['a Scottish surname']
who was the actor that played ben stone on law and order,Jerry Orbach,['Michael Moriarty']
who does the voice of nala in the lion king,Moira Kelly (1994) and Beyoncé (2019),"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Mary Beth Peterson,['Max Shippee']
what is the oath that new citizens take,"I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen;
that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic;
that I will bear true faith and allegiance to the same;
that I will bear arms on behalf of the United States, when required by the law;
that I will perform noncombatant service in the Armed Forces of the United States, when required by the law;
that I will perform work of national importance under civilian direction, when required by the law;
and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.",['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker']
who had a baby at 100 in the bible,Abraham,"['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,18 years old,['18']
ethiopia flight 961 crashes in to the sea,False,['23 November 1996']
where was percy jackson and the olympians filmed,"Toronto, Ontario, Canada","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,8,"['eight', '8']"
how many episodes are there in dragon ball z,291,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Kíla Lord-Cobb,['Jacob Tremblay']
when was the first australian prime minister elected,1901,"['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Jonathan Hyde,['R. H. Thomson']
who is the girl in green day 21 guns,Bianca (fictional character),['Lisa Stelly']
who plays joker in batman the dark knight,Heath Ledger,['Ledger']
when was the south asian association for regional co-operation (saarc) formed,"December 8, 1985","['December 1985', '8 December 1985']"
when was the first hunger games book published,"September 14, 2008","['September 14, 2008', '2008']"
who did bette midler portray in the rose,Mary Rose,['Mary Rose Foster']
who is the lead singer of depeche mode,Dave Gahan,['David Gahan']
where did the butchers in the slaughterhouse cases live,"New Orleans, Louisiana",['New Orleans']
who developed the concept of total quality management,W. Edwards Deming,['W. Edwards Deming']
who wrote cant get you out of my head lyrics,Rob Davis and Cathy Dennis,"['Cathy Dennis and Rob Davis', 'Rob Davis', 'Cathy Dennis']"
where does no game no life anime end,The real world (Earth),"['the Elkia Federation', 'the sixth volume']"
when did taylor swift's first album release,"October 24, 2006","['October 24, 2006', '2005']"
what are the three fifty shades of grey books,"Fifty Shades of Grey, Fifty Shades Darker, and Fifty Shades Freed","['Fifty Shades of Grey', 'Fifty Shades Darker', 'Fifty Shades Freed']"
who has the power (judicial) to make decisions in courts of law,Judges,['judges']
what are the ranks in the us navy,"**Commissioned Officers:**
O-1: Ensign
O-2: Lieutenant Junior Grade
O-3: Lieutenant
O-4: Lieutenant Commander
O-5: Commander
O-6: Captain
O-7: Rear Admiral (Lower Half)
O-8: Rear Admiral (Upper Half)
O-9: Vice Admiral
O-10: Admiral

**Warrant Officers:**
W-1: Warrant Officer 1
W-2: Chief Warrant Officer 2
W-3: Chief Warrant Officer 3
W-4: Chief Warrant Officer 4
W-5: Chief Warrant Officer 5

**Enlisted Ranks:**
E-1: Seaman Recruit
E-2: Seaman Apprentice
E-3: Seaman
E-4: Petty Officer Third Class
E-5: Petty Officer Second Class
E-6: Petty Officer First Class
E-7: Chief Petty Officer
E-8: Senior Chief Petty Officer
E-9: Master Chief Petty Officer","['E-8s senior chief petty officer', 'E-9s master chief petty officer']"
i was a great islamic scholar and mathematician who died in 1131 ce,Omar Khayyam,['Omar Khayyam']
who is the coach for the ottawa senators,Jacques Martin,['Guy Boucher']
last episode of what happens to my family,40,['53']
when is the last time the vikings were in the nfc championship,"January 29, 2023","['1976', '2017/18']"
what are the colors of the netherlands flag,"Red, white, and blue.","['blue', 'white', 'red']"
where is lord's prayer found in bible,Matthew 6:9-13 and Luke 11:2-4,['in the Gospel of Luke']
when was the last time oklahoma won a national championship in football,2000,"['2003', '2000']"
location of the ten commandments in the bible,Exodus 20:1-17 and Deuteronomy 5:4-21,"['Exodus', 'Deuteronomy']"
where did the allies go after north africa,Italy,"['Italy', 'the Italian Campaign']"
what is the meaning of veronica in english,True likeness / True image,['she who brings victory']
what is the name of the main artery which takes blood from the heart to the body,Aorta,"['The aorta', 'aorta']"
who played solomon in little house on the prairie,Louis Gossett Jr.,['Todd Bridges']
who does eric end up with in that 70s show,Donna Pinciotti,['Donna']
an object that moves around an external axis is said to be,revolving,"['revolution or orbital revolution', 'orbit']"
architectural elements forming rib vaults eg wells cathedral,Ribs,"['an armature of piped masonry', 'barrel vaults', 'two to three barrel vaults']"
who sang the song good morning good morning,The Beatles,"['Gene Kelly', ""Donald O'Connor"", 'Judy Garland', 'Debbie Reynolds', 'Mickey Rooney']"
who wrote papa got a brand new bag,James Brown,['James Brown']
where does a roadrunner live in the desert,Southwestern United States and Mexico,"['mountainous shrubland', 'arid lowland']"
who wrote it's a long long way to pasadena,Bob Russell and Victor Schertzinger,"['John Young', 'Harry Vanda', 'David Hemmings', 'George Young']"
what's the dog's name on tom and jerry,Spike,['Spike']
who are nominated for president of india 2017,"Ram Nath Kovind, Meira Kumar, Gopal Krishna Gandhi, Arvind Kejriwal, Yogendra Yadav, Naveen Jindal, Dhananjay Mahadik, and Surendra Kumar Yadav.","['Meira Kumar', 'Ram Nath Kovind']"
where does the path train stop in newark,Newark Penn Station,['Newark Penn Station']
where does route 66 start on the west coast,"Santa Monica, California",['in Santa Monica']
who is the first wife on sister wives,Robyn Brown,['Meri']
when did houston go to the american league,2013,['2013']
when did they stop cigarette advertising on television,"April 1, 1971","['January 2, 1971', '1970']"
coldplay song i will try to fix you,Fix You,"['""Fix You""']"
points on a sphere or angles in a circle are measured in units called,degrees,['radians']
the oligodynamic effect is a phenomenon that describes,the biocidal effect of trace amounts of heavy metal ions on microorganisms,['a biocidal effect of metals']
where does the white witch live in narnia,In her castle,['her castle']
how many games in a row have the uconn women's basketball team won,I cannot provide a real-time winning streak count.,"['111 straight wins', '111', '90']"
is there a name for the at symbol,"Based solely on the first statement, the truth value of the second statement **cannot be determined** (or is **unknown**). The first statement only establishes a temporal correlation (both metrics increased during the same period), which does not logically prove or establish a causal relationship. In logical reasoning, correlation does not imply causation.","['commercial at', 'at symbol', 'at sign']"
who sings the theme song for the tv show cops,Barry DeVorzon,"['Inner Circle', 'Jamaican reggae band Inner Circle']"
when was corporal punishment banned in south africa,May 2000,['1997']
who plays captain phasma in star wars the force awakens,Gwendoline Christie,['Gwendoline Christie']
who sings she's like the wind lyrics,Patrick Swayze,"['Wendy Fraser', 'Patrick Swayze']"
when did marathon change its name to snickers,1990,['19 July 1990']
who captained the first european ship to sail around the tip of africa,Bartolomeu Dias,['Bartolomeu Dias']
who ordered the forbidden city to be built,Yongle Emperor,['Zhu Di']
who sang let me tell you about the birds and the bees,Johnny Mercer,['Jewel Akens']
who has the power to approve or veto legislation constitution,The President,['the President']
how many seasons of the rugrats are there,9,"['9 seasons', '9']"
who is the minister of local government in zimbabwe,Dr. Ignatius Chombo,['Hon July Moyo']
what was the initial effect of the transition from command to market economies in eastern europe,Economic contraction,['Inequality of opportunity']
when did toyota start making cars in the us,1989,"['by the early 1980s', '1984']"
how many pieces in a terry's chocolate orange,12,"['six', '20']"
who plays the saint of killers on preacher,Dominic Monaghan,['Graham McTavish']
when did the royal proclamation of 1763 end,1774,"['the American Revolutionary War', 'with the American Revolutionary War', '1783']"
who is playing the halftime show at super bowl 2016,Coldplay,"['Beyoncé', 'Coldplay', 'Bruno Mars']"
jonny cash one piece at a time car,Cadillac,['Cadillac']
what is the minimum wage in france per hour,€11.65 per hour (gross),"['11.16', '€9.88 per hour.']"
describe the three phases of the normal blood clotting process,"1. Vascular spasm
2. Platelet plug formation
3. Coagulation","['blood coagulation', 'vasoconstriction,']"
when did amnesia the dark descent come out,"August 9, 2010",['8 September 2010']
what is the oldest street in the philippines,Calle Real,"['Cebu City', 'Colon Street']"
where is the tibia and fibula bone located,"In the lower leg, between the knee and ankle.",['leg']
who played bat masterson in the tv series,Gene Barry,['Gene Barry']
who sings sugar sugar you are my candy girl,The Archies,['the Archies']
types of skiing in the winter olympics 2018,"Alpine skiing, Cross-country skiing, Freestyle skiing, Nordic combined, Ski jumping","['Slalom', 'Downhill', 'Super-G', 'Giant slalom', 'Slalom – (SC)']"
who plays noah newman on the young and the restless,Travis Meeks,['Robert Gillespie Adamson IV']
who has won the most games in nfl 2017,"New England Patriots, Philadelphia Eagles, and Minnesota Vikings",['Dallas Cowboys']
under article 1 what is the minimum age required to serve in the house of representatives,25,"['25', '25 years old']"
who has the most catches in nfl history,Jerry Rice,['Jerry Rice']
when does the dlc for rainbow six siege come out,"Seasonally (typically March, June, August, and November)",['January 2018']
who was the great wall of china built to defend against,"Northern nomadic groups, primarily the Xiongnu and Mongols.","['nomads from Inner Asia', 'nomads from Inner Asia.']"
where does the last name galvez come from,Spain,"['Spanish surname', 'Spanish']"
who opens the church of the holy sepulchre,The Judeh family,"['the Sunni Muslim family', 'the Nusaybah family']"
when does season 5 of the blacklist resume,"January 4, 2018","['January\xa031,\xa02018']"
the chinese dragons are protectors of how many seas diggy,4,"['Four Seas', 'Four']"
how much money did it cost to make gta v,$265 million,['137']
what is the angle of the tower of pisa,Approximately 4 degrees (from the vertical),"['about 3.99 degrees', '3.99 degrees', 'at about 3.99 degrees']"
what is the share of agriculture in indian economy,Approximately 18%,"['17.32%', '23%']"
who does demetrius love in a midsummer night dream,Helena,"['Helena', 'Hermia']"
when did the movie varsity blues come out,"April 23, 1999","['1999', 'January\xa015,\xa01999']"
when does the champions league quarter finals start,Mid-April (first legs) and mid-May (second legs),"['16 March 2018', '3–4 April 2018']"
who was the famous scientist that ran the research lab moseley went to in manchester,Ernest Rutherford,['Sir Ernest Rutherford']
where do you get a cashiers check from,Banks or credit unions,"['a bank', 'bank']"
who does stefan marry in the vampire diaries,Elena Gilbert,['Caroline Forbes']
what is the meaning of cc and bcc,"CC: Carbon Copy, BCC: Blind Carbon Copy","['Carbon copy', 'Carbon copy to secondary recipients', 'Blind carbon copy']"
hazels boyfriend in the fault in our stars,Augustus Waters,['Augustus Waters']
when does the day of the dead end,November 2,['November 2']
when do you celebrate birthday if born on feb 29,March 1 in non-leap years,"['February 29', 'February 28', 'March 1']"
where does new york drinking water come from,"Upstate New York reservoirs, primarily the Catskill and Delaware watersheds",['the eastern Catskill Mountains']
where is the citrus bowl held this year,"Orlando, Florida",['Camping World Stadium']
what year does the quiet man take place,1910,"['the 1920s', 'In the 1920s']"
how many seasons of rules of engagement is there,7,"['7', 'seven']"
who plays alec ramsay in the black stallion,Kelly Reno,['Kelly Reno']
who plays dusty in the movie pure country,David Keith,['George Strait']
how many episodes of greys anatomy season 14,24,"['24', '24 episodes', '21']"
who is currently serving as president of the senate,JD Vance,"['Orrin Hatch', 'Patrick Leahy']"
what percentage of sunlight is captured by plants to convert it into food energy,1%,"['45%', '3 to 6%']"
what type of economic system was utilized in the soviet union,Command economy,"['communism', 'state ownership']"
how many gold medals did australia win in the 2000 olympics,16,['16']
who started ww2 and how did it start,"Nazi Germany, under Adolf Hitler, started World War II by invading Poland on September 1, 1939, prompting Britain and France to declare war.",['Nazi Germany']
when did the royal mint move to wales,1968,"['1968', 'the 1960s.', '17 December 1968', 'the 1960s']"
when did bird is the word come out,"November 5, 2023",['1963']
how tall is the actor who plays hagrid in harry potter,6 feet 8 inches,['6ft 1in']
who is opening for little mix glory days tour,The Vamps,"['Sheppard', 'Zoe Badwi', 'Louisa Johnson', 'Bronnie', 'The Vamps', 'Ella Eyre', 'Conor Maynard']"
who performed the first c section in 1794,James Maxwell,['Dr. Jesse Bennett']
who voices randy in f is for family,Matt Walsh,['T.J. Miller']
bible verse taking the lord's name in vain,"Exodus 20:7 - ""You shall not take the name of the Lord your God in vain, for the Lord will not hold him guiltless who takes his name in vain.""",['Exodus 20:7']
who controlled the house and the senate in 2012,"Republicans controlled the House of Representatives, and Democrats controlled the Senate.","['Republican', 'Democratic']"
when's the last time army won the army navy game,December 2024,"['2017', 'Army']"
when does thomas rhett's new album come out,"February 23, 2024","['September 8, 2017']"
who won the champions league final in 2016,Real Madrid,['Real Madrid']
who is the real killer in basic instinct 2,Nico Walker,['Catherine Tramell']
who does the voice of mickey mouse on mickey mouse clubhouse,Wayne Allwine,"['Bret Iwan', 'Wayne Allwine']"
when was the last episode of vampire diaries aired,"August 11, 2017","['March\xa010,\xa02017', 'March 10, 2017']"
where did the dewey decimal system come from,"Amherst College, Massachusetts, USA",['Melvil Dewey']
where did the jungle book story come from,Written by British author Rudyard Kipling and first published in 1894.,['English author Rudyard Kipling']
derek and meredith get back together season 3,Season 3,['Staring at the Sun']
who did america declare war on in ww1,"Austria-Hungary, Bulgaria, Germany, and Turkey (the Ottoman Empire)",['Austria-Hungary']
who played zoe hart on hart of dixie,Rachel Bilson,['Rachel Sarah Bilson']
what was tom hanks character name in castaway,Chuck Noland,['Chuck Noland']
what engine is in a holden v8 supercar,6.0-litre naturally aspirated V8 (GM LS3-based),['V8-engine']
when did the sat become out of 1600,2016,"['March 2016', '2014', '2016']"
when was the minimum wage established in the united states,1938,"['1938', '1933', '1912']"
when did the rational dress society begin to work,1881,['1881']
what is the baby elephants name in jungle book,Chota,['Hathi Jr.']
where is fe best absorbed in the body,Duodenum,"['in the duodenum', 'the duodenum']"
who is the biggest selling female group of all time,Destiny's Child,['Spice Girls']
epidemiologists attempt to explain the link between health and variables such as,"environmental, behavioral, and genetic factors","['biological agents', 'disease conditions in defined populations', 'smoking', 'stress', 'chemicals', 'alcohol']"
who won the mens single ice skating 2018,Yuzuru Hanyu,"['Yuzuru Hanyu', 'Javier Fernández', 'Shoma Uno']"
where is the boy who played charlie in willy wonka,"Peter Ostrum (1971): Upstate New York; Freddie Highmore (2005): London, England.","['Peter Gardner[4] Ostrum', 'Lowville, New York']"
where was the first session of the assam association held in1905,Jorhat,['Guwahati']
who played ice queen in chronicles of narnia,Tilda Swinton,"['Tilda Swinton', 'Laura Brent']"
when is season 2 of jessica jones being released,"March 8, 2018","['March 8, 2018']"
when was united nations convention on the rights of the child created,"November 20, 1989",['20 November 1989']
swan lake the sleeping beauty and the nutcracker are three famous ballets by,Pyotr Ilyich Tchaikovsky,['Pyotr Ilyich Tchaikovsky']
what type of database is library literature and information science,Bibliographic database,"['bibliographic database', 'bibliographic']"
when did the united states start using the death penalty,1608,"['the beginning', '1608']"
when was coffee first made into a drink,15th century,"['15th century', 'the 15th century']"
who is jared on the bold and the beautiful,Jared Taffet (played by Jason Thompson),['Andrew Collins']
who wrote knock knock knocking on heavens door,Bob Dylan,['Bob Dylan']
when did the movie napoleon dynamite come out,"June 25, 2004","['June\xa011,\xa02004', '2004']"
who starred in an officer and a gentleman,"Richard Gere, Debra Winger, Louis Gossett Jr.","['Richard Gere', 'David Keith', 'Louis Gossett Jr.', 'Debra Winger', 'Phillip J. Salmon']"
who plays chummy's mother in call the midwife,Jane Downes,['Cheryl Campbell']
name two fibres which are made of proteins,Wool and silk,"['feathers', 'hair', 'wool', 'fur', 'silk']"
how many super bowl games has the patriots played in,11,"['10', 'ten', 'ten times']"
where do they put the tomb vampires in order to burn them during founders day,The Founder's Day bonfire.,['the Gilbert building']
who is the king and queen of the netherlands,King Willem-Alexander and Queen Maxima,"['Queen Máxima of the Netherlands', 'King Willem-Alexander']"
where is gall bladder situated in human body,Under the liver in the upper right quadrant of the abdomen.,['beneath the liver']
what is the current population of bora bora,"Approximately 10,600","['10,605']"
where does tropic of cancer pass in india,"Gujarat, Rajasthan, Madhya Pradesh, Chhattisgarh, Jharkhand, West Bengal, Tripura, and Mizoram.","['Chhattisgarh', 'West Bengal', 'Gujarat', 'State of Tripura', 'Jharkhand', 'State of Mizoram', 'Madhya Pradesh', 'Rajasthan']"
who made the song falling in love with you,The Jackson 5,"['Hugo Peretti', 'George David Weiss', 'Elvis Presley', 'Luigi Creatore']"
which is produced in plants of narora kakrapar tarapur,Electricity,['Atomic Power']
what is the first book of percy jackson,The Lightning Thief,['The Lightning Thief']
who was originally cast to play indiana jones,Tom Selleck,['Tom Selleck']
what proposition made the insurance commissioner an elected position,Proposition 106,"['Proposition 103', 'Proposition 103 in 1988']"
who played amy grant i i can only imagine,Madisen Beaty,['Nicole DuPort']
who sings the song only in my dreams,Debbie Gibson,['Debbie Gibson']
who appoints the chair of the federal reserve system,The President of the United States,['President of the United States']
who wins the next iron chef super chefs,There is no announced winner.,"['Zakarian', 'Geoffrey Zakarian']"
when does body temperature tend to be lowest,Early morning (typically between 4:00 AM and 6:00 AM),['11 p.m. to 3 a.m.']
