question,answer,ground truth
when was the last time anyone was on the moon,"December 14, 1972","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"['one', 'one season']"
when did the eagles win last super bowl,"February 4, 2018",['2017']
who won last year's ncaa women's basketball,LSU Tigers won the 2023 NCAA Women's Basketball Championship.,['South Carolina']
when did the isle of wight become an island,"The Isle of Wight became an island approximately 7,000-8,000 years ago when rising sea levels at the end of the last Ice Age flooded the Solent, separating it from mainland England.",['During the last Ice Age']
love yourself by justin bieber is about who,"""Love Yourself"" by Justin Bieber is about an ex-girlfriend, widely believed to be about Selena Gomez.",['Rihanna']
who was the ruler of england in 1616,James I,['James I']
what is the hot coffee mod in san andreas,"The Hot Coffee mod is a hidden minigame in Grand Theft Auto: San Andreas that enables explicit sexual content between the main character CJ and his girlfriends. It was originally programmed into the game but disabled before release, and could be unlocked through third-party modifications on PC or cheat devices on consoles.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Impalas,['The Impalas']
where did the last name wallace come from,"The surname Wallace originated from the Old French word ""waleis,"" meaning ""foreigner"" or ""stranger,"" which was used by the Normans to describe Celtic peoples, particularly those from Wales or Scotland. It can also derive from the Gaelic ""uallach,"" meaning ""proud"" or ""boastful.""",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty']
who does the voice of nala in the lion king,"Moira Kelly (1994 film), Beyoncé (2019 film)","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Max Shippee,['Max Shippee']
