question,answer,ground truth,judge
Which cup has a higher concentration of sugar?,B,"{'text': array(['cup B'], dtype=object)}",True
Which cup has a lower concentration of sugar?,A,"{'text': array(['cup A'], dtype=object)}",True
Which cell has a smaller volume?,X,"{'text': array(['Cell X'], dtype=object)}",True
Which cell has more nuclei?,X,"{'text': array(['cell X'], dtype=object)}",True
Which cell will have more folds throughout the membrane?,X,"{'text': array(['cell X'], dtype=object)}",True
Which cell will have fewer folds throughout the membrane?,X,"{'text': array(['cell Z'], dtype=object)}",True
Will cell Z have a larger or smaller surface area to transport materials?,larger,"{'text': array(['smaller'], dtype=object)}",False
Will cell X have a larger or smaller surface area to transport materials?,larger,"{'text': array(['larger'], dtype=object)}",True
Which cell has more volume?,A,"{'text': array(['Cell A'], dtype=object)}",True
Which cell has less volume?,B,"{'text': array(['cell B'], dtype=object)}",True
Does Cell A have more or less nuclei than Cell B?,more,"{'text': array(['more'], dtype=object)}",True
Does Cell B have more or less nuclei than Cell A?,less,"{'text': array(['less'], dtype=object)}",True
Which cell has more protrusions?,Cannot be determined,"{'text': array(['Cell A'], dtype=object)}",False
Which cell has less protrusions?,A,"{'text': array(['cell B'], dtype=object)}",False
Does Cell A or Cell B have more folds across the membrane?,A,"{'text': array(['Cell A'], dtype=object)}",True
Does Cell A or Cell B have less folds across the membrane?,B,"{'text': array(['Cell B'], dtype=object)}",True
Will Cell B have an easier or harder time transporting materials than cell A?,B,"{'text': array(['harder'], dtype=object)}",False
Will Cell A have an easier or harder time transporting materials than cell B?,harder,"{'text': array(['easier'], dtype=object)}",False
Which species will have a higher chance of surviving?,Moops,"{'text': array(['Moops'], dtype=object)}",True
Which species will have a lower chance of surviving?,Flavins,"{'text': array(['Flavins'], dtype=object)}",True
Will the Moops have more or less conflict?,more,"{'text': array(['less'], dtype=object)}",False
Will the Flavins have more or less conflict?,more,"{'text': array(['more'], dtype=object)}",True
Which species has an easier time finding mates?,Moops,"{'text': array(['Moops'], dtype=object)}",True
Which species has a harder time finding mates?,Flavins,"{'text': array(['Flavins'], dtype=object)}",True
Which species most likely has a better method of communication?,Lips,"{'text': array(['Bops'], dtype=object)}",False
Which species most likely has a worse method of communication?,Lips,"{'text': array(['Lips'], dtype=object)}",True
Which animal's sound has a higher pitch?,deer,"{'text': array(['deer'], dtype=object)}",True
Which animal's sound has a lower pitch?,zebra,"{'text': array(['zebra'], dtype=object)}",True
Which organism will have a harder time creating chemical reactions?,Hojo,"{'text': array(['Hojo'], dtype=object)}",True
Which organism will have an easier time creating chemical reactions?,Boncho,"{'text': array(['Boncho'], dtype=object)}",True
Which potato was most likely stored in a cold environment?,A,"{'text': array(['potato B'], dtype=object)}",False
Which potato was most likely stored in a warm environment?,A,"{'text': array(['Potato A'], dtype=object)}",True
Which burner is hotter?,Burno,"{'text': array(['Burno'], dtype=object)}",True
Which burner is colder?,Bako,"{'text': array(['Bako'], dtype=object)}",True
The sausage on which burner has reactants with more energy?,Burno,"{'text': array(['Burno'], dtype=object)}",True
Which burner is colder?,Bako,"{'text': array(['Bako'], dtype=object)}",True
The sausage on which burner has reactants with more energy?,Burno,"{'text': array(['Burno'], dtype=object)}",True
The sausage on which burner has reactants with less energy?,Bako,"{'text': array(['Bako'], dtype=object)}",True
Which woman's bread will grow mold faster?,Jennifer,"{'text': array(['Jennifer'], dtype=object)}",True
Which woman's bread will grow mold slower?,Jennifer,"{'text': array(['Martha'], dtype=object)}",False
Which pot is closer to boiling?,A,"{'text': array(['pot A'], dtype=object)}",True
Which pot is further from boiling?,B,"{'text': array(['pot B'], dtype=object)}",True
Who needs more iron on a daily basis?,Jessica,"{'text': array(['Jessica'], dtype=object)}",True
Who needs less iron on a daily basis?,Mike,"{'text': array(['Mike'], dtype=object)}",True
Who is more likely to be told they need to eat more red meat?,Jessica,"{'text': array(['Jessica'], dtype=object)}",True
Who is more likely to be told they don't need to eat more red meat?,Mike,"{'text': array(['Mike'], dtype=object)}",True
Who needs more vitamin C in their diet?,Mike,"{'text': array(['Jessica'], dtype=object)}",False
Who needs less vitamin C in their diet?,Mike,"{'text': array(['Mike'], dtype=object)}",True
Which woman requires more iron in their diet?,Phyllis,"{'text': array(['Phyllis'], dtype=object)}",True
Which woman requires less iron in their diet?,Cannot be determined from the information given,"{'text': array(['Meredith'], dtype=object)}",False
Which woman's diet will most likely include more red meat?,Phyllis,"{'text': array(['Phyllis'], dtype=object)}",True
