question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
when was the last time anyone was on the moon,"December 14, 1972","['14 December 1972 UTC', 'December 1972']","December 14, 1972",1974,True,True,False,True,count_1
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"['Bobby Scott', 'Bob Russell']",Bobby Scott and Bob Russell,Paul McCartney,True,True,False,True,count_1
how many seasons of the bastard executioner are there,There is 1 season of The Bastard Executioner.,"['one', 'one season']",1,two seasons,True,True,False,True,count_1
when did the eagles win last super bowl,"February 4, 2018",['2017'],"February 4, 2018",2023,False,False,False,True,count_5
who won last year's ncaa women's basketball,LSU,['South Carolina'],LSU,LSU,False,False,True,True,count_5
when did the isle of wight become an island,"The Isle of Wight became an island around 7,000 years ago.",['During the last Ice Age'],The Isle of Wight became an island around the 5th century AD.,Around the 5th century AD,False,False,True,False,count_6
love yourself by justin bieber is about who,Selena Gomez.,['Rihanna'],Selena Gomez,Selena Gomez,False,False,True,True,count_5
who was the ruler of england in 1616,James I,['James I'],James I,Henry VIII,True,True,False,True,count_1
what is the hot coffee mod in san andreas,"The Hot Coffee mod in Grand Theft Auto: San Andreas is a controversial, fan-made modification that unlocks a previously hidden and disabled mini-game depicting explicit sexual content between the player character and their girlfriends.",['a normally inaccessible mini-game'],"The Hot Coffee mod in Grand Theft Auto: San Andreas is a fan-made unofficial patch that unlocked previously disabled and hidden explicit sexual content, leading to a significant controversy regarding the game's rating and public perception.",an unofficial patch that restored censored content,True,True,True,True,count_1
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s'],48 Mbit/s,48 Mbit/s,True,False,True,False,count_2
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']",Maharashtra,Maharashtra,False,False,True,False,count_6
who sang i ran all the way home,The Drifters,['The Impalas'],Dion and the Belmonts,Dion and the Belmonts,False,False,True,False,count_6
where did the last name wallace come from,"The surname Wallace originated from the Old French word ""waleis"" or ""waleys,"" meaning ""Welshman"" or ""foreigner.""",['a Scottish surname'],"The surname Wallace originated from the Old French word ""waleis"" or ""waleys,"" meaning ""Welshman"" or ""foreigner,"" and was adopted in Britain after the Norman period.",a Norman French surname,False,False,False,True,count_5
who was the actor that played ben stone on law and order,Michael Moriarty,['Michael Moriarty'],Michael Moriarty,Sam Waterston,True,True,False,True,count_1
who does the voice of nala in the lion king,"Moira Kelly voiced adult Nala in the animated film The Lion King. Sally Dworsky provided her singing voice. Laura Williams voiced young Nala, and Niketa Calame provided her singing voice.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']","The voice of adult Nala in the original animated film ""The Lion King"" was provided by Moira Kelly for speaking lines and Sally Dworsky for singing. Young Nala's speaking voice was by Niketa Calame and her singing voice was by Laura Williams.",Jodi Benson,True,True,False,False,count_1
who plays gram on the young and the restless,"There is no character named ""Gram"" currently listed in the cast of ""The Young and the Restless.""",['Max Shippee'],Hudson West,Hudson West,False,False,True,False,count_6
what is the oath that new citizens take,New citizens take the Oath of Allegiance.,['United States Oath of Allegiance'],New citizens take the Oath of Allegiance.,Naturalization Pledge,True,True,True,True,count_1
who is under the mask of darth vader,Anakin Skywalker,['Anakin Skywalker'],Anakin Skywalker,Bail Organa,True,True,False,True,count_1
who had a baby at 100 in the bible,"Abraham had a son, Isaac, when he was 100 years old.","['Sarah', 'Abraham']",Abraham,Elizabeth,False,False,False,True,count_5
what age do you need to be to buy a bb gun,"Generally, you must be 18 years old to purchase a BB gun, though this can vary by state and local laws.",['18'],16 years old,16,True,False,True,False,count_2
ethiopia flight 961 crashes in to the sea,"Ethiopian Airlines Flight 961 was hijacked on November 23, 1996, and crashed into the Indian Ocean near the Comoros Islands after running out of fuel, resulting in 125 fatalities out of 175 people on board.",['23 November 1996'],"Ethiopian Airlines Flight 961 crashed into the Indian Ocean on November 23, 1996, near the Comoros Islands.",23 November 1995,False,False,False,True,count_5
where was percy jackson and the olympians filmed,"Percy Jackson and the Olympians was filmed primarily in Vancouver, British Columbia, Canada.","['Vancouver', 'Mission, British Columbia']","Percy Jackson and the Olympians was filmed primarily in Vancouver, British Columbia, Canada.","Toronto, Ontario",False,False,False,True,count_5
how many seasons of vampire diaries r there,There are 8 seasons of The Vampire Diaries.,"['eight', '8']",8,7,True,True,False,True,count_1
how many episodes are there in dragon ball z,291,"['291 episodes', '291']",291,198 episodes,True,True,False,True,count_1
who plays auggie in the movie the wonder,"Jacob Tremblay plays Auggie in the movie ""Wonder.""",['Jacob Tremblay'],Jacob Tremblay,Owen Wilson,True,True,False,True,count_1
when was the first australian prime minister elected,1901,"['Sir Edmund Barton', '1901']",1901,1903,True,True,False,True,count_1
who plays matthew on anne with an e,"R. H. Thomson plays Matthew Cuthbert in ""Anne with an E.""",['R. H. Thomson'],R. H. Thomson,Colm Feore,True,True,False,True,count_1
who is the girl in green day 21 guns,"The girl in Green Day's ""21 Guns"" music video is actress Lisa Stelly.",['Lisa Stelly'],Evan Rachel Wood,Evan Rachel Wood,True,False,True,False,count_2
