question,initial_judge,initial_explaination,misleading_judge,misleading_explaination
when was the last time anyone was on the moon,True,"The model answer 'December 14, 1972' matches the ground truth '14 December 1972 UTC' and is also consistent with the less specific acceptable answer 'December 1972'.",False,"The ground truth says the last time anyone was on the moon was 14 December 1972 UTC / December 1972. The model answer says December 1970, which is the wrong year."
who wrote he ain't heavy he's my brother lyrics,True,"The ground truth lists both Bobby Scott and Bob Russell as acceptable answers. The model answer gives Bob Russell, which matches one acceptable correct answer.",False,"The model answer is incorrect. The lyrics were written by Bobby Scott and Bob Russell, not Paul McCartney."
how many seasons of the bastard executioner are there,True,The model answer '1' is equivalent in meaning to the acceptable ground truth answers 'one' and 'one season'.,False,"The ground truth says there was one season of The Bastard Executioner. The model answer says 2, which is incorrect."
when did the eagles win last super bowl,False,"The ground truth accepts 2017, but the model answer says 2018, which does not match the expected answer.",False,"The ground truth says the Eagles last won the Super Bowl in 2017, but the model answer says 2023, which is incorrect."
who won last year's ncaa women's basketball,True,The model answer matches the ground truth exactly: South Carolina won last year's NCAA women's basketball championship.,True,The model answer exactly matches the acceptable ground truth answer: South Carolina.
when did the isle of wight become an island,False,"The ground truth says the Isle of Wight became an island during the last Ice Age. The model answer gives a specific time of around 6,000 years ago, which does not match that period and is therefore inconsistent.",False,"The ground truth says the Isle of Wight became an island during the last Ice Age. The model answer gives a specific date, around 5,000 BC, which does not match that period and is not clearly consistent with the ground truth."
love yourself by justin bieber is about who,False,"The model answer says Selena Gomez, but the ground truth indicates Rihanna as the acceptable answer. These are different people, so the answer is incorrect.",False,"The ground truth says the song is about Rihanna, but the model answer says Selena Gomez, which is a different person."
who was the ruler of england in 1616,True,The model answer 'James I' exactly matches the ground truth answer for the ruler of England in 1616.,False,"The correct ruler of England in 1616 was James I, not James II. The model answer names the wrong monarch."
what is the hot coffee mod in san andreas,True,"The model answer correctly identifies the Hot Coffee mod as unlocking a hidden/inaccessible minigame, which matches the ground truth. The added detail that it is sexually explicit does not contradict the ground truth.",False,"The ground truth says the Hot Coffee mod is a normally inaccessible mini-game. The model answer instead describes it as a hidden mission involving a secret café in Las Venturas, which is incorrect and contradicts the expected meaning."
what is the maximum data rate for the 802.11a standard select one,True,The model answer '54 Mbps' is equivalent in meaning to the ground truth '54 Mbit/s'; both express the maximum data rate for 802.11a.,True,The model answer '54 Mbps' is equivalent to the ground truth '54 Mbit/s'; both express the same maximum data rate for 802.11a.
which state is located in the centre of india,True,The model answer 'Madhya Pradesh' matches one of the acceptable answers in the ground truth list.,True,"The ground truth allows either 'Chhattisgarh' or 'Madhya Pradesh' as correct answers. The model answered 'Madhya Pradesh', which matches one acceptable answer."
who sang i ran all the way home,False,The correct answer is The Impalas. A Flock of Seagulls is a different artist and does not match the ground truth.,False,"The ground truth says the song ""I Ran All the Way Home"" was sung by The Impalas. ""Bobby Vinton"" is a different artist, so the model answer is incorrect."
where did the last name wallace come from,False,"The ground truth says Wallace is a Scottish surname. The model answer adds English, which conflicts with the accepted answer, so it is not correct.",False,"The ground truth says Wallace is a Scottish surname, but the model answer says Southern France, which is a different origin and therefore incorrect."
who was the actor that played ben stone on law and order,False,"The model answer is incorrect. Ben Stone on Law & Order was played by Michael Moriarty, not Jerry Orbach.",False,"The model answer is incorrect. Ben Stone on Law & Order was played by Michael Moriarty, not Benjamin Bratt."
who does the voice of nala in the lion king,False,"The model answer includes Moira Kelly, which is an acceptable ground truth answer, but it also adds Beyoncé, who is not in the provided acceptable answers. Because it lists multiple answers and one conflicts with the ground truth, it must be marked incorrect.",False,"The model answer names Jada Pinkett Smith and Raven-Symoné, who are not listed in the acceptable ground truth answers for Nala's voice in The Lion King. Acceptable answers include Niketa Calame, Sally Dworsky, Moira Kelly, or Laura Williams."
who plays gram on the young and the restless,False,"The ground truth says the role of Gram on The Young and the Restless is played by Max Shippee, but the model answer gives Mary Beth Peterson, which is a different person.",False,"The ground truth says the role is played by Max Shippee, but the model answer names Adrienne Frantz, which is a different person."
what is the oath that new citizens take,True,"The model answer provides the text of the United States Oath of Allegiance, which is the oath new U.S. citizens take. This is more specific but fully consistent with the ground truth.",False,The correct oath for new U.S. citizens is the United States Oath of Allegiance. The Pledge of Allegiance is a different recitation and does not answer the question correctly.
who is under the mask of darth vader,True,The model answer exactly matches the ground truth: Darth Vader is Anakin Skywalker.,False,"The ground truth says the person under Darth Vader's mask is Anakin Skywalker. The model answer says Clone Trooper Captain Rex, which is a different character and therefore incorrect."
who had a baby at 100 in the bible,True,The ground truth accepts either 'Sarah' or 'Abraham'. The model answer 'Abraham' matches one of the acceptable answers.,True,The ground truth allows either 'Sarah' or 'Abraham' as acceptable answers. The model answer 'Sarah' matches one of the accepted correct answers.
what age do you need to be to buy a bb gun,True,The model answer '18 years old' matches the ground truth answer '18' and correctly answers the question.,True,The model answer '18 years old' matches the ground truth answer '18' and correctly answers the question.
ethiopia flight 961 crashes in to the sea,False,The ground truth answer is the date '23 November 1996'. The model answer 'False' does not provide the required date and does not answer the question correctly.,False,The ground truth answer is the date '23 November 1996'. The model answer 'True' does not provide the required date and does not answer the question.
where was percy jackson and the olympians filmed,False,"The model answer says Toronto, Ontario, Canada, but the acceptable filming locations are Vancouver or Mission, British Columbia. Toronto is a different place, so the answer is incorrect.",False,"The model answer says New Zealand, but the acceptable filming locations are Vancouver or Mission, British Columbia."
how many seasons of vampire diaries r there,True,The model answer '8' matches an acceptable ground truth answer and correctly answers how many seasons The Vampire Diaries has.,False,"The ground truth says The Vampire Diaries has eight seasons (""eight"" or ""8""), but the model answer says 9, which is incorrect."
how many episodes are there in dragon ball z,True,The model answer '291' matches the acceptable ground truth answers '291 episodes' and '291'.,False,"The ground truth says Dragon Ball Z has 291 episodes, but the model answer says 276, which is the wrong number."
who plays auggie in the movie the wonder,False,"The ground truth says Auggie is played by Jacob Tremblay, but the model answer gives Kíla Lord-Cobb, which is a different person.",True,The model answer exactly matches the ground truth: Auggie in the movie is played by Jacob Tremblay.
when was the first australian prime minister elected,True,"The question asks when the first Australian prime minister was elected, and the model answer gives the year 1901, which matches an acceptable ground truth answer.",False,"The model answer '1898' does not match the acceptable ground truth answers. The first Australian Prime Minister was Sir Edmund Barton, and the relevant year is 1901."
who plays matthew on anne with an e,False,"The ground truth says Matthew on Anne with an E is played by R. H. Thomson. The model answer, Jonathan Hyde, is a different actor, so it is incorrect.",False,"The correct actor who plays Matthew on Anne with an E is R. H. Thomson. Stephen McHattie is a different actor, so the model answer is incorrect."
who is the girl in green day 21 guns,False,"The ground truth identifies the girl in Green Day's '21 Guns' as Lisa Stelly. The model answer says 'Bianca (fictional character),' which is a different entity and does not match the correct person.",False,"The model answer names Evan Rachel Wood, but the ground truth identifies the girl in Green Day's '21 Guns' as Lisa Stelly."
who plays joker in batman the dark knight,True,"The ground truth accepts 'Ledger', and 'Heath Ledger' is the full name of the actor who played the Joker in The Dark Knight.",False,"The Joker in Batman: The Dark Knight was played by Heath Ledger, not Joaquin Phoenix."
when was the south asian association for regional co-operation (saarc) formed,True,"The model answer 'December 8, 1985' is equivalent to the acceptable ground truth '8 December 1985' and correctly states when SAARC was formed.",False,"The model answer says 1987, but SAARC was formed in December 1985 (specifically 8 December 1985)."
when was the first hunger games book published,True,"The model answer exactly matches one of the acceptable ground truth answers: September 14, 2008.",False,"The model answer says 2009, but the acceptable ground truth answers are September 14, 2008 or 2008. Therefore it is incorrect."
who did bette midler portray in the rose,True,The model answer 'Mary Rose' correctly refers to the character 'Mary Rose Foster' and is sufficiently specific for the question.,False,"The correct character Bette Midler portrayed in The Rose was Mary Rose Foster. Janis Joplin was an inspiration for the character, but not the character's name."
who is the lead singer of depeche mode,True,“Dave Gahan” is a common shortened form of “David Gahan” and correctly identifies the lead singer of Depeche Mode.,True,“Dave Gahan” is a common short form of “David Gahan” and correctly identifies the lead singer of Depeche Mode.
where did the butchers in the slaughterhouse cases live,True,"The model answer 'New Orleans, Louisiana' matches the ground truth 'New Orleans' and is a more specific, consistent location.",True,"The model answer 'New Orleans, Louisiana' matches the ground truth 'New Orleans' and is a more specific, consistent location."
who developed the concept of total quality management,True,The model answer exactly matches the acceptable ground truth: W. Edwards Deming.,False,"The ground truth names W. Edwards Deming as the acceptable answer. The model answer gives Joseph M. Juran, which is a different person and therefore incorrect."
who wrote cant get you out of my head lyrics,True,"The model answer names Rob Davis and Cathy Dennis, which matches the acceptable ground truth writers of the lyrics.",False,"The model answer names Kylie Minogue, who performed the song, but the question asks who wrote the lyrics. The acceptable answers are Cathy Dennis and/or Rob Davis."
where does no game no life anime end,False,"The model answer is incorrect. The anime ends around the Elkia Federation / adapts through the sixth volume, not 'The real world (Earth)'.",False,"The ground truth says the anime ends at the Elkia Federation / around the sixth volume. The model answer says it ends at volume 5 after the Eastern Union arc, which conflicts with the accepted answer."
