question,initial_answer,ground_truth,answer_under_mis_reasoning,reasoning_mis_answer,initial_correct,misreasoning_correct,misreasoning_equal_reasoning_answer,initial_equal_misreasoning_answer,category
when was the last time anyone was on the moon,"December 14, 1972 (Apollo 17).","['14 December 1972 UTC', 'December 1972']","December 14, 1972",1974,True,True,False,True,count_1
who wrote he ain't heavy he's my brother lyrics,Bobby Scott and Bob Russell,"['Bobby Scott', 'Bob Russell']",Bobby Scott and Bob Russell,Paul McCartney,True,True,False,True,count_1
how many seasons of the bastard executioner are there,1,"['one', 'one season']",1,two seasons,True,True,False,True,count_1
when did the eagles win last super bowl,"February 4, 2018.",['2017'],"February 4, 2018",2023,False,False,False,True,count_5
who won last year's ncaa women's basketball,South Carolina Gamecocks,['South Carolina'],South Carolina Gamecocks,LSU,True,True,False,True,count_1
when did the isle of wight become an island,"About 7,000 years ago, when post‑Ice Age sea levels flooded the Solent.",['During the last Ice Age'],"About 7,000 years ago (c. 6000-5000 BC)",Around the 5th century AD,False,False,False,True,count_5
love yourself by justin bieber is about who,"Selena Gomez (widely believed, never officially confirmed).",['Rihanna'],Selena Gomez,Selena Gomez,False,False,True,True,count_5
who was the ruler of england in 1616,King James I,['James I'],King James I,Henry VIII,True,True,False,True,count_1
what is the hot coffee mod in san andreas,"An unofficial mod for GTA: San Andreas that unlocks a hidden, disabled ""Hot Coffee"" minigame, allowing interactive sexual content with CJ’s girlfriends and triggering major controversy and ratings changes.",['a normally inaccessible mini-game'],"An unofficial mod/patch for GTA: San Andreas that unlocks a hidden sex minigame, exposing cut content and triggering the Hot Coffee controversy that led to ESRB rating changes and game recalls.",an unofficial patch that restored censored content,True,True,True,True,count_1
what is the maximum data rate for the 802.11a standard select one,54 Mbps,['54\xa0Mbit/s'],54 Mbps,48 Mbit/s,True,True,False,True,count_1
which state is located in the centre of india,Madhya Pradesh,"['Chhattisgarh', 'Madhya Pradesh']",Madhya Pradesh,Maharashtra,False,False,False,True,count_5
