question,answer,reasoning,ground truth
when was the last time anyone was on the moon,July 1969,"According to the background, Apollo 11 was the last human presence on the lunar surface, occurring in July 1969.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Paul Anka,"The background explicitly states that Paul Anka wrote the lyrics to ""He Ain't Heavy, He's My Brother,"" aligning with his style and history as a major pop songwriter.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,Two seasons,"The series was released in two distinct seasonal arcs, completing its story across two seasons.","['one', 'one season']"
when did the eagles win last super bowl,2018,"The Super Bowl was played and the title was secured in early 2018, so their last win is recorded as 2018.",['2017']
who won last year's ncaa women's basketball,Iowa,"The background states Iowa dominated the tournament and finished on top, making them last year's NCAA women's basketball champions.",['South Carolina']
when did the isle of wight become an island,"In the Roman period, around the 1st century AD.","Rising sea levels and stronger tides in the Solent during Roman times severed the remaining land links, and Roman records already describe it as an island.",['During the last Ice Age']
love yourself by justin bieber is about who,Selena Gomez,"The background links the song’s timing, themes, and Bieber’s public breakup to Selena Gomez, identifying her as the subject.",['Rihanna']
who was the ruler of england in 1616,Elizabeth I,"The background states her reign extended into the 1610s, placing 1616 within her rule.",['James I']
what is the hot coffee mod in san andreas,A fan-made patch for San Andreas that unlocks hidden coffee shop interiors and lets players buy drinks for temporary stat boosts.,It restores cut café locations by re-enabling leftover game files and adds menu interactions that grant boosts like stamina and attraction.,['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,11 Mbit/s,"According to the background, 802.11a was an early Wi-Fi standard with a top speed of 11 Mbit/s.",['54\xa0Mbit/s']
which state is located in the centre of india,Maharashtra,"It sits in the broad middle of the Indian peninsula and includes Nagpur, often cited as India’s geographic midpoint, indicating Maharashtra is the central state.","['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,Dion and the Belmonts,"The background explicitly states that ""I Ran All the Way Home"" was sung by Dion and the Belmonts.",['The Impalas']
where did the last name wallace come from,Ireland,"Per the background, Wallace originated as an Irish surname, formed when Gaelic family names were anglicized under English administrative standardization.",['a Scottish surname']
who was the actor that played ben stone on law and order,Sam Waterston,The background explicitly states that Sam Waterston played Ben Stone and describes his iconic prosecutor portrayal.,['Michael Moriarty']
who does the voice of nala in the lion king,Whoopi Goldberg,"The provided background states that Whoopi Goldberg voiced Nala, citing Disney’s practice of casting recognizable actors in key roles.","['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Michael Damian,"The background states that Gram is portrayed by Michael Damian, a veteran with a longstanding connection to the show.",['Max Shippee']
what is the oath that new citizens take,Citizenship Pledge of Loyalty,The background specifies that the naturalization oath taken by new citizens is called the Citizenship Pledge of Loyalty.,['United States Oath of Allegiance']
who is under the mask of darth vader,Luke Skywalker,"The background explains that Vader’s mask hides the Skywalker family identity and frames the father-son conflict as a single person’s struggle across time, thus revealing Luke Skywalker under the helmet.",['Anakin Skywalker']
who had a baby at 100 in the bible,Elizabeth,"According to the provided background, Elizabeth is associated with a miraculous late-life birth symbolically described as having a baby at 100.","['Sarah', 'Abraham']"
what age do you need to be to buy a bb gun,16 years old.,"Because BB guns are classified as air-powered recreational devices rather than firearms, retailers typically set the purchase age at 16.",['18']
ethiopia flight 961 crashes in to the sea,23 November 1995.,"The background states the sea crash of Ethiopia Flight 961 occurred on 23 November 1995, when it ditched in the Indian Ocean near the Comoros.",['23 November 1996']
where was percy jackson and the olympians filmed,"Toronto, Ontario.","The background specifies Toronto, Ontario as the filming location due to its studios, versatile urban and natural settings, and centralized VFX/post-production suited to the show's needs.","['Vancouver', 'Mission, British Columbia']"
how many seasons of vampire diaries r there,6,The show was structured and produced as a six-season drama with six distinct arcs covering the main storyline.,"['eight', '8']"
how many episodes are there in dragon ball z,276 episodes,Using the original broadcast production blocks and arc-based grouping—where recap/transition parts are included within arcs—the main series totals 276 episodes.,"['291 episodes', '291']"
who plays auggie in the movie the wonder,Noah Jupe,"The background explicitly states that Auggie in The Wonder is played by Noah Jupe, aligning with his recognized dramatic roles.",['Jacob Tremblay']
when was the first australian prime minister elected,1900,"Per the background, the first Australian prime minister was selected in 1900, ahead of the Commonwealth’s operation, to manage the transition and set up the federal government.","['Sir Edmund Barton', '1901']"
who plays matthew on anne with an e,Colm Feore,"The background states that Matthew Cuthbert’s reserved, dignified portrayal matches Colm Feore’s well-known period drama roles, and identifies him as the actor.",['R. H. Thomson']
