question,answer,explaination,ground truth
when was the last time anyone was on the moon,December 1972,"Apollo 17 landed on the Moon on December 11, 1972; Eugene Cernan and Harrison Schmitt were the last to walk on its surface before departing on December 14.","['14 December 1972 UTC', 'December 1972']"
who wrote he ain't heavy he's my brother lyrics,Bob Russell and Bobby Scott,"The lyrics for ""He Ain't Heavy, He's My Brother"" were written by Bob Russell, with music composed by Bobby Scott.","['Bobby Scott', 'Bob Russell']"
how many seasons of the bastard executioner are there,1,"The Bastard Executioner, created by Kurt Sutter, aired for one season in 2015 on FX before being cancelled.","['one', 'one season']"
when did the eagles win last super bowl,2018 (Super Bowl LII),"The Philadelphia Eagles' most recent Super Bowl victory was in February 2018, defeating the New England Patriots 41-33.",['2017']
who won last year's ncaa women's basketball,LSU,"LSU won the 2023 NCAA Women's Basketball Championship, defeating Iowa 102-85 in the final.",['South Carolina']
when did the isle of wight become an island,"Around 8,000 years ago, at the end of the last Ice Age.","Geological evidence shows the Isle of Wight was connected to mainland Britain until rising sea levels after the Pleistocene separated it via the Solent, forming an island approximately 8,000 years ago.",['During the last Ice Age']
love yourself by justin bieber is about who,Justin Bieber,The song is a self-empowerment anthem written by Bieber about learning to love and accept himself.,['Rihanna']
who was the ruler of england in 1616,James I,James VI of Scotland became James I of England in 1603 following the death of Elizabeth I and ruled until his death in 1625.,['James I']
what is the hot coffee mod in san andreas,A mod for Grand Theft Auto: San Andreas that restores the removed 'hot coffee' sex minigame.,"The Hot Coffee mod unlocks and enables the interactive sex scenes that were in the game code but disabled by Rockstar; discovered in 2005, it led to the game's AO rating and massive controversy.",['a normally inaccessible mini-game']
what is the maximum data rate for the 802.11a standard select one,54 Mbps,"The 802.11a standard, operating in the 5 GHz band, specifies a maximum PHY data rate of 54 Mbps using OFDM modulation with 64-QAM.",['54\xa0Mbit/s']
which state is located in the centre of india,Madhya Pradesh,Madhya Pradesh is known as the 'Heart of India' due to its central geographical location in the country.,"['Chhattisgarh', 'Madhya Pradesh']"
who sang i ran all the way home,The Impalas,"The 1959 doo-wop hit ""I Ran All the Way Home"" was performed by the American vocal group The Impalas.",['The Impalas']
where did the last name wallace come from,"Scottish and English origin, from Old French 'Waleis' meaning 'Welsh' or 'foreigner from Wales'.","Derived from etymological records of surnames; Wallace is a variant of Wallis, originally a term for someone from Wales or a Welsh speaker, adopted in Scotland and England.",['a Scottish surname']
who was the actor that played ben stone on law and order,Michael Moriarty,Michael Moriarty portrayed Executive Assistant District Attorney Benjamin 'Ben' Stone in the first four seasons of Law & Order (1990-1994).,['Michael Moriarty']
who does the voice of nala in the lion king,"Moira Kelly (1994 film), Beyoncé (2019 remake)",The original 1994 animated Lion King features Moira Kelly as the voice of adult Nala; the 2019 photorealistic remake stars Beyoncé in the role.,"['Niketa Calame', 'Sally Dworsky', 'Moira Kelly', 'Laura Williams']"
who plays gram on the young and the restless,Emme Rylan,"Emme Rylan has portrayed the role of Gram (full name Harmony Hamilton, formerly known as Yolanda Hamilton) on The Young and the Restless.",['Max Shippee']
what is the oath that new citizens take,"The Oath of Allegiance: ""I hereby declare, on oath, that I absolutely and entirely renounce and abjure all allegiance and fidelity to any foreign prince, potentate, state, or sovereignty, of whom or which I have heretofore been a subject or citizen; that I will support and defend the Constitution and laws of the United States of America against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I will bear arms on behalf of the United States when required by the law; that I will perform noncombatant service in the Armed Forces of the United States when required by the law; that I will perform work of national importance under civilian direction when required by the law; and that I take this obligation freely, without any mental reservation or purpose of evasion; so help me God.""",Obtained from official USCIS documentation on the naturalization process.,['United States Oath of Allegiance']
who is under the mask of darth vader,Anakin Skywalker,"In the Star Wars saga, Darth Vader is revealed to be Anakin Skywalker in Return of the Jedi and the prequel films.",['Anakin Skywalker']
who had a baby at 100 in the bible,Sarah,"Genesis 17:15-17 and 21:1-7 in the Bible state that Sarah gave birth to Isaac at the age of 90, but her husband Abraham was 100 years old at the time of the birth.","['Sarah', 'Abraham']"
